Apparent.Time;Time span;Living Room Light (100W) [VA];Kitchen Light (100W) [VA];Cellar Light (200W) [VA];Bathroom Light (100W) [VA];Bathroom Mirror Light 10 W (LED) [VA];Bedroom Light (200W) [VA];Egg Cooker / Russell Hobbs 14048-56 Stylo [VA];Juicer / Moulinex Vitafruit [VA];Kitchen radio / AEG KRC 4323 CD [VA];Single Stove Plate [VA];Nespresso Coffee Machine, Single Cup [VA];Food Slicer / DOMO Schneidemaschine DO521S [VA];Toaster Salco MT 400 [VA];Electric Kettle / Petra WK288 1.5L [VA];AEG PN 2200 RX 4935365097 [VA];Hand-held Circular Saw / Bosch PKS 46 [VA];Skil 4270 [VA];Polishing Machine / Flex L 602 VR [VA];Hedge Trimmer / Bosch AHS 550-24 ST [VA];Atika LH 2500 G [VA];Lawn Mower / Sabo 32-EL [VA];Energy Saving Lamp / EL-REF 11 E27 [VA];CD/DVD Player / Philips DVDR 725 H [VA];TV Medion MD20123_DE_A [VA];SAT Receiver / Kathrein UFS913 [VA];Miele DG 1450 [VA];Handmixer / Phillips Robust HR 1581 [VA];Extractor Hood / Miele DA 429-4 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [VA];Microwave / Panasonic NN 5259 [VA];Dishwasher NEFF SD6P1F (2011) [VA];Laptop Sony Vaio SVE151G11M [VA];Steam Iron / Phillips GC 4410 [VA];Washing Machine / Bosch WAE 28143 [VA];AEG NM 2701 Premium [VA];Hair Dryer Braun Silencio 1250 [VA];Canister vacuum cleaner / Siemens VS 06 G 1831 [VA];Siemens Kl 20 LA 65 (A+) [VA];Electric Razor Braun Cruzer 5 [VA];Electric Toothbrush Dondodent Professional Clean [VA];Router O2 Box 6431 [VA];
69;01:09:00;0;0;0;0;0;0;0;0;1,0982089763644556;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8796598406439107;0,5700000000000001;1,0953112723407186;0;0;0;0;9,452171314334306;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
70;01:10:00;0;0;0;0;0;0;0;0;1,0997755669693383;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8797285012182903;0,5700000000000001;1,0959274025279728;0;0;0;0;9,453791907482042;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
71;01:11:00;0;0;0;0;0;0;0;0;1,0999902371532633;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8808464844939847;0,5700000000000001;1,097112431985769;0;0;0;0;9,454104010789763;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
72;01:12:00;0;0;0;0;0;0;0;0;1,1001170057234175;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8808632884496722;0,5700000000000001;1,0983769349359593;0;0;0;0;9,464959098503234;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
73;01:13:00;0;0;0;0;0;0;0;0;1,104005941314492;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8821066841245074;0,5700000000000001;1,098728663623401;0;0;0;0;9,466789696491313;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
74;01:14:00;0;0;0;0;0;0;0;0;1,1041759415638308;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8826792630727912;0,5700000000000001;1,0992081849347366;0;0;0;0;9,484373815881355;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,5550442622951;
75;01:15:00;0;0;0;0;0;0;0;0;1,104339369758236;0;0;0;0;0;0;0;0;0;0;0;0;0;0,883576475249528;0,5700000000000001;1,099241479553116;0;0;0;0;9,487756682780688;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,5550442622951;
76;01:16:00;0;0;0;0;0;0;0;0;1,1063907029477247;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8852144672009483;0,5700000000000001;1,1000206791310136;0;0;0;0;9,49068044335939;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,5550442622951;
77;01:17:00;0;0;0;0;0;0;0;0;1,1068263560265474;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8867467429022747;0,5700000000000001;1,1008360052028265;0;0;0;0;9,522478528168193;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,5550442622951;
78;01:18:00;0;0;0;0;0;0;0;0;1,107630597298918;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8867925391071133;0,5700000000000001;1,1046819899491693;0;0;0;0;9,539688758528227;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,5550442622951;
79;01:19:00;0;0;0;0;0;0;0;0;1,1077012972378932;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8868334316195506;0,5700000000000001;1,1057613222631009;0;0;0;0;9,550555575716352;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,5550442622951;
80;01:20:00;0;0;0;0;0;0;0;0;1,109761523555223;0;0;0;0;0;0;0;0;0;0;0;0;0;0,887990791371823;0,5700000000000001;1,1063691783787135;0;0;0;0;9,557121587624868;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,5550442622951;
81;01:21:00;0;0;0;0;0;0;0;0;1,1099196227673616;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8890449554742292;0,5700000000000001;1,1069914097784639;0;0;0;0;9,560487286212116;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,5550442622951;
