Inner Device Heat Gains.Time;Time span;Living Room Light (100W) [Watt];Kitchen Light (100W) [Watt];Cellar Light (200W) [Watt];Bathroom Light (100W) [Watt];Bathroom Mirror Light 10 W (LED) [Watt];Bedroom Light (200W) [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Juicer / Moulinex Vitafruit [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Single Stove Plate [Watt];Nespresso Coffee Machine, Single Cup [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Toaster Salco MT 400 [Watt];Electric Kettle / Petra WK288 1.5L [Watt];AEG PN 2200 RX 4935365097 [Watt];Hand-held Circular Saw / Bosch PKS 46 [Watt];Skil 4270 [Watt];Polishing Machine / Flex L 602 VR [Watt];Hedge Trimmer / Bosch AHS 550-24 ST [Watt];Atika LH 2500 G [Watt];Lawn Mower / Sabo 32-EL [Watt];Energy Saving Lamp / EL-REF 11 E27 [Watt];CD/DVD Player / Philips DVDR 725 H [Watt];TV Medion MD20123_DE_A [Watt];SAT Receiver / Kathrein UFS913 [Watt];Miele DG 1450 [Watt];Handmixer / Phillips Robust HR 1581 [Watt];Extractor Hood / Miele DA 429-4 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [Watt];Microwave / Panasonic NN 5259 [Watt];Dishwasher NEFF SD6P1F (2011) [Watt];Laptop Sony Vaio SVE151G11M [Watt];Steam Iron / Phillips GC 4410 [Watt];Washing Machine / Bosch WAE 28143 [Watt];AEG NM 2701 Premium [Watt];Hair Dryer Braun Silencio 1250 [Watt];Canister vacuum cleaner / Siemens VS 06 G 1831 [Watt];Siemens Kl 20 LA 65 (A+) [Watt];Electric Razor Braun Cruzer 5 [Watt];Electric Toothbrush Dondodent Professional Clean [Watt];Router O2 Box 6431 [Watt];
10;00:10:00;0;0;0;0;0;0;0;0;0,9570951095898106;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7675434596854892;0,2022609795426261;0,9532833837406116;0;0;0;0;8,246021534759073;0;1,936666962162146;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
11;00:11:00;0;0;0;0;0;0;0;0;0,9573938624437619;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7702110880846805;0,20226901014383883;0,9543071203538085;0;0;0;0;8,258315792103812;0;1,9454239285698363;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
12;00:12:00;0;0;0;0;0;0;0;0;0,9631953933510761;0;0;0;0;0;0;0;0;0;0;0;0;0;0,770427238799486;0,20298108130574202;0,9564686408010069;0;0;0;0;8,326937545233239;0;1,9513592024015507;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
13;00:13:00;0;0;0;0;0;0;0;0;0,9665020702924673;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7714476095643619;0,2037402855457445;0,9599738775875607;0;0;0;0;8,38326583984995;0;1,9543614278944361;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
14;00:14:00;0;0;0;0;0;0;0;0;0,9669000581072825;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7754684761511308;0,2043702055590836;0,9628464459634403;0;0;0;0;8,38921086942825;0;1,9670532312189588;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
15;00:15:00;0;0;0;0;0;0;0;0;0,966915435308389;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7765579206762597;0,20492788907381346;0,9672289981744445;0;0;0;0;8,392246242550234;0;1,990560675551086;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
16;00:16:00;0;0;0;0;0;0;0;0;0,9675269748625864;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7810451413168701;0,20504139995910275;0,9701423877380896;0;0;0;0;8,449913526540918;0;2,0081489214337456;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
17;00:17:00;0;0;0;0;0;0;0;0;0,9720868791688975;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7847140428564597;0,20596758683665142;0,9755419166453525;0;0;0;0;8,48132083835886;0;2,009294599720943;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
18;00:18:00;0;0;0;0;0;0;0;0;0,976791405750429;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7850530769326716;0,20646258330199888;0,9842551983368927;0;0;0;0;8,508748047711608;0;2,010206461039721;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
19;00:19:00;0;0;0;0;0;0;0;0;0,9792523512155279;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7865591300424993;0,20652060208552822;0,9879628273974843;0;0;0;0;8,52973594772112;0;2,0179731903849834;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
20;00:20:00;0;0;0;0;0;0;0;0;0,9814812507631657;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7890932795291958;0,20673292739899618;0,9879703746349949;0;0;0;0;8,56493373278522;0;2,031135830807891;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
21;00:21:00;0;0;0;0;0;0;0;0;0,9819032296951515;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7945699640451003;0,207478080089474;0,9908852197121918;0;0;0;0;8,581753081802539;0;2,035710375937138;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
22;00:22:00;0;0;0;0;0;0;0;0;0,9852906719843147;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7949856984996339;0,20773406922354695;0,9948333546604594;0;0;0;0;8,584787156733274;0;2,0371865984639115;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
23;00:23:00;0;0;0;0;0;0;0;0;0,9904307318954476;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7950514619063902;0,20779702753701593;0,9954127902310983;0;0;0;0;8,608597210302348;0;2,048409550560222;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
24;00:24:00;0;0;0;0;0;0;0;0;0,9909319514425275;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7967320951698792;0,20835477946719472;0,9981313127505725;0;0;0;0;8,618901796401293;0;2,05844313518938;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
25;00:25:00;0;0;0;0;0;0;0;0;0,9923021936635188;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7972107644619476;0,2088657903401572;0,9983186673462017;0;0;0;0;8,635677495876529;0;2,06519127407833;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
26;00:26:00;0;0;0;0;0;0;0;0;0,9942077069274146;0;0;0;0;0;0;0;0;0;0;0;0;0;0,80280329857489;0,2088775746470545;0,9983239008278049;0;0;0;0;8,636397589382796;0;2,080497012195363;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
27;00:27:00;0;0;0;0;0;0;0;0;0,9968586055742736;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8029634233186379;0,20930461500235037;0,999045623982544;0;0;0;0;8,644749991775415;0;2,087451017337526;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
28;00:28:00;0;0;0;0;0;0;0;0;0,9969802885832847;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8030903911713003;0,21078661551575742;1,0010636116618608;0;0;0;0;8,64765934215452;0;2,0903348401599895;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
29;00:29:00;0;0;0;0;0;0;0;0;0,9970694739143047;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8046287350317731;0,21095496968222344;1,0027818354244675;0;0;0;0;8,668654827512523;0;2,0929209570470926;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
30;00:30:00;0;0;0;0;0;0;0;0;0,9971251118037177;0;0;0;0;0;0;0;0;0;0;0;0;0;0,804796274242892;0,21212635279997225;1,0039784295328502;0;0;0;0;8,676190711597895;0;2,1007692616653366;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
31;00:31:00;0;0;0;0;0;0;0;0;0,9993161364785448;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8084971351948828;0,21231752394028208;1,0045070718511961;0;0;0;0;8,681556055336713;0;2,102520292768516;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
32;00:32:00;0;0;0;0;0;0;0;0;0,9993884064638715;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8088966250933172;0,2126190471499093;1,0072038337544846;0;0;0;0;8,696342072453588;0;2,106147016558491;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
33;00:33:00;0;0;0;0;0;0;0;0;1,0045369802295285;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8092937552596985;0,21288077302113498;1,0073052281280273;0;0;0;0;8,734703208198537;0;2,1084185649138014;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
34;00:34:00;0;0;0;0;0;0;0;0;1,0045567050792712;0;0;0;0;0;0;0;0;0;0;0;0;0;0,809504437852783;0,2131165111232068;1,0098445864845982;0;0;0;0;8,73479907733319;0;2,1127579997173425;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
35;00:35:00;0;0;0;0;0;0;0;0;1,0056856928034765;0;0;0;0;0;0;0;0;0;0;0;0;0;0,809524652940673;0,2133918879417037;1,0105105569891633;0;0;0;0;8,758203091639126;0;2,115190103455303;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
36;00:36:00;0;0;0;0;0;0;0;0;1,0074033826692725;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8123274584242474;0,21383039768078171;1,0108987594310612;0;0;0;0;8,769394039765817;0;2,1185637050875594;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
37;00:37:00;0;0;0;0;0;0;0;0;1,007772569443919;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8127214999798158;0,2139635714317731;1,011374076567585;0;0;0;0;8,778294861714263;0;2,120052754887052;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
38;00:38:00;0;0;0;0;0;0;0;0;1,0108372713803329;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8134701091274515;0,21424453979514926;1,0132205243658263;0;0;0;0;8,789667866565377;0;2,1202229887662143;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
39;00:39:00;0;0;0;0;0;0;0;0;1,0128602804910032;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8150375762534535;0,21432433422877917;1,0136723251171718;0;0;0;0;8,802327687362244;0;2,12180121923541;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
40;00:40:00;0;0;0;0;0;0;0;0;1,0130187258978487;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8162102348360629;0,21444672659605254;1,0145021144890034;0;0;0;0;8,804437231189818;0;2,122535748273888;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
41;00:41:00;0;0;0;0;0;0;0;0;1,014755753870418;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8178717848200735;0,2145105397519248;1,014831430602162;0;0;0;0;8,816399502366066;0;2,1226967473602536;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
42;00:42:00;0;0;0;0;0;0;0;0;1,0152154786785876;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8192378463301743;0,2145576234286693;1,014947547727228;0;0;0;0;8,819049820139895;0;2,123264290026752;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
43;00:43:00;0;0;0;0;0;0;0;0;1,0170997752445783;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8194215828617771;0,21457639825675554;1,0153359764716585;0;0;0;0;8,827851272529768;0;2,1235351397108064;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
44;00:44:00;0;0;0;0;0;0;0;0;1,0176058830993926;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8196621129633024;0,21479554583629779;1,015598895420204;0;0;0;0;8,837502590561801;0;2,1258638966873677;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
45;00:45:00;0;0;0;0;0;0;0;0;1,0177117066087882;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8200962686110475;0,21492298945194488;1,0167179804060693;0;0;0;0;8,854506254039723;0;2,1259326174401636;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
46;00:46:00;0;0;0;0;0;0;0;0;1,017853650196787;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8210552462569264;0,21531657598031495;1,017562390412417;0;0;0;0;8,856299084165451;0;2,1267660099496064;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
47;00:47:00;0;0;0;0;0;0;0;0;1,018257018843072;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8210753105554439;0,21585623421034816;1,0206875464280276;0;0;0;0;8,874126462566132;0;2,131994658377721;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
48;00:48:00;0;0;0;0;0;0;0;0;1,0195208627302257;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8226783642991072;0,21596868576005876;1,022119897185979;0;0;0;0;8,886625500314649;0;2,132778700527557;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
49;00:49:00;0;0;0;0;0;0;0;0;1,0244511268179335;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8232841670874235;0,21621421672482985;1,0228534002638094;0;0;0;0;8,890183158727305;0;2,137817644045089;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
50;00:50:00;0;0;0;0;0;0;0;0;1,0250914615123266;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8239669313518991;0,21649997476813498;1,0240114052244915;0;0;0;0;8,904111788391315;0;2,1395406748282615;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
51;00:51:00;0;0;0;0;0;0;0;0;1,0254270716090625;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8240133063315426;0,216758162021788;1,0240193274295284;0;0;0;0;8,90707653451114;0;2,14031419481184;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
52;00:52:00;0;0;0;0;0;0;0;0;1,0256636776012216;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8241265746079294;0,21684161357044215;1,0242207229295142;0;0;0;0;8,91294612521311;0;2,140600993655069;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
53;00:53:00;0;0;0;0;0;0;0;0;1,0261767998960232;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8246839312073941;0,21699444444178517;1,0254471851824336;0;0;0;0;8,915559206151102;0;2,1450329979209615;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
54;00:54:00;0;0;0;0;0;0;0;0;1,026819296086905;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8264098964881632;0,21720297727864382;1,0256506290689913;0;0;0;0;8,916059877507244;0;2,148593801987654;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
55;00:55:00;0;0;0;0;0;0;0;0;1,0282597443471853;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8268139836278453;0,2172727257171414;1,0256916717481297;0;0;0;0;8,920869145502389;0;2,149194804019395;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
56;00:56:00;0;0;0;0;0;0;0;0;1,0284787786805427;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8272416486814155;0,21738132299223922;1,0261613433870753;0;0;0;0;8,928363249960736;0;2,151047136124267;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
57;00:57:00;0;0;0;0;0;0;0;0;1,0329409190412029;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8274714564902856;0,21738887302871382;1,0261668970617794;0;0;0;0;8,929916071232645;0;2,1514563192050056;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
58;00:58:00;0;0;0;0;0;0;0;0;1,0333944958937251;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8276853142374097;0,21748947017570744;1,028760862122328;0;0;0;0;8,930336916581174;0;2,152182465330809;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
59;00:59:00;0;0;0;0;0;0;0;0;1,0339589258458848;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8283439540583173;0,21752474242207148;1,0289581325309731;0;0;0;0;8,932155003877668;0;2,1533455014346266;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
60;01:00:00;0;0;0;0;0;0;0;0;1,0342220892209055;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8287315779377906;0,21775352914976265;1,02996807008548;0;0;0;0;8,935454468020147;0;2,1546457924149256;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
61;01:01:00;0;0;0;0;0;0;0;0;1,0356002715679322;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8306076300273629;0,21797050108227936;1,0300846552147749;0;0;0;0;8,949181700575611;0;2,155656305778284;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
62;01:02:00;0;0;0;0;0;0;0;0;1,036683625454567;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8310797332796767;0,2181005971718152;1,0318038672257466;0;0;0;0;8,955305696101608;0;2,156995124992252;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
63;01:03:00;0;0;0;0;0;0;0;0;1,036793353608519;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8319643265773101;0,21821096440460783;1,0319292363540897;0;0;0;0;8,95592229668107;0;2,1665946393718416;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
64;01:04:00;0;0;0;0;0;0;0;0;1,0380542805981372;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8321678316376763;0,21838996125127608;1,0323229244755807;0;0;0;0;8,95829519582436;0;2,1666603424616055;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
65;01:05:00;0;0;0;0;0;0;0;0;1,038225574410187;0;0;0;0;0;0;0;0;0;0;0;0;0;0,83302347329172;0,21860722811454047;1,0337996873536623;0;0;0;0;8,971013294525127;0;2,1672796686553855;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
66;01:06:00;0;0;0;0;0;0;0;0;1,0400426090004973;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8336595516037374;0,2187997020093679;1,0352862696312606;0;0;0;0;8,971883420970409;0;2,168418854567577;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
67;01:07:00;0;0;0;0;0;0;0;0;1,0404953117588271;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8339500807330343;0,21882267085837026;1,0363337621049424;0;0;0;0;8,97908668423725;0;2,169673120476252;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
68;01:08:00;0;0;0;0;0;0;0;0;1,040744169317284;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8346893325767278;0,21895544383196552;1,0368161107291223;0;0;0;0;8,979112815782676;0;2,171150687397087;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
69;01:09:00;0;0;0;0;0;0;0;0;1,0432985275462328;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8356768486117152;0,21919646419939698;1,0405457087236825;0;0;0;0;8,979562748617589;0;2,174191966229986;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
70;01:10:00;0;0;0;0;0;0;0;0;1,0447867886208713;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8357420761573758;0,2192306983539998;1,0411310324015741;0;0;0;0;8,98110231210794;0;2,1745140898543407;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
71;01:11:00;0;0;0;0;0;0;0;0;1,0449907252956;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8368041602692855;0,219361157090339;1,0422568103864807;0;0;0;0;8,981398810250274;0;2,175493032989957;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
72;01:12:00;0;0;0;0;0;0;0;0;1,0451111554372465;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8368201240271886;0,21943432404829216;1,0434580881891613;0;0;0;0;8,991711143578073;0;2,1776864949620474;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
73;01:13:00;0;0;0;0;0;0;0;0;1,0488056442487674;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8380013499182821;0,21944729628800927;1,043792230442231;0;0;0;0;8,993450211666747;0;2,1779776273336537;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
74;01:14:00;0;0;0;0;0;0;0;0;1,0489671444856392;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8385452999191517;0,21945077701394128;1,0442477756879998;0;0;0;0;9,010155125087287;0;2,1794105432892725;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,31525704918033;
75;01:15:00;0;0;0;0;0;0;0;0;1,0491224012703242;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8393976514870517;0,21952455326504694;1,04427940557546;0;0;0;0;9,013368848641653;0;2,1794838655061706;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,31525704918033;
76;01:16:00;0;0;0;0;0;0;0;0;1,0510711678003384;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8409537438409009;0,21972631989444094;1,0450196451744629;0;0;0;0;9,01614642119142;0;2,1800776128722212;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,31525704918033;
77;01:17:00;0;0;0;0;0;0;0;0;1,05148503822522;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8424094057571611;0,21993573065968203;1,0457942049426852;0;0;0;0;9,046354601759784;0;2,1810072127808287;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,31525704918033;
78;01:18:00;0;0;0;0;0;0;0;0;1,0522490674339722;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8424529121517577;0,22010596728543105;1,0494478904517106;0;0;0;0;9,062704320601815;0;2,181509371161245;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,31525704918033;
79;01:19:00;0;0;0;0;0;0;0;0;1,0523162323759985;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8424917600385732;0,2204084550920416;1,0504732561499457;0;0;0;0;9,073027796930534;0;2,182946009690348;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,31525704918033;
80;01:20:00;0;0;0;0;0;0;0;0;1,0542734473774618;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8435912518032319;0,22046540389903674;1,0510507194597776;0;0;0;0;9,079265508243624;0;2,1841236348737527;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,31525704918033;
