Reactive.Time;Time span;Bathroom Light (20W) [var];Bathroom Mirror Light 10 W (LED) [var];Kitchen Light (20W) [var];Cellar Light (20W) [var];Living Room Light (Energy Saving Lamp, 20W) [var];Bedroom Light (20W) [var];Children Room Light Device (20W) [var];AFK BM-2N [var];Eye Glass Cleaner Grundig UC 5020 [var];Clatronic MS 3249 Milk Foamer [var];Nespresso Coffee Machine, Single Cup [var];AEG PN 2200 RX 4935365097 [var];Hand-held Circular Saw / Bosch PKS 46 [var];Skil 4270 [var];Polishing Machine / Flex L 602 VR [var];Dishwasher NEFF SD6P1F (2011) [var];Christopeit Treadmill TM 2 Pro [var];Lawn Mower / Sabo 32-EL [var];Digitalpiano / Kawai CN-23 [var];Lamp Ikea V1017 Jansjo [var];AEG SB 2E 650 R [var];Cordless Screwdriver / Bosch PSR 18 LI-2 [var];Electric Kettle / Petra WK288 1.5L [var];Energy Saving Lamp / EL-REF 11 E27 [var];CD/DVD Player / Philips DVDR 725 H [var];TV Medion MD20123_DE_A [var];SAT Receiver / Kathrein UFS913 [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Juicer / Moulinex Vitafruit [var];Kitchen radio / AEG KRC 4323 CD [var];Single Stove Plate [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster Salco MT 400 [var];PC / Acer 8400 [var];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [var];Epson Stylus Color 860 [var];TASKalfa 180 [var];Canon CanoScan LIDE 110 [var];TFT Monitor Samsung S27C750P [var];Active Speaker Trust Tytan 2.1 [var];Gaming Computer [var];Cell Phone Samsung Charging [var];Miele DG 1450 [var];Handmixer / Phillips Robust HR 1581 [var];Westinghouse Fanaway [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [var];Microwave / Panasonic NN 5259 [var];Kitchen Machine Bosch UM4VE2B [var];Extractor Hood / Miele DA 429-4 [var];Miele DA 61 [var];Deep Fryer / DeLonghi F 28311.W Rotofritteuse [var];Ricecooker / Tristar RK-6112 [var];Steam Cooker / Phillips HD9140 [var];Immersion Blender Noah Hit Top [var];Fondue / Unold 48746 Asia [var];Bauknecht GTE 260 [var];Dryer / Miele T 8626 WP [var];Electronic Hometrainer / Kettler Satura E [var];Hair Dryer Braun Silencio 1250 [var];Laptop Sony Vaio SVE151G11M [var];Steam Iron / Phillips GC 4410 [var];Washing Machine / Bosch WAE 28143 [var];Phone Siemens Gigaset C320 [var];Canister vacuum cleaner / Siemens VS 06 G 1831 [var];External Harddrive Iomega 3.5" [var];Nintendo Wii [var];Siemens Kl 20 LA 65 (A+) [var];Electric Razor Braun Cruzer 5 [var];Electric Toothbrush Dondodent Professional Clean [var];Samsung CLP-315W [var];Fax / Phillips Faxjet 525 Primo (IPF525) [var];Microsoft Xbox 360 [var];Yamaha RX-V667 [var];Router O2 Box 6431 [var];
10;00:10:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-160,193459016393;0;0;0;-3,49109083606557;0;1,3778244451942059;-44,8028016393443;0;0,25487298923596263;-49,963193442623;0,7024535341664433;0;0;0,30780078775762515;-25,7309901639344;0;-38,8099229508197;0,839120242051702;0,6589110482708554;0,05559330335973819;0,5866256924646883;0;0,6470349836409585;-16,0372557377049;1,2776566054085727;-15,14814590163935;0;0;0;0;0;0;2,712975972067206;0;0;0;0;0;0;0;0;0;0;0,9178030085557968;-16,9660196721312;-25,7462983606557;0;0;3,39799731147541;0;0;0,45890841214226674;0;-0,227673278688525;-4,17003360655738;3,2725227734388684;1,173608605340312;0,8519127067505006;2,7812328166992506;-19,87103295081967;
11;00:11:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-159,999114754098;0;0;0;0;0;1,3793944505564995;-44,7583;0;0,25500610275209185;-49,963193442623;0,7052061345452317;0;0;0,31065184656218026;-25,7309901639344;0;-38,8099229508197;0,8482596724737388;0,6600477063910235;0,05569829254649463;0,5875107982128592;0;0,6473305344965316;-16,0350655737705;1,2778177910851547;-15,13037295081968;0;0;0;0;0;0;2,736844825665236;0;0;0;0;0;0;0;0;0;0;0,9201835769444847;-16,9507918032787;-25,7462983606557;0;0;3,40170672131148;0;0;0,459224551774555;0;-0,227673278688525;-4,17003360655738;3,290138808883947;1,1771542016886314;0,8534697285556017;2,791638067646713;-19,852523442622953;
12;00:12:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-159,999114754098;0;0;0;0;0;1,383580906755842;-44,7583;0;0,2557757472497893;-49,963193442623;0,707755207145272;0;0;0,31101297983490156;-25,4035836065574;0;-38,8099229508197;0,8482860061168056;0,6604841283973197;0,055873375236801394;0,589271343901061;0;0,647603812029565;-16,0279573770492;1,2781928795508957;-15,117778032786891;0;0;0;0;0;0;2,7516428360574987;0;0;0;0;0;0;0;0;0;0;0,9216021964023026;-16,9507918032787;-25,7462983606557;0;0;3,40170672131148;0;0;0,4600487514529905;0;-0,227673278688525;-4,17003360655738;3,3031570561190446;1,1803125322485029;0,8538260182921644;2,7956768244437407;-19,852523442622953;
13;00:13:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-159,999114754098;0;0;0;0;0;1,385193519015911;-44,7583;0;0,25720328707944173;-49,963193442623;0,7098944228258002;0;0;0,3144231805180161;-25,4035836065574;0;-38,8099229508197;0,8491321874471615;0,6612376249185458;0,0561313611347416;0,5946568431782986;0;0,6478618370792645;-16,0273868852459;1,2787881591721115;-15,11646;0;0;0;0;0;0;2,754487446184725;0;0;0;0;0;0;0;0;0;0;0,9281506926711082;-16,9507918032787;-25,7462983606557;0;0;3,4088686885245902;0;0;0,46053388265782;0;-0,227673278688525;-4,17003360655738;3,309160462897919;1,1846163142818544;0,8585298181054818;2,798100491928284;-19,852523442622953;
14;00:14:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-159,786;0;0;0;0;0;1,3865732498425254;-44,7583;0;0,257315748139021;-49,8812426229508;0,7101668904201939;0;0;0,3147991165903245;-25,4035836065574;0;-38,8099229508197;0,8498982273799324;0,6613447576000991;0,056242807136616654;0,5963051031057877;0;0,6482948599727147;-16,0255967213115;1,2788486512149;-15,07460754098361;0;0;0;0;0;0;2,7552240161318675;0;0;0;0;0;0;0;0;0;0;0,931402960690028;-16,9507918032787;-25,7462983606557;0;0;3,4088686885245902;0;0;0,4616269975805511;0;-0,227673278688525;-4,17003360655738;3,323265369689595;1,1861769325797995;0,8601644888456347;2,803153719193516;-19,852523442622953;
15;00:15:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-159,786;0;0;0;0;0;1,3983935495067565;-44,7583;0;0,2590797136303323;-49,8812426229508;0,7113916450116959;0;0;0,31595277228988766;-25,4035836065574;0;-38,8099229508197;0,8529353774947401;0,6638941779506431;0,05645018515943843;0,6009092466238589;0;0,6484944844273057;-16,0217540983607;1,2788880408872125;-15,074205737704919;0;0;0;0;0;0;2,7559027150973034;0;0;0;0;0;0;0;0;0;0;0,9342965406094536;-16,9319475409836;-25,7462983606557;0;0;3,41430032786885;0;0;0,46230942335915143;0;-0,227673278688525;-4,17003360655738;3,3284268499619984;1,1884488947015015;0,8630230711596885;2,812056784755779;-19,852523442622953;
16;00:16:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-159,786;0;0;0;0;0;1,399074000968854;-44,7583;0;0,25933116752895835;-49,8812426229508;0,7123588781270016;0;0;0,3163183100826343;-25,4035836065574;0;-38,8099229508197;0,8529453921248562;0,6658591925991257;0,05656027404211363;0,6011054038929755;0;0,6487591550091377;-16,0178459016393;1,2792897265969834;-15,06879016393443;0;0;0;0;0;0;2,7577679405431494;0;0;0;0;0;0;0;0;0;0;0,9358547594435511;-16,882993442623;-25,7462983606557;0;0;3,41486409836066;0;0;0,4639822754054666;0;-0,227673278688525;-4,17003360655738;3,3324423388905524;1,1932912313242228;0,8636138011230974;2,8284996241217817;-19,852523442622953;
17;00:17:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-159,733409836066;0;0;0;0;0;1,4126643589821615;-44,7583;0;0,2609176167476959;-49,8812426229508;0,7125294721443516;0;0;0,3169076576367723;-25,4035836065574;0;-38,8099229508197;0,8582985169445816;0,6663552593907507;0,0566249048530017;0,6026793790044604;0;0,6488358360387724;-16,0150868852459;1,2796799745385425;-15,05804147540984;0;0;0;0;0;0;2,76941129715403;0;0;0;0;0;0;0;0;0;0;0,9426388497277958;-16,882993442623;-25,7462983606557;0;0;3,41486409836066;0;0;0,46681864012882957;0;-0,227673278688525;-4,17003360655738;3,333864929316213;1,193651625108399;0,8703673518472732;2,836686548828509;-19,852523442622953;
18;00:18:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-159,733409836066;0;0;0;0;0;1,4278084376023064;-44,7583;0;0,2614455585602075;-49,8812426229508;0,714839583393984;0;0;0,3169157982970239;-25,4035836065574;0;-38,8099229508197;0,8639149667709932;0,6670159842340381;0,0566312157098815;0,6030931072319111;0;0,6493814219167077;-16,0132721311475;1,279760225777195;-15,0427193442623;0;0;0;0;0;0;2,7739922422013863;0;0;0;0;0;0;0;0;0;0;0,9447085871696146;-16,882993442623;-25,7462983606557;0;0;3,41562081967213;0;0;0,47050055685881437;0;-0,227673278688525;-4,17003360655738;3,356201882507224;1,19510703894713;0,8717172965538212;2,8413373920450673;-19,852523442622953;
19;00:19:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-159,733409836066;0;0;0;0;0;1,4278650168653841;-44,7583;0;0,262131804373984;-49,8812426229508;0,716561700057317;0;0;0,3183278681870895;-25,4035836065574;0;-38,7271737704918;0,8667508366321457;0,6677778173955;0,05664611452907002;0,6032940425470872;0;0,6500354867669886;-16,0092557377049;1,280009176228302;-15,04232295081968;0;0;0;0;0;0;2,7746872118688;0;0;0;0;0;0;0;0;0;0;0,9474466345439401;-16,882993442623;-25,7462983606557;0;0;3,41766344262295;0;0;0,4711059817633729;0;-0,227673278688525;-4,17003360655738;3,3585137152894666;1,195331291957497;0,8734625623915694;2,8505612603986634;-19,852523442622953;
20;00:20:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-159,733409836066;0;0;0;0;0;1,4327141878781267;-44,7583;0;0,26226742487537424;-49,8812426229508;0,7188915598620611;0;0;0,3196569294991709;-25,4035836065574;0;-38,7271737704918;0,8667516184535273;0,6681278302684328;0,05665939236149741;0,6035538735486862;0;0,6504768843746238;-16,0076868852459;1,2803907709429656;-15,02894885245902;0;0;0;0;0;0;2,7764948632597024;0;0;0;0;0;0;0;0;0;0;0,9498011604688268;-16,882993442623;-25,7462983606557;0;0;3,41766344262295;0;0;0,47181022716994764;0;-0,227673278688525;-4,17003360655738;3,363407930843324;1,1964011043813532;0,8740990893674617;2,8520502619019936;-19,852523442622953;
21;00:21:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-159,733409836066;0;0;0;0;0;1,4396808523672355;0;0;0,2626432170045821;-49,8812426229508;0,7201630748067094;0;0;0,32107906046909807;-25,4035836065574;0;-38,7271737704918;0,8681353156331126;0,6683442925985713;0,05672090211641203;0,6045089734272195;0;0,6512379277936226;-15,992568852459;1,2806110294117354;-15,019002950819669;0;0;0;0;0;0;2,7772761404597017;0;0;0;0;0;0;0;0;0;0;0,9499176630872974;-16,882993442623;-25,7462983606557;0;0;3,4224131147541;0;0;0,4719291790805833;0;-0,227673278688525;-4,17003360655738;3,365839165340894;1,198980133545756;0,8744190116256336;2,852056177266493;-19,852523442622953;
22;00:22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-159,079557377049;0;0;0;0;0;1,4417534616720389;0;0;0,2631484778099271;-49,8812426229508;0,7202312015227406;0;0;0,3226080035464161;-25,4035836065574;0;-38,7271737704918;0,8683061775370418;0,6685319284997253;0,05674161683948389;0,6059718548696034;0;0,6520193522464492;-15,9903983606557;1,2806722707817162;-14,99964639344263;0;0;0;0;0;0;2,778482967078208;0;0;0;0;0;0;0;0;0;0;0,9504880057877427;-16,8791885245902;-25,7462983606557;0;0;3,4224131147541;0;0;0,47214175682731474;0;-0,227673278688525;-4,17003360655738;3,389722907846131;1,2042734735208445;0,8746002016051455;2,855964068115445;-19,852523442622953;
23;00:23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-159,079557377049;0;0;0;0;0;1,4422568230685355;0;0;0,26386407033606224;-49,8812426229508;0,7211199971454225;0;0;0,32358184597140366;-25,4035836065574;0;-38,7271737704918;0,869185050764518;0,6693308261515083;0,05674700258562993;0,6061945622101034;0;0,6524196855975596;-15,9889885245902;1,2807025288081457;-14,99610065573771;0;0;0;0;0;0;2,7907706819507334;0;0;0;0;0;0;0;0;0;0;0,9507827117450235;-16,872962295082;-25,7462983606557;0;0;3,4226126229508202;0;0;0,47237439165942297;0;-0,227673278688525;-4,17003360655738;3,393048166034386;1,2043724699171228;0,8753544574950786;2,859317040212165;-19,852523442622953;
24;00:24:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-159,079557377049;0;0;0;0;0;1,4438932343349244;0;0;0,2643700319679418;-49,8541131147541;0,723639355459325;0;0;0,3241916424450171;-25,4035836065574;0;-38,7271737704918;0,8697098023566052;0,6694400781895912;0,05689707066973226;0,6069702382004994;0;0,6524350888906079;-15,9889081967213;1,2807834609740647;-14,98697918032787;0;0;0;0;0;0;2,7943861333270865;0;0;0;0;0;0;0;0;0;0;0,9552724732704558;-16,8694655737705;-25,7462983606557;0;0;3,4226126229508202;0;0;0,4731934180207112;0;-0,227673278688525;-4,17003360655738;3,399399975911051;1,2052829231334627;0,8758207101326901;2,860700754712879;-19,852523442622953;
25;00:25:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-158,966639344262;0;0;0;0;0;1,445611476852809;0;0;0,2645219687151882;-49,8541131147541;0,7249171221366328;0;0;0,3246382428116477;-25,4035836065574;0;-38,7271737704918;0,8698763937724945;0,6695854800571286;0,056919771766976664;0,6134392824754321;0;0,6541708738917158;-15,9889081967213;1,2809270118893077;-14,98143147540984;0;0;0;0;0;0;2,795851407294758;0;0;0;0;0;0;0;0;0;0;0,956798979403676;-16,8638721311475;-25,7462983606557;0;0;3,4247696721311502;0;0;0,47400891461175265;0;-0,227673278688525;-4,17003360655738;3,4011884251525313;1,2068970847368776;0,8762115227229696;2,8607859428540445;-19,85178032786886;
26;00:26:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-158,966639344262;0;0;0;0;0;1,4511032003210136;0;0;0,26543539632317836;-49,8541131147541;0,7251084327705666;0;0;0,3246735323627429;-25,4035836065574;0;-38,7271737704918;0,8701896067996742;0,67069067093247;0,056997082902341525;0,6155996931017115;0;0,6544557673675762;-15,9889065573771;1,2809514661169197;-14,98043016393442;0;0;0;0;0;0;2,796256777422889;0;0;0;0;0;0;0;0;0;0;0,9573138860925984;-16,8544836065574;-25,7462983606557;0;0;3,4247696721311502;0;0;0,47533995418273656;0;-0,227673278688525;-4,17003360655738;3,40322524518318;1,206979614153434;0,8778629666673632;2,8632034478146715;-19,85178032786886;
27;00:27:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-158,966639344262;0;0;0;0;0;1,4528789042100818;0;0;0,2655401334771354;-49,8541131147541;0,7255304505278581;0;0;0,32468434484378467;-25,4035836065574;0;-38,7271737704918;0,8718603701210923;0,6713905009477672;0,057406333866822604;0,6163128237112174;0;0,6544812787768625;-15,9881295081967;1,2809876962467823;-14,93716672131148;0;0;0;0;0;0;2,8020152109973564;0;0;0;0;0;0;0;0;0;0;0,9600348342137188;-16,8493885245902;-25,7462983606557;0;0;3,42565196721311;0;0;0,47569202758991824;0;-0,227673278688525;-4,17003360655738;3,404499194932939;1,2089990472544399;0,8805495607375531;2,8656611722675858;-19,84971278688525;
28;00:28:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-158,545524590164;0;0;0;0;0;1,4558985683527694;0;0;0,26561122474004123;-49,8541131147541;0,7274541829758983;0;0;0,32620261535525646;-25,4035836065574;0;-38,7271737704918;0,8725778619124467;0,6735304698113749;0,05742755494057426;0,6199603546405529;0;0,655260195784695;-15,9877590163934;1,281080663253812;-14,931424590163939;0;0;0;0;0;0;2,8045763958102516;0;0;0;0;0;0;0;0;0;0;0,9624077888760861;-16,8474393442623;-25,7462983606557;0;0;3,42681196721312;0;0;0,4768394567759344;0;-0,227673278688525;-4,17003360655738;3,4063703635466327;1,2099455966295987;0,8831066177075291;2,8681216625147625;-19,84971278688525;
