Inner Device Heat Gains.Time;Calender;Bathroom Light (20W);Bathroom Mirror Light 10 W (LED);Kitchen Light (20W);Cellar Light (20W);Living Room Light (Energy Saving Lamp, 20W);Bedroom Light (20W);Children Room Light Device (20W);AFK BM-2N;Eye Glass Cleaner Grundig UC 5020;Clatronic MS 3249 Milk Foamer;Nespresso Coffee Machine, Single Cup;AEG PN 2200 RX 4935365097;Hand-held Circular Saw / Bosch PKS 46;Skil 4270;Polishing Machine / Flex L 602 VR;Dishwasher NEFF SD6P1F (2011);Christopeit Treadmill TM 2 Pro;Lawn Mower / Sabo 32-EL;Digitalpiano / Kawai CN-23;Lamp Ikea V1017 Jansjo;AEG SB 2E 650 R;Cordless Screwdriver / Bosch PSR 18 LI-2;Electric Kettle / Petra WK288 1.5L;Energy Saving Lamp / EL-REF 11 E27;CD/DVD Player / Philips DVDR 725 H;TV Medion MD20123_DE_A;SAT Receiver / Kathrein UFS913;Egg Cooker / Russell Hobbs 14048-56 Stylo;Juicer / Moulinex Vitafruit;Kitchen radio / AEG KRC 4323 CD;Single Stove Plate;Food Slicer / DOMO Schneidemaschine DO521S;Toaster Salco MT 400;PC / Acer 8400;PC Monitor / Fujitsu Siemens Scaleoview D19-1;Epson Stylus Color 860;TASKalfa 180;Canon CanoScan LIDE 110;TFT Monitor Samsung S27C750P;Active Speaker Trust Tytan 2.1;Gaming Computer;Cell Phone Samsung Charging;Miele DG 1450;Handmixer / Phillips Robust HR 1581;Westinghouse Fanaway;Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Microwave / Panasonic NN 5259;Kitchen Machine Bosch UM4VE2B;Extractor Hood / Miele DA 429-4;Miele DA 61;Deep Fryer / DeLonghi F 28311.W Rotofritteuse;Ricecooker / Tristar RK-6112;Steam Cooker / Phillips HD9140;Immersion Blender Noah Hit Top;Fondue / Unold 48746 Asia;Bauknecht GTE 260;Dryer / Miele T 8626 WP;Electronic Hometrainer / Kettler Satura E;Hair Dryer Braun Silencio 1250;Laptop Sony Vaio SVE151G11M;Steam Iron / Phillips GC 4410;Washing Machine / Bosch WAE 28143;Phone Siemens Gigaset C320;Canister vacuum cleaner / Siemens VS 06 G 1831;External Harddrive Iomega 3.5";Nintendo Wii;Siemens Kl 20 LA 65 (A+);Electric Razor Braun Cruzer 5;Electric Toothbrush Dondodent Professional Clean;Samsung CLP-315W;Fax / Phillips Faxjet 525 Primo (IPF525);Microsoft Xbox 360;Yamaha RX-V667;Router O2 Box 6431;
10;00:10:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
11;00:11:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
12;00:12:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
13;00:13:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
14;00:14:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
15;00:15:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
16;00:16:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
17;00:17:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
18;00:18:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
19;00:19:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
20;00:20:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
21;00:21:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
22;00:22:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
23;00:23:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
24;00:24:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
25;00:25:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
26;00:26:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
27;00:27:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
28;00:28:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
29;00:29:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
30;00:30:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
31;00:31:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
32;00:32:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
33;00:33:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
34;00:34:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
35;00:35:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;3;5;5;5;5;5;5;10;
36;00:36:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;3;5;5;5;5;5;5;10;
37;00:37:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
38;00:38:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
39;00:39:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
40;00:40:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
41;00:41:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
42;00:42:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;3;5;5;5;5;5;5;10;
43;00:43:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
44;00:44:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
45;00:45:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
46;00:46:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
47;00:47:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
48;00:48:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
49;00:49:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
50;00:50:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
51;00:51:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
52;00:52:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
53;00:53:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
54;00:54:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
55;00:55:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
56;00:56:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
57;00:57:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
58;00:58:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
59;00:59:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
60;01:00:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
61;01:01:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
62;01:02:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
63;01:03:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
64;01:04:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
65;01:05:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
66;01:06:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
67;01:07:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
68;01:08:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
69;01:09:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
