Device;Load Type;Profile;Number of Activations
CD/DVD Player / Philips DVDR 725 H;Electricity;01 h 30 min 100% [Synthetic];7
CD/DVD Player / Philips DVDR 725 H;Electricity;02 h 0 min 100% [Synthetic];5
CD/DVD Player / Philips DVDR 725 H;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];7
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];5
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
CD/DVD Player / Philips DVDR 725 H;Reactive;01 h 30 min 100% [Synthetic];7
CD/DVD Player / Philips DVDR 725 H;Reactive;02 h 0 min 100% [Synthetic];5
CD/DVD Player / Philips DVDR 725 H;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
Canon CanoScan LIDE 110;Apparent;0 h 10 min 100% [Synthetic];9
Canon CanoScan LIDE 110;Electricity;0 h 10 min 100% [Synthetic];9
Canon CanoScan LIDE 110;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];9
Canon CanoScan LIDE 110;Reactive;0 h 10 min 100% [Synthetic];9
Cell Phone Samsung Charging;Apparent;Profile for Cell Phone Samsung Charging Apparent [Measurement by ZSW (1min)];26
Cell Phone Samsung Charging;Apparent;Standby Generic 01 h 0 min 1% [Synthetic];9
Cell Phone Samsung Charging;Electricity;Profile for Cell Phone Samsung Charging Electricity [Measurement by ZSW (1min)];26
Cell Phone Samsung Charging;Electricity;Standby Generic 01 h 0 min 1% [Synthetic];9
Cell Phone Samsung Charging;Inner Device Heat Gains;Profile for Cell Phone Samsung Charging Electricity [Measurement by ZSW (1min)];26
Cell Phone Samsung Charging;Inner Device Heat Gains;Standby Generic 01 h 0 min 1% [Synthetic];9
Cell Phone Samsung Charging;Reactive;Profile for Cell Phone Samsung Charging Reactive [Measurement by ZSW (1min)];26
Cell Phone Samsung Charging;Reactive;Standby Generic 01 h 0 min 1% [Synthetic];9
Children Room Light Device (20W);Apparent;Children's room - light [Synthetic for Light Device];8
Children Room Light Device (20W);Electricity;Children's room - light [Synthetic for Light Device];8
Children Room Light Device (20W);Inner Device Heat Gains;Children's room - light [Synthetic for Light Device];8
Children Room Light Device (20W);Reactive;Children's room - light [Synthetic for Light Device];8
Christopeit Treadmill TM 2 Pro;Apparent;0 h 30 min 100% [Synthetic];1
Christopeit Treadmill TM 2 Pro;Electricity;0 h 30 min 100% [Synthetic];1
Christopeit Treadmill TM 2 Pro;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];1
Christopeit Treadmill TM 2 Pro;Reactive;0 h 30 min 100% [Synthetic];1
Clatronic MS 3249 Milk Foamer;Apparent;0 h 10 min 100% [Synthetic];5
Clatronic MS 3249 Milk Foamer;Electricity;0 h 10 min 100% [Synthetic];5
Clatronic MS 3249 Milk Foamer;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];5
Clatronic MS 3249 Milk Foamer;Reactive;0 h 10 min 100% [Synthetic];5
Cleanser;None;01 h 0 min 100% [Synthetic];1
Concert;None;04 h 0 min 100% [Synthetic];1
Cordless Screwdriver / Bosch PSR 18 LI-2;Apparent;01 h 0 min 30% [Synthetic];120
Cordless Screwdriver / Bosch PSR 18 LI-2;Electricity;01 h 0 min 30% [Synthetic];120
Cordless Screwdriver / Bosch PSR 18 LI-2;Inner Device Heat Gains;01 h 0 min 30% [Synthetic];120
Cordless Screwdriver / Bosch PSR 18 LI-2;Reactive;01 h 0 min 30% [Synthetic];120
Couch;None;02 h 0 min 100% [Synthetic];13
Digitalpiano / Kawai CN-23;Apparent;01 h 0 min 100% [Synthetic];4
Digitalpiano / Kawai CN-23;Electricity;01 h 0 min 100% [Synthetic];4
Digitalpiano / Kawai CN-23;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];4
Digitalpiano / Kawai CN-23;Reactive;01 h 0 min 100% [Synthetic];4
Dishwasher NEFF SD6P1F (2011);Apparent;Profile for Dishwasher NEFF SD6P1F (2011) Apparent [Measurement by ZSW (1min)];3
Dishwasher NEFF SD6P1F (2011);Cold Water;0 h 05 min 100% [Synthetic];3
Dishwasher NEFF SD6P1F (2011);Electricity;Profile for Dishwasher NEFF SD6P1F (2011) Electricity [Measurement by ZSW (1min)];3
Dishwasher NEFF SD6P1F (2011);Inner Device Heat Gains;Profile for Dishwasher NEFF SD6P1F (2011) Electricity [Measurement by ZSW (1min)];3
Dishwasher NEFF SD6P1F (2011);Reactive;Profile for Dishwasher NEFF SD6P1F (2011) Reactive [Measurement by ZSW (1min)];3
Dryer / Miele T 8626 WP;Apparent;Dryer Profile 2h [Measured 1 min resolution];2
Dryer / Miele T 8626 WP;Electricity;Dryer Profile 2h [Measured 1 min resolution];2
Dryer / Miele T 8626 WP;Inner Device Heat Gains;Dryer Profile 2h [Measured 1 min resolution];2
Dryer / Miele T 8626 WP;Reactive;Dryer Profile 2h [Measured 1 min resolution];2
Egg Cooker / Russell Hobbs 14048-56 Stylo;Apparent;0 h 05 min 100% [Synthetic];8
Egg Cooker / Russell Hobbs 14048-56 Stylo;Electricity;0 h 05 min 100% [Synthetic];8
Egg Cooker / Russell Hobbs 14048-56 Stylo;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];8
Egg Cooker / Russell Hobbs 14048-56 Stylo;Reactive;0 h 05 min 100% [Synthetic];8
Electric Kettle / Petra WK288 1.5L;Apparent;Profile for Electric Kettle Petra WK288 1.5L Apparent [Measurement by ZSW (1min)];5
Electric Kettle / Petra WK288 1.5L;Electricity;Profile for Electric Kettle Petra WK288 1.5L Electricity [Measurement by ZSW (1min)];5
Electric Kettle / Petra WK288 1.5L;Inner Device Heat Gains;Profile for Electric Kettle Petra WK288 1.5L Electricity [Measurement by ZSW (1min)];5
Electric Kettle / Petra WK288 1.5L;Reactive;Profile for Electric Kettle Petra WK288 1.5L Reactive [Measurement by ZSW (1min)];5
Electric Razor Braun Cruzer 5;Apparent;Profile for Electric Razor Braun Cruzer 5 Apparent [Measurement by ZSW (1min)];91
Electric Razor Braun Cruzer 5;Electricity;Profile for Electric Razor Braun Cruzer 5 Electricity [Measurement by ZSW (1min)];91
Electric Razor Braun Cruzer 5;Inner Device Heat Gains;Profile for Electric Razor Braun Cruzer 5 Electricity [Measurement by ZSW (1min)];91
Electric Razor Braun Cruzer 5;Reactive;Profile for Electric Razor Braun Cruzer 5 Reactive [Measurement by ZSW (1min)];91
Electric Toothbrush Dondodent Professional Clean;Apparent;Profile for Electric Toothbrush Dondodent Professional Clean Apparent [Measurement by ZSW (1min)];87
Electric Toothbrush Dondodent Professional Clean;Electricity;Profile for Electric Toothbrush Dondodent Professional Clean Electricity [Measurement by ZSW (1min)];87
Electric Toothbrush Dondodent Professional Clean;Inner Device Heat Gains;Profile for Electric Toothbrush Dondodent Professional Clean Electricity [Measurement by ZSW (1min)];87
Electric Toothbrush Dondodent Professional Clean;Reactive;Profile for Electric Toothbrush Dondodent Professional Clean Reactive [Measurement by ZSW (1min)];87
Electronic Hometrainer / Kettler Satura E;Apparent;0 h 30 min 100% [Synthetic];3
Electronic Hometrainer / Kettler Satura E;Apparent;Standby Generic 01 h 0 min 1% [Synthetic];120
Electronic Hometrainer / Kettler Satura E;Electricity;0 h 30 min 100% [Synthetic];3
Electronic Hometrainer / Kettler Satura E;Electricity;Standby Generic 01 h 0 min 1% [Synthetic];120
Electronic Hometrainer / Kettler Satura E;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];3
Electronic Hometrainer / Kettler Satura E;Inner Device Heat Gains;Standby Generic 01 h 0 min 1% [Synthetic];120
Electronic Hometrainer / Kettler Satura E;Reactive;0 h 30 min 100% [Synthetic];3
Electronic Hometrainer / Kettler Satura E;Reactive;Standby Generic 01 h 0 min 1% [Synthetic];120
Epson Stylus Color 860;Apparent;0 h 10 min 100% [Synthetic];26
Epson Stylus Color 860;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Epson Stylus Color 860;Electricity;0 h 10 min 100% [Synthetic];26
Epson Stylus Color 860;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Epson Stylus Color 860;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];26
Epson Stylus Color 860;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Epson Stylus Color 860;Reactive;0 h 10 min 100% [Synthetic];26
Epson Stylus Color 860;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
External Harddrive Iomega 3.5";Apparent;Profile for External Harddrive Iomega 3.5" Apparent [Measured 1 min Resolution (TUC)];5
External Harddrive Iomega 3.5";Electricity;Profile for External Harddrive Iomega 3.5" Electricity [Measured 1 min Resolution (TUC)];5
External Harddrive Iomega 3.5";Inner Device Heat Gains;Profile for External Harddrive Iomega 3.5" Electricity [Measured 1 min Resolution (TUC)];5
External Harddrive Iomega 3.5";Reactive;Profile for External Harddrive Iomega 3.5" Electricity [Measured 1 min Resolution (TUC)];5
Extractor Hood / Miele DA 429-4;Apparent;Cooking profile I 15 min [Synthetic];1
Extractor Hood / Miele DA 429-4;Apparent;Cooking profile II 40 min [Synthetic];2
Extractor Hood / Miele DA 429-4;Apparent;Cooking profile III 1h 40 min [Synthetic];1
Extractor Hood / Miele DA 429-4;Electricity;Cooking profile I 15 min [Synthetic];1
Extractor Hood / Miele DA 429-4;Electricity;Cooking profile II 40 min [Synthetic];2
Extractor Hood / Miele DA 429-4;Electricity;Cooking profile III 1h 40 min [Synthetic];1
Extractor Hood / Miele DA 429-4;Inner Device Heat Gains;Cooking profile I 15 min [Synthetic];1
Extractor Hood / Miele DA 429-4;Inner Device Heat Gains;Cooking profile II 40 min [Synthetic];2
Extractor Hood / Miele DA 429-4;Inner Device Heat Gains;Cooking profile III 1h 40 min [Synthetic];1
Extractor Hood / Miele DA 429-4;Reactive;Cooking profile I 15 min [Synthetic];1
Extractor Hood / Miele DA 429-4;Reactive;Cooking profile II 40 min [Synthetic];2
Extractor Hood / Miele DA 429-4;Reactive;Cooking profile III 1h 40 min [Synthetic];1
Eye Glass Cleaner Grundig UC 5020;Apparent;0 h 05 min 100% [Synthetic];4
Eye Glass Cleaner Grundig UC 5020;Electricity;0 h 05 min 100% [Synthetic];4
Eye Glass Cleaner Grundig UC 5020;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];4
Eye Glass Cleaner Grundig UC 5020;Reactive;0 h 05 min 100% [Synthetic];4
Fax / Phillips Faxjet 525 Primo (IPF525);Apparent;Standby Fax 01 h 0 min 20% [Synthetic];120
Fax / Phillips Faxjet 525 Primo (IPF525);Electricity;Standby Fax 01 h 0 min 20% [Synthetic];120
Fax / Phillips Faxjet 525 Primo (IPF525);Inner Device Heat Gains;Standby Fax 01 h 0 min 20% [Synthetic];120
Fax / Phillips Faxjet 525 Primo (IPF525);Reactive;Standby Fax 01 h 0 min 20% [Synthetic];120
Fondue / Unold 48746 Asia;Apparent;Fondue profile [Synthetic];2
Fondue / Unold 48746 Asia;Electricity;Fondue profile [Synthetic];2
Fondue / Unold 48746 Asia;Inner Device Heat Gains;Fondue profile [Synthetic];2
Fondue / Unold 48746 Asia;Reactive;Fondue profile [Synthetic];2
Food Slicer / DOMO Schneidemaschine DO521S;Apparent;0 h 01 min 100% [Synthetic];8
Food Slicer / DOMO Schneidemaschine DO521S;Electricity;0 h 01 min 100% [Synthetic];8
Food Slicer / DOMO Schneidemaschine DO521S;Inner Device Heat Gains;0 h 01 min 100% [Synthetic];8
Food Slicer / DOMO Schneidemaschine DO521S;Reactive;0 h 01 min 100% [Synthetic];8
Gaming Computer;Apparent;02 h 0 min 100% [Synthetic];12
Gaming Computer;Apparent;Standby Generic 01 h 0 min 1% [Synthetic];119
Gaming Computer;Electricity;02 h 0 min 100% [Synthetic];12
Gaming Computer;Electricity;Standby Generic 01 h 0 min 1% [Synthetic];119
Gaming Computer;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];12
Gaming Computer;Inner Device Heat Gains;Standby Generic 01 h 0 min 1% [Synthetic];119
Gaming Computer;Reactive;02 h 0 min 100% [Synthetic];12
Gaming Computer;Reactive;Standby Generic 01 h 0 min 1% [Synthetic];119
Generic Music Instrument without Electricity;None;01 h 0 min 100% [Synthetic];5
Hair Dryer Braun Silencio 1250;Apparent;Profile for Hair Dryer Braun Silencio 1250 05min Apparent [Measurement by ZSW (1min)];3
Hair Dryer Braun Silencio 1250;Apparent;Profile for Hair Dryer Braun Silencio 1250 20min Apparent [Measurement by ZSW (1min)];1
Hair Dryer Braun Silencio 1250;Electricity;Profile for Hair Dryer Braun Silencio 1250 05min Electricity [Measurement by ZSW (1min)];3
Hair Dryer Braun Silencio 1250;Electricity;Profile for Hair Dryer Braun Silencio 1250 20min Electricity [Measurement by ZSW (1min)];1
Hair Dryer Braun Silencio 1250;Inner Device Heat Gains;Profile for Hair Dryer Braun Silencio 1250 05min Electricity [Measurement by ZSW (1min)];3
Hair Dryer Braun Silencio 1250;Inner Device Heat Gains;Profile for Hair Dryer Braun Silencio 1250 20min Electricity [Measurement by ZSW (1min)];1
Hair Dryer Braun Silencio 1250;Reactive;Profile for Hair Dryer Braun Silencio 1250 05min Reactive [Measurement by ZSW (1min)];3
Hair Dryer Braun Silencio 1250;Reactive;Profile for Hair Dryer Braun Silencio 1250 20min Reactive [Measurement by ZSW (1min)];1
Handmixer / Phillips Robust HR 1581;Apparent;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Electricity;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Reactive;0 h 05 min 100% [Synthetic];1
Immersion Blender Noah Hit Top;Apparent;Profile for Immersion Blender Noah Hit Top Apparent [Measurement by ZSW (1min)];3
Immersion Blender Noah Hit Top;Electricity;Profile for Immersion Blender Noah Hit Top Electricity [Measurement by ZSW (1min)];3
Immersion Blender Noah Hit Top;Inner Device Heat Gains;Profile for Immersion Blender Noah Hit Top Electricity [Measurement by ZSW (1min)];3
Immersion Blender Noah Hit Top;Reactive;Profile for Immersion Blender Noah Hit Top Reactive [Measurement by ZSW (1min)];3
Indoor Swimming Pool;None;02 h 0 min 100% [Synthetic];1
Juicer / Moulinex Vitafruit;Apparent;0 h 10 min 100% [Synthetic];8
Juicer / Moulinex Vitafruit;Electricity;0 h 10 min 100% [Synthetic];8
Juicer / Moulinex Vitafruit;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];8
Juicer / Moulinex Vitafruit;Reactive;0 h 10 min 100% [Synthetic];8
Kitchen Light (20W);Apparent;Kitchen - light [Synthetic for Light Device];14
Kitchen Light (20W);Electricity;Kitchen - light [Synthetic for Light Device];14
Kitchen Light (20W);Inner Device Heat Gains;Kitchen - light [Synthetic for Light Device];14
Kitchen Light (20W);Reactive;Kitchen - light [Synthetic for Light Device];14
Kitchen Machine Bosch UM4VE2B;Apparent;Profile for Bosch UM4VE2B Apparent [Measured 1 min Resolution (TUC)];1
Kitchen Machine Bosch UM4VE2B;Electricity;Profile for Bosch UM4VE2B Electricity [Measured 1 min Resolution (TUC)];1
Kitchen Machine Bosch UM4VE2B;Inner Device Heat Gains;Profile for Bosch UM4VE2B Electricity [Measured 1 min Resolution (TUC)];1
Kitchen Machine Bosch UM4VE2B;Reactive;Profile for Bosch UM4VE2B Electricity [Measured 1 min Resolution (TUC)];1
Kitchen Sink (10L/min);Cold Water;0 h 01 min 100% [Synthetic];12
Kitchen Sink (10L/min);Warm Water;0 h 01 min 25% [unknown];32
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;Apparent;Cooking profile III 1h 40 min [Synthetic];1
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;Electricity;Cooking profile III 1h 40 min [Synthetic];1
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;Inner Device Heat Gains;Cooking profile III 1h 40 min [Synthetic];1
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;Reactive;Cooking profile III 1h 40 min [Synthetic];1
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Apparent;0 h 10 min 100% [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Electricity;0 h 10 min 100% [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Reactive;0 h 10 min 100% [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Apparent;01 h 0 min 30% [Synthetic];1
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Apparent;Cooking profile III 1h 40 min [Synthetic];1
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Electricity;01 h 0 min 30% [Synthetic];1
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Electricity;Cooking profile III 1h 40 min [Synthetic];1
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Inner Device Heat Gains;01 h 0 min 30% [Synthetic];1
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Inner Device Heat Gains;Cooking profile III 1h 40 min [Synthetic];1
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Reactive;01 h 0 min 30% [Synthetic];1
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Reactive;Cooking profile III 1h 40 min [Synthetic];1
Kitchen radio / AEG KRC 4323 CD;Apparent;0 h 30 min 100% [Synthetic];1
Kitchen radio / AEG KRC 4323 CD;Apparent;01 h 0 min 100% [Synthetic];8
Kitchen radio / AEG KRC 4323 CD;Apparent;02 h 0 min 100% [Synthetic];1
Kitchen radio / AEG KRC 4323 CD;Apparent;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];119
Kitchen radio / AEG KRC 4323 CD;Electricity;0 h 30 min 100% [Synthetic];1
Kitchen radio / AEG KRC 4323 CD;Electricity;01 h 0 min 100% [Synthetic];8
Kitchen radio / AEG KRC 4323 CD;Electricity;02 h 0 min 100% [Synthetic];1
Kitchen radio / AEG KRC 4323 CD;Electricity;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];119
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];1
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];8
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];1
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];119
Kitchen radio / AEG KRC 4323 CD;Reactive;0 h 30 min 100% [Synthetic];1
Kitchen radio / AEG KRC 4323 CD;Reactive;01 h 0 min 100% [Synthetic];8
Kitchen radio / AEG KRC 4323 CD;Reactive;02 h 0 min 100% [Synthetic];1
Kitchen radio / AEG KRC 4323 CD;Reactive;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];119
Lamp Ikea V1017 Jansjo;Apparent;Profile for Lamp Ikea V1017 Jansjo Apparent [Measurement by ZSW (1min)];1
Lamp Ikea V1017 Jansjo;Electricity;Profile for Lamp Ikea V1017 Jansjo Electricity [Measurement by ZSW (1min)];1
Lamp Ikea V1017 Jansjo;Inner Device Heat Gains;Profile for Lamp Ikea V1017 Jansjo Electricity [Measurement by ZSW (1min)];1
Lamp Ikea V1017 Jansjo;Reactive;Profile for Lamp Ikea V1017 Jansjo Reactive [Measurement by ZSW (1min)];1
Laptop Sony Vaio SVE151G11M;Apparent;Profile for Laptop Sony Vaio SVE151G11M 1.5h Apparent [Measurement by ZSW (1min)];9
Laptop Sony Vaio SVE151G11M;Apparent;Profile for Laptop Sony Vaio SVE151G11M 1h Apparent [Measurement by ZSW (1min)];11
Laptop Sony Vaio SVE151G11M;Apparent;Profile for Laptop Sony Vaio SVE151G11M 2h Apparent [Measurement by ZSW (1min)];11
Laptop Sony Vaio SVE151G11M;Apparent;Standby Generic 1h 0 min 10% [Synthetic];119
Laptop Sony Vaio SVE151G11M;Electricity;Profile for Laptop Sony Vaio SVE151G11M 1.5h Electricity [Measurement by ZSW (1min)];9
Laptop Sony Vaio SVE151G11M;Electricity;Profile for Laptop Sony Vaio SVE151G11M 1h Electricity [Measurement by ZSW (1min)];11
Laptop Sony Vaio SVE151G11M;Electricity;Profile for Laptop Sony Vaio SVE151G11M 2h Electricity [Measurement by ZSW (1min)];11
Laptop Sony Vaio SVE151G11M;Electricity;Standby Generic 1h 0 min 10% [Synthetic];119
Laptop Sony Vaio SVE151G11M;Inner Device Heat Gains;Profile for Laptop Sony Vaio SVE151G11M 1.5h Electricity [Measurement by ZSW (1min)];9
Laptop Sony Vaio SVE151G11M;Inner Device Heat Gains;Profile for Laptop Sony Vaio SVE151G11M 1h Electricity [Measurement by ZSW (1min)];11
Laptop Sony Vaio SVE151G11M;Inner Device Heat Gains;Profile for Laptop Sony Vaio SVE151G11M 2h Electricity [Measurement by ZSW (1min)];11
Laptop Sony Vaio SVE151G11M;Inner Device Heat Gains;Standby Generic 1h 0 min 10% [Synthetic];119
Laptop Sony Vaio SVE151G11M;Reactive;Profile for Laptop Sony Vaio SVE151G11M 1.5h Reactive [Measurement by ZSW (1min)];9
Laptop Sony Vaio SVE151G11M;Reactive;Profile for Laptop Sony Vaio SVE151G11M 1h Reactive [Measurement by ZSW (1min)];11
Laptop Sony Vaio SVE151G11M;Reactive;Profile for Laptop Sony Vaio SVE151G11M 2h Reactive [Measurement by ZSW (1min)];11
Laptop Sony Vaio SVE151G11M;Reactive;Standby Generic 1h 0 min 10% [Synthetic];119
Living Room Light (Energy Saving Lamp, 20W);Apparent;Living room - light [Synthetic for Light Device];27
Living Room Light (Energy Saving Lamp, 20W);Electricity;Living room - light [Synthetic for Light Device];27
Living Room Light (Energy Saving Lamp, 20W);Inner Device Heat Gains;Living room - light [Synthetic for Light Device];27
Living Room Light (Energy Saving Lamp, 20W);Reactive;Living room - light [Synthetic for Light Device];27
Microsoft Xbox 360;Apparent;Standby Xbox 01 h 0 min 3% [Synthetic];120
Microsoft Xbox 360;Electricity;Standby Xbox 01 h 0 min 3% [Synthetic];120
Microsoft Xbox 360;Inner Device Heat Gains;Standby Xbox 01 h 0 min 3% [Synthetic];120
Microsoft Xbox 360;Reactive;Standby Xbox 01 h 0 min 3% [Synthetic];120
Microwave / Panasonic NN 5259;Apparent;0 h 10 min 100% [Synthetic];3
Microwave / Panasonic NN 5259;Apparent;Standby Generic 01 h 0 min 1% [Synthetic];119
Microwave / Panasonic NN 5259;Electricity;0 h 10 min 100% [Synthetic];3
Microwave / Panasonic NN 5259;Electricity;Standby Generic 01 h 0 min 1% [Synthetic];119
Microwave / Panasonic NN 5259;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];3
Microwave / Panasonic NN 5259;Inner Device Heat Gains;Standby Generic 01 h 0 min 1% [Synthetic];119
Microwave / Panasonic NN 5259;Reactive;0 h 10 min 100% [Synthetic];3
Microwave / Panasonic NN 5259;Reactive;Standby Generic 01 h 0 min 1% [Synthetic];119
Miele DA 61;Apparent;01 h 0 min 100% [Synthetic];1
Miele DA 61;Electricity;01 h 0 min 100% [Synthetic];1
Miele DA 61;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];1
Miele DA 61;Reactive;01 h 0 min 100% [Synthetic];1
Miele DG 1450;Apparent;0 h 30 min 100% [Synthetic];2
Miele DG 1450;Apparent;Backing profile I 20 min [Synthetic];2
Miele DG 1450;Apparent;Backing profile II 30 min [Synthetic];1
Miele DG 1450;Apparent;Cooking profile III 1h 40 min [Synthetic];1
Miele DG 1450;Electricity;0 h 30 min 100% [Synthetic];2
Miele DG 1450;Electricity;Backing profile I 20 min [Synthetic];2
Miele DG 1450;Electricity;Backing profile II 30 min [Synthetic];1
Miele DG 1450;Electricity;Cooking profile III 1h 40 min [Synthetic];1
Miele DG 1450;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];2
Miele DG 1450;Inner Device Heat Gains;Backing profile I 20 min [Synthetic];2
Miele DG 1450;Inner Device Heat Gains;Backing profile II 30 min [Synthetic];1
