Reactive.Time;Time span;Bathroom Light (60W) [var];Bathroom Mirror Light 100W (Conventional) [var];Children Room Light Device (20W) [var];Living Room Light (60W) [var];Bedroom Light (200W) [var];Kitchen Light (20W) [var];Electric Kettle / Petra WK288 1.5L [var];CD/DVD Player / Philips DVDR 725 H [var];Phillips 32-9615 [var];SAT Receiver / Kathrein UFS913 [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Moulinex electronic 833 [var];Kitchen radio / AEG KRC 4323 CD [var];Single Stove Plate [var];Coffee Machine / Braun KF 580E [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster / Tefal Vario [var];Extractor Hood / Miele DA 429-4 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [var];Microwave / Panasonic NN-CD757W [var];Miele H 5241 B [var];Miele DA 61 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [var];Laptop Sony Vaio SVE151G11M [var];Washing Machine / Bosch WFS 8000 [var];Hair Dryer / Braun Satin Pro 2200 Ion Care [var];LED Lamp Globe E 14 Ambient 3W matt [var];Vacuum Cleaner FiF [var];Yamaha RX-V667 [var];Liebherr CBP 4056-20A [var];Electric Tooth Brush / Phillips HX9332 [var];Phone Siemens Gigaset C320 [var];Router / AVM FRITZ! Box Fon WLAN 7390 [var];
13;00:13:00;0;-31,283567313428318;0;0;0;0;0;0,25206147236218646;0,7650481509812659;0,3100670161416126;0;0;0,31386250817834277;-25,0629573770492;0;0;0;0;0;5,561301920505136;0;0;0;-25,7264508196721;0;0;0;0;2,8088101869864524;0;0,47584102068121353;3,33918672131147;1,8610726485948406;
14;00:14:00;0;-29,647020934465885;0;0;0;0;0;0,25316735141016283;0,7686613113466274;0,3107258538319353;0;0;0,3142321991662131;-24,8219327868852;0;0;0;0;0;5,594911475824726;0;0;0;-25,7264508196721;0;0;0;0;2,824076784779106;0;0,47590539622494077;3,33918672131147;1,8767750701716492;
15;00:15:00;0;-29,38794692174588;0;0;0;0;0;0,25407062386860557;0,7715023442016132;0,3117055512059185;0;0;0,3181565539054439;-24,8219327868852;0;0;0;0;0;5,597576491287479;0;0;0;-25,7264508196721;0;0;0;0;2,8242580486683693;0;0,47605362651544714;3,33918672131147;1,8778026921888615;
16;00:16:00;0;-29,19203760503181;0;0;0;0;0;0,25422645289966966;0,7724852736096282;0,3140075201325929;0;0;0,31868216689498347;-24,8219327868852;0;0;0;0;0;5,605263948290785;0;0;0;-25,5008737704918;0;0;0;0;2,8326715870633614;0;0,47640878465636943;3,33918672131147;1,8794995378127093;
17;00:17:00;0;-26,465474814625622;0;0;0;0;0;0,2542537187710905;0,7730576246727067;0,31725530539311453;0;0;0,31896391921519246;-24,8219327868852;0;0;0;0;0;5,606249805969021;0;0;0;-25,5008737704918;0;0;0;0;2,8458915889164533;0;0,4781968743514067;3,33918672131147;1,885362872112846;
18;00:18:00;0;-23,196849880064438;0;0;0;0;0;0,25482301357941967;0,7737283725245865;0,3184396228151145;0;0;0,3210806418447699;-24,8219327868852;0;0;0;0;0;5,6065626834890505;0;0;0;-25,5008737704918;0;0;0;0;2,8557546991528944;0;0,4796227998047784;3,33918672131147;1,9029388122384503;
19;00:19:00;0;-22,66114335088209;0;0;0;0;0;0,25494457751751076;0,7746679331629508;0,3190068060969688;0;0;0,32198056590522045;-24,8219327868852;0;0;0;0;0;5,633602729309132;0;0;0;-25,5008737704918;0;0;0;0;2,8634234495359965;0;0,48088738032709316;3,33918672131147;1,9045779633672861;
20;00:20:00;0;-21,34249150671377;0;0;0;0;0;0,25508432545299337;0,7784486921142394;0,31927248586704665;0;0;0,32271198100413084;-24,8219327868852;0;0;0;0;0;5,636207096064085;0;0;0;-25,5008737704918;0;0;0;0;2,879753016674359;0;0,4814961435793856;3,33918672131147;1,9128768350721719;
21;00:21:00;0;-21,181884790362197;0;0;0;0;0;0,2563932644669132;0,7807888175197951;0,32010455603406396;0;0;0,3227720923187951;-24,8040360655738;0;0;0;0;0;5,655364879046568;0;0;0;-25,5008737704918;0;0;0;0;2,8806073582509057;0;0,48195281365123904;3,33918672131147;1,9191538639617256;
22;00:22:00;0;-19,859084697841688;0;0;0;0;0;0,2574614040374486;0,7825985530999989;0,3222355628575546;0;0;0,32304111990359197;-24,8040360655738;0;0;0;0;0;5,695035253265201;0;0;0;-25,5008737704918;0;0;0;0;2,8855682873129647;0;0,4841993129981019;3,33918672131147;1,9215127247194828;
23;00:23:00;0;-19,579506127205537;0;0;0;0;0;0,2576388644417306;0,7839803537950443;0,32317134375407763;0;0;0,32332360515406405;-24,8040360655738;0;0;0;0;0;5,702622213744907;0;0;0;-25,5008737704918;0;0;0;0;2,8869275436333903;0;0,4844444139600782;3,33918672131147;1,928079771186399;
24;00:24:00;0;-19,510246957248206;0;0;0;0;0;0,2576594183508078;0,7863827727993403;0,3239819004228437;0;0;0,32346058920332116;-24,8040360655738;0;0;0;0;0;5,707925311431175;0;0;0;-25,4735131147541;0;0;0;0;2,8992635486299747;0;0,4846672701087334;3,33918672131147;1,9287317442969647;
25;00:25:00;0;-19,150029124130086;0;0;0;0;0;0,25912554571430346;0,7874031819882109;0,32504268872896774;0;0;0,32371345561150094;-24,6062418032787;0;0;0;0;0;5,708936232995377;0;0;0;-25,4735131147541;0;0;0;0;2,8997930062460875;0;0,4848261363029138;3,33918672131147;1,9318680380113604;
26;00:26:00;0;-18,192313672641088;0;0;0;0;0;0,25951845782111843;0,789699275191953;0,32715719309401503;0;0;0,3237793805824633;-24,6062418032787;0;0;0;0;0;5,718204465516165;0;0;0;-25,4735131147541;0;0;0;0;2,901429218708531;0;0,4855917047162331;3,33918672131147;1,9355148843687453;
27;00:27:00;0;-17,415358631335252;0;0;0;0;0;0,25971915563507675;0,7899190852551702;0,3274012427346483;0;0;0,3252595178925963;-24,6062418032787;0;0;0;0;0;5,7294165842548175;0;0;0;-25,4735131147541;0;0;0;0;2,903331053524146;0;0,4866144756403938;3,33918672131147;1,9366326347835014;
28;00:28:00;0;-17,406557346651667;0;0;0;0;0;0,26087886473744376;0,791466381967291;0,32740596284734136;0;0;0,3259073675379202;-24,5805278688525;0;0;0;0;0;5,734010216696044;0;0;0;-25,4735131147541;0;0;0;0;2,920242530499594;0;0,4877259918237306;3,33918672131147;1,937407350312466;
29;00:29:00;0;-14,325917946656268;0;0;0;0;0;0,261385896675434;0,7936618872785673;0,3275316158870762;0;0;0,32662049189521425;-24,5805278688525;0;0;0;0;0;5,739286271019355;0;0;0;-25,4735131147541;0;0;0;0;2,920881315244358;0;0,4880027764366212;3,33918672131147;1,9437158582384184;
30;00:30:00;0;-14,259023529475146;0;0;0;0;0;0,2621218352116102;0,795999726425574;0,32754755388112305;0;0;0,32709691954629055;-24,5805278688525;0;0;0;0;0;5,747034741071287;0;0;0;-25,4735131147541;0;0;0;0;2,9229956522658385;0;0,49080477081863005;3,33918672131147;1,9448954463085308;
31;00:31:00;0;-13,285495988193313;0;0;0;0;0;0,2622444018746492;0,796562494528478;0,3280211277893942;0;0;0,32763891076878265;-24,4286327868852;0;0;0;0;0;5,75516189348788;0;0;0;-25,4735131147541;0;0;0;0;2,9254066144159285;0;0,4912481649398204;3,33918672131147;1,9525555481104706;
32;00:32:00;0;-12,363197756444274;0;0;0;0;0;0,26238613264061544;0,8006455072264514;0,329036122097574;0;0;0,32978701657267595;-24,4286327868852;0;0;0;0;0;5,780970134574214;0;0;0;-25,4735131147541;0;0;0;0;2,9254962860908336;0;0,49172992420273276;3,33918672131147;1,9529373914563894;
33;00:33:00;0;-10,792497527073262;0;0;0;0;0;0,26262466343787594;0,8010915223085836;0,3290531829437346;0;0;0,3304903618636078;-24,4286327868852;0;0;0;0;0;5,783423612550194;0;0;0;-25,4735131147541;0;0;0;0;2,929644058808977;0;0,4930249584561687;3,33918672131147;1,9532046059498882;
34;00:34:00;0;-10,768561918058083;0;0;0;0;0;0,2626258971531309;0,8027673878259652;0,32939389325865426;0;0;0,3305082334743267;-24,4286327868852;0;0;0;0;0;5,80794134338281;0;0;0;-25,4735131147541;0;0;0;0;2,9362397311966264;0;0,4931057139743175;3,33918672131147;1,95454837377703;
35;00:35:00;0;-10,73247073280867;0;0;0;0;0;0,2632320990157032;0,8048778160007273;0,3294841491438286;0;0;0,33061671294232087;-24,4286327868852;0;0;0;0;0;5,812183482710244;0;0;0;-25,4735131147541;0;0;0;0;2,9363635387134366;0;0,4932567679684417;3,33918672131147;1,954626296890363;
36;00:36:00;0;-10,132798009548877;0;0;0;0;0;0,26330465860422314;0,8061471874699607;0,32956504033978423;0;0;0,33172128869537104;-24,4286327868852;0;0;0;0;0;5,826598737372775;0;0;0;-25,4735131147541;0;0;0;0;2,936541135990853;0;0,49358942332150496;3,33918672131147;1,9560811824850177;
37;00:37:00;0;-9,918320737079458;0;0;0;0;0;0,26369483534889676;0,8065311204977442;0,33018502437783187;0;0;0,3317468558223639;-24,4286327868852;0;0;0;0;0;5,827356149055577;0;0;0;-25,4651639344262;0;0;0;0;2,9374734368905555;0;0,4936756845694211;3,33918672131147;1,9580138644703124;
38;00:38:00;0;-9,811054147207477;0;0;0;0;0;0,26376963344037124;0,8084616210160989;0,3303596092125393;0;0;0,3318347204192732;-24,1585672131148;0;0;0;0;0;5,836142086398228;0;0;0;-25,4651639344262;0;0;0;0;2,947508187631706;0;0,49646807399887677;3,33918672131147;1,9668273701431176;
39;00:39:00;0;-9,212641172689388;0;0;0;0;0;0,2639615521886341;0,8092942129370831;0,3305620915263611;0;0;0,33230160969244504;-24,1585672131148;0;0;0;0;0;5,845497971501835;0;0;0;-25,4651639344262;0;0;0;0;2,9555326256187007;0;0,49718265434648556;3,33918672131147;1,9686175389398888;
40;00:40:00;0;-8,452900007025464;0;0;0;0;0;0,26413039483202133;0,8093944721796382;0,33137999256729256;0;0;0,3323402164049014;-24,1585672131148;0;0;0;0;0;5,848622828249301;0;0;0;-25,4651639344262;0;0;0;0;2,9570076594396437;0;0,49726012686543564;3,33918672131147;1,9710673442145783;
41;00:41:00;0;-7,968110078706988;0;0;0;0;0;0,2644011695098124;0,8117188362025566;0,33153814625357925;0;0;0,3327525046861957;-24,1585672131148;0;0;0;0;0;5,85498489384644;0;0;0;-25,4651639344262;0;0;0;0;2,959152242817358;0;0,4985015046308189;3,33918672131147;1,9711378033390066;
42;00:42:00;0;-6,098165424473609;0;0;0;0;0;0,26451524822191297;0,8119414083633741;0,331891971621448;0;0;0,33301644037332956;-23,8411655737705;0;0;0;0;0;5,85737410495782;0;0;0;-25,4651639344262;0;0;0;0;2,9600036459224395;0;0,4986059144538486;3,33918672131147;1,9749517380477328;
43;00:43:00;0;-5,586898138779471;0;0;0;0;0;0,26462994046440164;0,8132593455246382;0,33249705989922557;0;0;0,3333065961538716;-23,8411655737705;0;0;0;0;0;5,857894057204679;0;0;0;-25,4651639344262;0;0;0;0;2,9658733930403787;0;0,4986129835504745;3,33918672131147;1,9764498466769584;
44;00:44:00;0;-5,17205711115083;0;0;0;0;0;0,2652590685865461;0,8143954896728043;0,33285619789516124;0;0;0,33350891826554074;-23,8411655737705;0;0;0;0;0;5,863007637681593;0;0;0;-25,4651639344262;0;0;0;0;2,965926052493173;0;0,49896008988168833;3,33918672131147;1,9788582402468682;
45;00:45:00;0;-4,928000944321924;0;0;0;0;0;0,26569470180964244;0,8145907577202863;0,3330382904806404;0;0;0,33436424465462133;-23,8411655737705;0;0;0;0;0;5,865212718188852;0;0;0;-25,4651639344262;0;0;0;0;2,9770303704633103;0;0,4991182460340251;3,33918672131147;1,980522690564802;
46;00:46:00;0;-4,247034352894129;0;0;0;0;0;0,2659239241196012;0,8152038546714022;0,33304832719776795;0;0;0,33489866293107945;-23,5790213114754;0;0;0;0;0;5,8718118094647265;0;0;0;-25,4651639344262;0;0;0;0;2,980419070114355;0;0,4996477677947475;3,33918672131147;1,98168032138859;
47;00:47:00;0;-3,3892005357877797;0;0;0;0;0;0,26617385297513435;0,8167978863457772;0,33307973883922265;0;0;0,33526474271467505;-23,5790213114754;0;0;0;0;0;5,874455308949173;0;0;0;-25,4651639344262;0;0;0;0;2,982425527900946;0;0,5002600093944847;3,33918672131147;1,9820824950176452;
48;00:48:00;0;-3,3421796094131184;0;0;0;0;0;0,2664042606897486;0,8174887218700825;0,3333035675594075;0;0;0,3354518516985242;-23,5790213114754;0;0;0;0;0;5,877849150044108;0;0;0;-25,4651639344262;0;0;0;0;2,983076881309654;0;0,5008594479020955;3,33918672131147;1,9823812103295466;
49;00:49:00;0;-2,907424432657059;0;0;0;0;0;0,26644117243466287;0,8189235351400026;0,33367499012628216;0;0;0,33582047254939834;-23,5790213114754;0;0;0;0;0;5,882574172075504;0;0;0;-25,4498442622951;0;0;0;0;2,9859226596938298;0;0,5025137166848092;3,33918672131147;1,9844207788044;
50;00:50:00;0;-2,3934143198046276;0;0;0;0;0;0,26651719743957253;0,8194839294369454;0,3336853819897035;0;0;0,33642629969276083;-23,5790213114754;0;0;0;0;0;5,903046735911803;0;0;0;-25,4498442622951;0;0;0;0;2,986641840538127;0;0,5027079431401186;3,33918672131147;1,986398178915155;
51;00:51:00;0;-2,077471921053845;0;0;0;0;0;0,26672808763356887;0,8200474769281927;0,3337244574906042;0;0;0,3367842260293727;-23,3964836065574;0;0;0;0;0;5,910179684241554;0;0;0;-25,4498442622951;0;0;0;0;2,988772998915747;0;0,5030401032375087;3,33918672131147;1,9885416578485136;
52;00:52:00;0;-1,2556620440490507;0;0;0;0;0;0,26713293466489163;0,8200622329196438;0,3342851020649033;0;0;0,3380139778243296;-23,3964836065574;0;0;0;0;0;5,9148539129609095;0;0;0;-25,4498442622951;0;0;0;0;2,993412509901114;0;0,5030618724365551;3,33918672131147;1,9924780547164263;
53;00:53:00;0;-0,4377624606584649;0;0;0;0;0;0,2675542249551677;0,8210555429236198;0,3345196514756996;0;0;0,3382469468392857;-23,3964836065574;0;0;0;0;0;5,916667865743969;0;0;0;-25,4498442622951;0;0;0;0;2,993917587065452;0;0,5039709420806543;3,33918672131147;1,9924891269385288;
54;00:54:00;0;-0,20312035275224744;0;0;0;0;0;0,26760366331151936;0,8212897278100709;0,33459572746269745;0;0;0,3384896920372823;-23,3964836065574;0;0;0;0;0;5,923352919982224;0;0;0;-25,4498442622951;0;0;0;0;2,996771243163784;0;0,5043089067602692;3,33918672131147;1,9932832656862147;
55;00:55:00;0;0;0;0;0;0;0;0,26791222930504505;0,8217906162825481;0,33468267015688696;0;0;0,3386545069497828;-21,6579684262295;0;0;0;0;0;5,934436071279766;0;0;0;-25,4498442622951;0;0;0;0;2,998660411740019;0;0,5045441977591911;3,33918672131147;1,993830414759826;
56;00:56:00;0;0;0;0;0;0;0;0,2680564283512204;0,8218924746309573;0,33485190821080135;0;0;0,338895636407187;-21,6579684262295;0;0;0;0;0;5,935102150160096;0;0;0;-25,4498442622951;0;0;0;0;3,0020986485536914;0;0,5049492962331599;3,33918672131147;1,9944528104192694;
57;00:57:00;0;0;0;0;0;0;0;0,2685015474043362;0,8223641013634038;0,3350137742608351;0;0;0,33902360209636895;-21,6579684262295;0;0;0;0;0;5,9427395723296;0;0;0;-24,8063557377049;0;0;0;0;3,006598149449809;0;0,5054248149881708;3,33918672131147;1,9945092998274048;
58;00:58:00;0;0;0;0;0;0;0;0,2686694591833278;0,8241432232538732;0,3353192907210924;0;0;0,3394547545041407;-19,7393290163934;0;0;0;0;0;5,945711653898742;0;0;0;-24,8063557377049;0;0;0;0;3,0082443782998127;0;0,5064784699416113;3,33918672131147;1,9946004081632582;
59;00:59:00;0;0;0;0;0;0;0;0,2688771324172264;0,8243548769761203;0,33538117115162114;0;0;0,33954407606563713;-19,7393290163934;0;0;0;0;0;5,952531123930906;0;0;0;-24,8063557377049;0;0;0;0;3,0098637012007643;0;0,5067932564503218;3,33918672131147;1,9947176396170958;
60;01:00:00;0;0;0;0;0;0;0;0,2693939412626549;0,8250301532572759;0,335519271981426;0;0;0,33975032118957327;-19,7393290163934;0;0;0;0;0;5,970254567564763;0;0;0;-24,8063557377049;0;0;0;0;3,012410391572149;0;0,5070846451263369;3,33918672131147;1,9948983720794657;
61;01:01:00;0;0;0;0;0;0;0;0,269999394282694;0,8252377234771547;0,3364633353250963;0;0;0,33977232823653586;-19,7393290163934;0;0;0;0;0;5,976699590836913;0;0;0;-24,8063557377049;0;0;0;0;3,0126728547710915;0;0,5086876961774096;3,33918672131147;1,994983989946716;
62;01:02:00;0;0;0;0;0;0;0;0,2700848191314084;0,8262965352409277;0,33658125111170795;0;0;0,3398822356975916;-19,7393290163934;0;0;0;0;0;5,980669344862301;0;0;0;-24,8063557377049;0;0;0;0;3,013244345531098;0;0,5087966596768561;3,33918672131147;1,9951369235840621;
63;01:03:00;0;0;0;0;0;0;0;0,27030026043694644;0,8265642427663729;0,33668813643897516;0;0;0,3399149114665936;-17,1051716393443;0;0;0;0;0;5,9848789445584485;0;0;0;-24,8063557377049;0;0;0;0;3,0147105417691877;0;0,5088412455383798;3,33918672131147;1,995507901199448;
64;01:04:00;0;0;0;0;0;0;0;0,27033395523248877;0,8265825156165922;0,3370090983462045;0;0;0,339962842619772;-17,1051716393443;0;0;0;0;0;5,9937937275998365;0;0;0;-24,8063557377049;0;0;0;0;3,015728399397183;0;0,509022668640823;3,33918672131147;1,9958676631400478;
65;01:05:00;0;0;0;0;0;0;0;0,27034864911464773;0,8267337602861117;0,3372493650461956;0;0;0,3401289011381535;-17,1051716393443;0;0;0;0;0;6,001083706017871;0;0;0;-24,8063557377049;0;0;0;0;3,016537633559707;0;0,5092573026048346;3,33918672131147;1,9971816612362798;
66;01:06:00;0;0;0;0;0;0;0;0,27049284935664164;0,8286277671468205;0,3375262750911847;0;0;0,34023453440612633;-17,1051716393443;0;0;0;0;0;6,004763636926305;0;0;0;-24,8063557377049;0;0;0;0;3,0193833617398074;0;0,5094291927225054;3,33918672131147;1,9976193636508155;
67;01:07:00;0;0;0;0;0;0;0;0,2706214872344566;0,828706349125272;0,3379612354724125;0;0;0,34036037924446877;-16,5635190163934;0;0;0;0;0;6,008758425151936;0;0;0;-24,8063557377049;0;0;0;0;3,025634223703302;0;0,509807530217061;3,33918672131147;1,998862650471452;
68;01:08:00;0;0;0;0;0;0;0;0,27098808090677207;0,8295206875595156;0,33828111724490795;0;0;0,34043099850736314;-16,5635190163934;0;0;0;0;0;6,018868431782365;0;0;0;-24,7943016393443;0;0;0;0;3,026244875646873;0;0,5099328437672617;3,33918672131147;2,0002669355625975;
69;01:09:00;0;0;0;0;0;0;0;0,2711806739489326;0,8295726557851433;0,3383299954537923;0;0;0,3404938180178257;-16,5635190163934;0;0;0;0;0;6,02719458151562;0;0;0;-24,7943016393443;0;0;0;0;3,0285567154895507;0;0,5099789885359027;3,33918672131147;2,001570845823348;
70;01:10:00;0;0;0;0;0;0;0;0,2715305629306934;0,8300409192021247;0,3386232532338801;0;0;0,3407568519759498;-16,5635190163934;0;0;0;0;0;6,029204143653046;0;0;0;-24,7943016393443;0;0;0;0;3,028821352477957;0;0,510382880034735;3,33918672131147;2,0016936543193258;
71;01:11:00;0;0;0;0;0;0;0;0,27199303123204893;0,8323941863772166;0,33955067500087693;0;0;0,34155825533741246;-16,5635190163934;0;0;0;0;0;6,032132672303725;0;0;0;-24,7943016393443;0;0;0;0;3,029430897670295;0;0,5106803049252837;3,33918672131147;2,004559064007804;
72;01:12:00;0;0;0;0;0;0;0;0,27240546659532294;0,8324437616279533;0,3396652387117713;0;0;0,3417928328686168;-16,5635190163934;0;0;0;0;0;6,035721156146006;0;0;0;-24,7943016393443;0;0;0;0;3,034540897666416;0;0,5107072521930306;3,33918672131147;2,0052383451590234;
73;01:13:00;0;0;0;0;0;0;0;0,27294051020019267;0,8335659169250145;0,34001970855822133;0;0;0,3420489783455167;-16,5635190163934;0;0;0;0;0;6,0362506574680195;0;0;0;-24,7943016393443;0;0;0;0;3,0402133110979;0;0,5110120478565281;3,33918672131147;2,005834946274936;
74;01:14:00;0;0;0;0;0;0;0;0,27328034636579124;0,8338328026847904;0,34021595889112083;0;0;0,3420654875407675;-16,5635190163934;0;0;0;0;0;6,039353482756024;0;0;0;-24,7943016393443;0;0;0;0;3,0426080478190145;0;0,5113112134153599;3,33918672131147;2,0071338838438564;
75;01:15:00;0;0;0;0;0;0;0;0,27360259546106974;0,8341728240096724;0,3410393213703406;0;0;0,3423092542307968;-16,4553475409836;0;0;0;0;0;6,041367332632133;0;0;0;-24,6015606557377;0;0;0;0;3,0491099095614334;0;0,5113224247398869;3,33918672131147;2,008371526767626;
76;01:16:00;0;0;0;0;0;0;0;0,2736970402781468;0,8346069902700716;0,3415880393938433;0;0;0,34233841998831954;-16,4553475409836;0;0;0;0;0;6,041709976923911;0;0;0;-24,6015606557377;0;0;0;0;3,050223865885753;0;0,5116990691635989;3,33918672131147;2,0085873585232052;
77;01:17:00;0;0;0;0;0;0;0;0,27374007353609064;0,8352385119336726;0,3418583429120005;0;0;0,34239566789273246;-16,4553475409836;0;0;0;0;0;6,046732601464445;0;0;0;-24,6015606557377;0;0;0;0;3,050647600278777;0;0,5117802234196003;3,33918672131147;2,012309517309785;
78;01:18:00;0;0;0;0;0;0;0;0,27382595809677196;0,8356396253448383;0,34208365018280434;0;0;0,34257171328810954;-16,4553475409836;0;0;0;0;0;6,04985455627329;0;0;0;-24,6015606557377;0;0;0;0;3,053138659368935;0;0,5117829978931642;3,33918672131147;2,014318329203355;
79;01:19:00;0;0;0;0;0;0;0;0,2739667994937762;0,8361058007361917;0,34236063476856576;0;0;0,3425775540738594;-14,6785098360656;0;0;0;0;0;6,055944975659729;0;0;0;-24,6015606557377;0;0;0;0;3,0544517921518386;0;0,5120424694331716;3,33918672131147;2,0159833678075607;
80;01:20:00;0;0;0;0;0;0;0;0,2744378016753452;0,8361981129979891;0,34261169695711635;0;0;0,3430292136212834;-14,6785098360656;0;0;0;0;0;6,06137611093731;0;0;0;-24,5873606557377;0;0;0;0;3,0556135895580576;0;0,512202367224123;3,33918672131147;2,0168550475372875;
