Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;Energieagentur.NRW Tags;
Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260;0,6706537353835916;122,39430670750548;48;2,5498813897396975;Appliances / Vacuum cleaner / Canister vacuum cleaner;Other;
Nintendo Wii;0,13152176438780203;24,00272200077387;20;1,2001361000386934;Education and Entertainment equipment / Video game console / Nintendo Wii;TV/Audio;
Kitchen professional Hot Stone;0;0;7;0;Kitchen equipment / Raclette;Cooking;
Beamer / Acer H7531D;0;0;56;0;Computers and Components / Computer component / Beamer;TV/Audio;
Heater / Honeywell BH-888E;0;0;120;0;Devices for enviromental improvement / Heater;Other;
Siemens Fridge from 1987 (unknown type);7,311174985083396;1334,2894347777196;0;0;(no category);Cooling;
PC / Acer 8400;0,17209582760489386;31,40748853789313;0;0;Computers and Components / Computer / PC;Office;
Epson Stylus S20;0,028542429421630024;5,208993369447479;0;0;Computers and Components / Printer / Ink jet printer;Office;
TASKalfa 180;0,3025198991600977;55,20988159671783;0;0;Computers and Components / Computer component / Photocopier;Office;
Router O2 Box 6431;0,7692265178988953;140,3838395165484;0;0;(no category);Office;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,13368622407269837;24,397735893267452;0;0;Computers and Components / Monitor / TFT display;Office;
Bauknecht GTE 260;2,1696505781845086;395,96123051867283;0;0;(no category);Freezing;
Kitchen radio / AEG KRC 4323 CD;0,1592182075557766;29,057322878929227;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;TV/Audio;
Microwave / Panasonic NN 5259;1,415318984927657;258,2957147492974;0;0;Kitchen equipment / Microwave;Cooking;
Laptop Siemens Amilio from 2005;0,23704666666668164;43,2610166666694;0;0;Computers and Components / Computer / Laptop;Office;
Electric Tooth Brush / Phillips HX9332;0,23979048457018712;43,76176343405915;0;0;(no category);Washing;
Phone Siemens Gigaset C320;0,33338403842569164;60,842587012688725;0;0;(no category);Office;
CD/DVD Player / Philips DVDR 725 H;0,11558253976441182;21,09381350700516;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;TV/Audio;
Home Cinema System / Samsung HT-D5550;0,19386361525835116;35,380109784649086;0;0;Education and Entertainment equipment / Hifi devices / Home cinema system;TV/Audio;
SAT Receiver / Kathrein UFS913;0,12726933663337722;23,226653935591344;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
TV / Phillips Goya 9770 VT;0,1955836173689611;35,6940101698354;0;0;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
Panasonic Hifi System (unknown type);0,8791684626666505;160,4482444366637;0;0;Education and Entertainment equipment / Hifi devices / Hifi- System;TV/Audio;
Yamaha RX-V667;1,4402398102138494;262,8437653640275;0;0;(no category);TV/Audio;
Nintendo Wii;0,22025585077443174;40,19669276633379;0;0;Education and Entertainment equipment / Video game console / Nintendo Wii;TV/Audio;
Electric Razor / Phillips PT860/16 Razor PowerTouch Plus;0,025965409587968627;4,738687249804275;0;0;(no category);Washing;
Beamer / Acer H7531D;1,4659385554828928;267,5337863756279;0;0;Computers and Components / Computer component / Beamer;TV/Audio;
Sums;65,69468617029716;11989,280226079232;2222
