None.Time;Calender;Calender for Excel;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;
68;01:08:00;'01:08:00;1;;;0,5;1;1;1;
69;01:09:00;'01:09:00;1;;;0,5;1;1;1;
70;01:10:00;'01:10:00;1;;;0,5;1;1;1;
71;01:11:00;'01:11:00;1;;;0,5;1;1;1;
72;01:12:00;'01:12:00;1;;;0,5;1;1;1;
73;01:13:00;'01:13:00;1;;;0,5;1;1;1;
74;01:14:00;'01:14:00;1;;;0,5;1;1;1;
75;01:15:00;'01:15:00;1;;;0,5;1;1;1;
76;01:16:00;'01:16:00;1;;;0,5;1;1;1;
77;01:17:00;'01:17:00;1;;;0,5;1;1;1;
78;01:18:00;'01:18:00;1;;;0,5;1;1;1;
79;01:19:00;'01:19:00;1;;;0,5;1;1;1;
80;01:20:00;'01:20:00;1;;;0,5;1;1;1;
81;01:21:00;'01:21:00;1;;;0,5;1;1;1;
82;01:22:00;'01:22:00;1;;;0,5;1;1;1;
83;01:23:00;'01:23:00;1;;;0,5;1;1;1;
84;01:24:00;'01:24:00;1;;;0,5;1;1;1;
85;01:25:00;'01:25:00;1;;;0,5;1;1;1;
86;01:26:00;'01:26:00;1;;;0,5;1;1;1;
87;01:27:00;'01:27:00;1;;;0,5;1;1;1;
88;01:28:00;'01:28:00;1;;;0,5;1;1;1;
89;01:29:00;'01:29:00;1;;;0,5;1;1;1;
90;01:30:00;'01:30:00;1;;;0,5;1;1;1;
91;01:31:00;'01:31:00;1;;;0,5;1;1;1;
92;01:32:00;'01:32:00;1;;;0,5;1;1;1;
93;01:33:00;'01:33:00;1;;;0,5;1;1;1;
94;01:34:00;'01:34:00;1;;;0,5;1;1;1;
95;01:35:00;'01:35:00;1;;;0,5;1;1;1;
96;01:36:00;'01:36:00;1;;;0,5;1;1;1;
97;01:37:00;'01:37:00;1;;;0,5;1;1;1;
98;01:38:00;'01:38:00;1;;;0,5;1;1;1;
99;01:39:00;'01:39:00;1;;;0,5;1;1;1;
100;01:40:00;'01:40:00;1;;;0,5;1;1;1;
101;01:41:00;'01:41:00;1;;;0,5;1;1;1;
102;01:42:00;'01:42:00;1;;;0,5;1;1;1;
103;01:43:00;'01:43:00;1;;;0,5;1;1;1;
104;01:44:00;'01:44:00;1;;;0,5;1;1;1;
105;01:45:00;'01:45:00;1;;;0,5;1;1;1;
106;01:46:00;'01:46:00;1;;;0,5;1;1;1;
107;01:47:00;'01:47:00;1;;;0,5;1;1;1;
108;01:48:00;'01:48:00;1;;;0,5;1;1;1;
109;01:49:00;'01:49:00;1;;;0,5;1;1;1;
110;01:50:00;'01:50:00;1;;;0,5;1;1;1;
111;01:51:00;'01:51:00;1;;;0,5;1;1;1;
112;01:52:00;'01:52:00;1;;;0,5;1;1;1;
113;01:53:00;'01:53:00;1;;;0,5;1;1;1;
114;01:54:00;'01:54:00;1;;;0,5;1;1;1;
115;01:55:00;'01:55:00;1;;;0,5;1;1;1;
116;01:56:00;'01:56:00;1;;;0,5;1;1;1;
117;01:57:00;'01:57:00;1;;;0,5;1;1;1;
118;01:58:00;'01:58:00;1;;;0,5;1;1;1;
119;01:59:00;'01:59:00;1;;;0,5;1;1;1;
120;02:00:00;'02:00:00;1;;;0,5;1;1;1;
121;02:01:00;'02:01:00;1;;;0,5;1;1;1;
122;02:02:00;'02:02:00;1;;;0,5;1;1;1;
123;02:03:00;'02:03:00;1;;;0,5;1;1;1;
124;02:04:00;'02:04:00;1;;;0,5;1;1;1;
125;02:05:00;'02:05:00;1;;;0,5;1;1;1;
126;02:06:00;'02:06:00;1;;;0,5;1;1;1;
127;02:07:00;'02:07:00;1;;;0,5;1;1;1;
128;02:08:00;'02:08:00;1;;;0,5;1;1;1;
129;02:09:00;'02:09:00;1;;;0,5;1;1;1;
130;02:10:00;'02:10:00;1;;;0,5;1;1;1;
131;02:11:00;'02:11:00;1;;;0,5;1;1;1;
132;02:12:00;'02:12:00;1;;;0,5;1;1;1;
133;02:13:00;'02:13:00;1;;;0,5;1;1;1;
134;02:14:00;'02:14:00;1;;;0,5;1;1;1;
135;02:15:00;'02:15:00;1;;;0,5;1;1;1;
136;02:16:00;'02:16:00;1;;;0,5;1;1;1;
137;02:17:00;'02:17:00;1;;;0,5;1;1;1;
138;02:18:00;'02:18:00;1;;;0,5;1;1;1;
139;02:19:00;'02:19:00;1;;;0,5;1;1;1;
140;02:20:00;'02:20:00;1;;;0,5;1;1;1;
141;02:21:00;'02:21:00;1;;;0,5;1;1;1;
142;02:22:00;'02:22:00;1;;;0,5;1;1;1;
143;02:23:00;'02:23:00;1;;;0,5;1;1;1;
144;02:24:00;'02:24:00;1;;;0,5;1;1;1;
145;02:25:00;'02:25:00;1;;;0,5;1;1;1;
146;02:26:00;'02:26:00;1;;;0,5;1;1;1;
147;02:27:00;'02:27:00;1;;;0,5;1;1;1;
148;02:28:00;'02:28:00;1;;;0,5;1;1;1;
149;02:29:00;'02:29:00;1;;;0,5;1;1;1;
150;02:30:00;'02:30:00;1;;;0,5;1;1;1;
151;02:31:00;'02:31:00;1;;;0,5;1;1;1;
152;02:32:00;'02:32:00;1;;;0,5;1;1;1;
153;02:33:00;'02:33:00;1;;;0,5;1;1;1;
154;02:34:00;'02:34:00;1;;;0,5;1;1;1;
155;02:35:00;'02:35:00;1;;;0,5;1;1;1;
156;02:36:00;'02:36:00;1;;;0,5;1;1;1;
157;02:37:00;'02:37:00;1;;;0,5;1;1;1;
158;02:38:00;'02:38:00;1;;;0,5;1;1;1;
159;02:39:00;'02:39:00;1;;;0,5;1;1;1;
160;02:40:00;'02:40:00;1;;;0,5;1;1;1;
161;02:41:00;'02:41:00;1;;;0,5;1;1;1;
162;02:42:00;'02:42:00;1;;;0,5;1;1;1;
163;02:43:00;'02:43:00;1;;;0,5;1;1;1;
164;02:44:00;'02:44:00;1;;;0,5;1;1;1;
165;02:45:00;'02:45:00;1;;;0,5;1;1;1;
166;02:46:00;'02:46:00;1;;;0,5;1;1;1;
167;02:47:00;'02:47:00;1;;;0,5;1;1;1;
168;02:48:00;'02:48:00;1;;;0,5;1;1;1;
169;02:49:00;'02:49:00;1;;;0,5;1;1;1;
170;02:50:00;'02:50:00;1;;;0,5;1;1;1;
171;02:51:00;'02:51:00;1;;;0,5;1;1;1;
172;02:52:00;'02:52:00;1;;;0,5;1;1;1;
173;02:53:00;'02:53:00;1;;;0,5;1;1;1;
174;02:54:00;'02:54:00;1;;;0,5;1;1;1;
175;02:55:00;'02:55:00;1;;;0,5;1;1;1;
176;02:56:00;'02:56:00;1;;;0,5;1;1;1;
177;02:57:00;'02:57:00;1;;;0,5;1;1;1;
178;02:58:00;'02:58:00;1;;;0,5;1;1;1;
179;02:59:00;'02:59:00;1;;;0,5;1;1;1;
180;03:00:00;'03:00:00;1;;;0,5;1;1;1;
181;03:01:00;'03:01:00;1;;;0,5;1;1;1;
182;03:02:00;'03:02:00;1;;;0,5;1;1;1;
183;03:03:00;'03:03:00;1;;;0,5;1;1;1;
184;03:04:00;'03:04:00;1;;;0,5;1;1;1;
185;03:05:00;'03:05:00;1;;;0,5;1;1;1;
186;03:06:00;'03:06:00;1;;;0,5;1;1;1;
187;03:07:00;'03:07:00;1;;;0,5;1;1;1;
188;03:08:00;'03:08:00;1;;;0,5;1;1;1;
189;03:09:00;'03:09:00;1;;;0,5;1;1;1;
190;03:10:00;'03:10:00;1;;;0,5;1;1;1;
191;03:11:00;'03:11:00;1;;;0,5;1;1;1;
192;03:12:00;'03:12:00;1;;;0,5;1;1;1;
193;03:13:00;'03:13:00;1;;;0,5;1;1;1;
194;03:14:00;'03:14:00;1;;;0,5;1;1;1;
195;03:15:00;'03:15:00;1;;;0,5;1;1;1;
196;03:16:00;'03:16:00;1;;;0,5;1;1;1;
197;03:17:00;'03:17:00;1;;;0,5;1;1;1;
198;03:18:00;'03:18:00;1;;;0,5;1;1;1;
199;03:19:00;'03:19:00;1;;;0,5;1;1;1;
200;03:20:00;'03:20:00;1;;;0,5;1;1;1;
201;03:21:00;'03:21:00;1;;;0,5;1;1;1;
202;03:22:00;'03:22:00;1;;;0,5;1;1;1;
203;03:23:00;'03:23:00;1;;;0,5;1;1;1;
204;03:24:00;'03:24:00;1;;;0,5;1;1;1;
205;03:25:00;'03:25:00;1;;;0,5;1;1;1;
206;03:26:00;'03:26:00;1;;;0,5;1;1;1;
207;03:27:00;'03:27:00;1;;;0,5;1;1;1;
208;03:28:00;'03:28:00;1;;;0,5;1;1;1;
209;03:29:00;'03:29:00;1;;;0,5;1;1;1;
210;03:30:00;'03:30:00;1;;;0,5;1;1;1;
211;03:31:00;'03:31:00;1;;;0,5;1;1;1;
212;03:32:00;'03:32:00;1;;;0,5;1;1;1;
213;03:33:00;'03:33:00;1;;;0,5;1;1;1;
214;03:34:00;'03:34:00;1;;;0,5;1;1;1;
215;03:35:00;'03:35:00;1;;;0,5;1;1;1;
216;03:36:00;'03:36:00;1;;;0,5;1;1;1;
217;03:37:00;'03:37:00;1;;;0,5;1;1;1;
218;03:38:00;'03:38:00;1;;;0,5;1;1;1;
219;03:39:00;'03:39:00;1;;;0,5;1;1;1;
220;03:40:00;'03:40:00;1;;;0,5;1;1;1;
221;03:41:00;'03:41:00;1;;;0,5;1;1;1;
222;03:42:00;'03:42:00;1;;;0,5;1;1;1;
223;03:43:00;'03:43:00;1;;;0,5;1;1;1;
224;03:44:00;'03:44:00;1;;;0;1;1;1;
225;03:45:00;'03:45:00;1;;;0;1;1;1;
226;03:46:00;'03:46:00;1;;;0;1;1;1;
227;03:47:00;'03:47:00;1;;;0;1;1;1;
228;03:48:00;'03:48:00;1;;;0;1;1;1;
229;03:49:00;'03:49:00;1;;;0;1;1;1;
230;03:50:00;'03:50:00;1;;;0;1;1;1;
231;03:51:00;'03:51:00;1;;;0;1;1;1;
232;03:52:00;'03:52:00;1;;;0;1;1;1;
233;03:53:00;'03:53:00;1;;;0;1;1;1;
234;03:54:00;'03:54:00;1;;;0;1;1;1;
235;03:55:00;'03:55:00;1;;;0;1;1;1;
236;03:56:00;'03:56:00;1;;;0;1;1;1;
237;03:57:00;'03:57:00;1;;;0;1;1;1;
238;03:58:00;'03:58:00;1;;;0;1;1;1;
239;03:59:00;'03:59:00;1;;;0;1;1;1;
240;04:00:00;'04:00:00;1;;;0;1;1;1;
241;04:01:00;'04:01:00;1;;;0;1;1;1;
242;04:02:00;'04:02:00;1;;;0;1;1;1;
243;04:03:00;'04:03:00;1;;;0;1;1;1;
244;04:04:00;'04:04:00;1;;;0;1;1;1;
245;04:05:00;'04:05:00;1;;;0;1;1;1;
246;04:06:00;'04:06:00;1;;;0;1;1;1;
247;04:07:00;'04:07:00;1;;;0;1;1;1;
248;04:08:00;'04:08:00;1;;;0;1;1;1;
249;04:09:00;'04:09:00;1;;;0;1;1;1;
250;04:10:00;'04:10:00;1;;;0;1;1;1;
251;04:11:00;'04:11:00;1;;;0;1;1;1;
252;04:12:00;'04:12:00;1;;;0;1;1;1;
253;04:13:00;'04:13:00;1;;;0;1;1;1;
254;04:14:00;'04:14:00;1;;;0;1;1;1;
255;04:15:00;'04:15:00;1;;;0;1;1;1;
256;04:16:00;'04:16:00;1;;;0;1;1;1;
257;04:17:00;'04:17:00;1;;;0;1;1;1;
258;04:18:00;'04:18:00;1;;;0;1;1;1;
259;04:19:00;'04:19:00;1;;;0;1;1;1;
260;04:20:00;'04:20:00;1;;;0;1;1;1;
261;04:21:00;'04:21:00;1;;;0;1;1;1;
262;04:22:00;'04:22:00;1;;;0;1;1;1;
263;04:23:00;'04:23:00;1;;;0;1;1;1;
264;04:24:00;'04:24:00;1;;;0;1;1;1;
265;04:25:00;'04:25:00;1;;;0;1;1;1;
266;04:26:00;'04:26:00;1;;;0;1;1;1;
267;04:27:00;'04:27:00;1;;;0;1;1;1;
268;04:28:00;'04:28:00;1;;;0;1;1;1;
269;04:29:00;'04:29:00;1;;;0;1;1;1;
270;04:30:00;'04:30:00;1;;;0;1;1;1;
271;04:31:00;'04:31:00;1;;;0;1;1;1;
272;04:32:00;'04:32:00;1;;;0;1;1;1;
273;04:33:00;'04:33:00;1;;;0;1;1;1;
274;04:34:00;'04:34:00;1;;;0;1;1;1;
275;04:35:00;'04:35:00;1;;;0;1;1;1;
276;04:36:00;'04:36:00;1;;;0;1;1;1;
277;04:37:00;'04:37:00;1;;;0;1;1;1;
278;04:38:00;'04:38:00;1;;;0;1;1;1;
279;04:39:00;'04:39:00;1;;;0;1;1;1;
280;04:40:00;'04:40:00;1;;;0;1;1;1;
281;04:41:00;'04:41:00;1;;;0;1;1;1;
282;04:42:00;'04:42:00;1;;;0;1;1;1;
283;04:43:00;'04:43:00;1;;;0;1;1;1;
284;04:44:00;'04:44:00;1;;;0;1;1;1;
285;04:45:00;'04:45:00;1;;;0;1;1;1;
286;04:46:00;'04:46:00;1;;;0;1;1;1;
287;04:47:00;'04:47:00;1;;;0;1;1;1;
288;04:48:00;'04:48:00;1;;;0;1;1;1;
289;04:49:00;'04:49:00;1;;;0;1;1;1;
290;04:50:00;'04:50:00;1;;;0;1;1;1;
291;04:51:00;'04:51:00;1;;;0;1;1;1;
292;04:52:00;'04:52:00;1;;;0;1;1;1;
293;04:53:00;'04:53:00;1;;;0;1;1;1;
294;04:54:00;'04:54:00;1;;;0;1;1;1;
295;04:55:00;'04:55:00;1;;;0;1;1;1;
296;04:56:00;'04:56:00;1;;;0;1;1;1;
297;04:57:00;'04:57:00;1;;;0;1;1;1;
298;04:58:00;'04:58:00;1;;;0;1;1;1;
299;04:59:00;'04:59:00;1;;;0;1;1;1;
300;05:00:00;'05:00:00;1;;;0;1;1;1;
301;05:01:00;'05:01:00;1;;;0;1;1;1;
302;05:02:00;'05:02:00;1;;;0;1;1;1;
303;05:03:00;'05:03:00;1;;;0;1;1;1;
304;05:04:00;'05:04:00;1;;;0;1;1;1;
305;05:05:00;'05:05:00;1;;;0;1;1;1;
306;05:06:00;'05:06:00;1;;;0;1;1;1;
307;05:07:00;'05:07:00;1;;;0;1;1;1;
308;05:08:00;'05:08:00;1;;;0;1;1;1;
309;05:09:00;'05:09:00;1;;;0;1;1;1;
310;05:10:00;'05:10:00;1;;;0;1;1;1;
311;05:11:00;'05:11:00;1;;;0;1;1;1;
312;05:12:00;'05:12:00;1;;;0;1;1;1;
313;05:13:00;'05:13:00;1;;;0;1;1;1;
314;05:14:00;'05:14:00;1;;;0;1;1;1;
315;05:15:00;'05:15:00;1;;;0;1;1;1;
316;05:16:00;'05:16:00;1;;;0;1;1;1;
317;05:17:00;'05:17:00;1;;;0;1;1;1;
318;05:18:00;'05:18:00;1;;;0;1;1;1;
319;05:19:00;'05:19:00;1;;;0;1;1;1;
320;05:20:00;'05:20:00;1;;;0;1;1;1;
321;05:21:00;'05:21:00;1;;;0;1;1;1;
322;05:22:00;'05:22:00;1;;;0;1;1;1;
323;05:23:00;'05:23:00;1;;;0;1;1;1;
324;05:24:00;'05:24:00;1;;;0;1;1;1;
325;05:25:00;'05:25:00;1;;;0;1;1;1;
326;05:26:00;'05:26:00;1;;;0;1;1;1;
327;05:27:00;'05:27:00;1;;;0;1;1;1;
328;05:28:00;'05:28:00;1;;;0;1;1;1;
329;05:29:00;'05:29:00;1;;;0;1;1;1;
330;05:30:00;'05:30:00;1;;;0;1;1;1;
331;05:31:00;'05:31:00;1;;;0;1;1;1;
332;05:32:00;'05:32:00;1;;;0;1;1;1;
333;05:33:00;'05:33:00;1;;;0;1;1;1;
334;05:34:00;'05:34:00;1;;;0;1;1;1;
335;05:35:00;'05:35:00;1;;;0;1;1;1;
336;05:36:00;'05:36:00;1;;;0;1;1;1;
337;05:37:00;'05:37:00;1;;;0;1;1;1;
338;05:38:00;'05:38:00;1;;;0;1;1;1;
339;05:39:00;'05:39:00;1;;;0;1;1;1;
340;05:40:00;'05:40:00;1;;;0;1;1;1;
341;05:41:00;'05:41:00;1;;;0;1;1;1;
342;05:42:00;'05:42:00;1;;;0;1;1;1;
343;05:43:00;'05:43:00;1;;;0;1;1;1;
344;05:44:00;'05:44:00;1;;;0;1;1;1;
345;05:45:00;'05:45:00;1;;;0;1;1;1;
346;05:46:00;'05:46:00;1;;;0;1;1;1;
347;05:47:00;'05:47:00;1;;;0;1;1;1;
348;05:48:00;'05:48:00;1;;;0;1;1;1;
349;05:49:00;'05:49:00;1;;;0;1;1;1;
350;05:50:00;'05:50:00;1;;;0;1;1;1;
351;05:51:00;'05:51:00;1;;;0;1;1;1;
352;05:52:00;'05:52:00;1;;;0;1;1;1;
353;05:53:00;'05:53:00;1;;;0;1;1;1;
354;05:54:00;'05:54:00;1;;;0;1;1;1;
355;05:55:00;'05:55:00;1;;;0;1;1;1;
356;05:56:00;'05:56:00;1;;;0;1;1;1;
357;05:57:00;'05:57:00;1;;;0;1;1;1;
358;05:58:00;'05:58:00;1;;;0;1;1;1;
359;05:59:00;'05:59:00;1;;;0;1;1;1;
360;06:00:00;'06:00:00;1;;;0;1;1;1;
361;06:01:00;'06:01:00;1;;;0;1;1;1;
362;06:02:00;'06:02:00;1;;;0;1;1;1;
363;06:03:00;'06:03:00;1;;;0;1;1;1;
364;06:04:00;'06:04:00;1;;;0;1;1;1;
365;06:05:00;'06:05:00;1;;;0;1;1;1;
366;06:06:00;'06:06:00;1;;;0;1;1;1;
367;06:07:00;'06:07:00;1;;;0;1;1;1;
368;06:08:00;'06:08:00;1;;;0;1;1;1;
369;06:09:00;'06:09:00;1;;;0;1;1;1;
370;06:10:00;'06:10:00;1;;;0;1;1;1;
371;06:11:00;'06:11:00;1;;;0;1;1;1;
372;06:12:00;'06:12:00;1;;;0;1;1;1;
373;06:13:00;'06:13:00;1;;;0;1;1;1;
374;06:14:00;'06:14:00;1;;;0;1;1;1;
375;06:15:00;'06:15:00;1;;;0;1;1;1;
376;06:16:00;'06:16:00;1;;;0;1;1;1;
377;06:17:00;'06:17:00;1;;;0;1;1;1;
378;06:18:00;'06:18:00;1;;;0;1;1;1;
379;06:19:00;'06:19:00;1;;;0;1;1;1;
380;06:20:00;'06:20:00;1;;;0;1;1;1;
381;06:21:00;'06:21:00;1;;;0;1;1;1;
382;06:22:00;'06:22:00;1;;;0;1;1;1;
383;06:23:00;'06:23:00;1;;;0;1;1;1;
384;06:24:00;'06:24:00;1;;;0;1;1;1;
385;06:25:00;'06:25:00;1;;;0;1;1;1;
386;06:26:00;'06:26:00;1;;;0;1;1;1;
387;06:27:00;'06:27:00;1;;;0;1;1;1;
388;06:28:00;'06:28:00;1;;;0;1;1;1;
389;06:29:00;'06:29:00;1;;;0;1;1;1;
390;06:30:00;'06:30:00;1;;;0;1;1;1;
391;06:31:00;'06:31:00;1;;;0;1;1;1;
392;06:32:00;'06:32:00;1;;;0;1;1;1;
393;06:33:00;'06:33:00;1;;;0;1;1;1;
394;06:34:00;'06:34:00;1;;;0;1;1;1;
395;06:35:00;'06:35:00;1;;;0;1;1;1;
396;06:36:00;'06:36:00;1;;;0;1;1;1;
397;06:37:00;'06:37:00;1;;;0;1;1;1;
398;06:38:00;'06:38:00;1;;;0;1;1;1;
399;06:39:00;'06:39:00;1;;;0;1;1;1;
400;06:40:00;'06:40:00;1;;;0;1;1;1;
401;06:41:00;'06:41:00;1;;;0;1;1;1;
402;06:42:00;'06:42:00;1;;;0;1;1;1;
403;06:43:00;'06:43:00;1;;;0;1;1;1;
404;06:44:00;'06:44:00;1;;;0;1;1;1;
405;06:45:00;'06:45:00;1;;;0;1;1;1;
406;06:46:00;'06:46:00;1;;;0;1;1;1;
407;06:47:00;'06:47:00;1;;;0;1;1;1;
408;06:48:00;'06:48:00;1;;;0;1;1;1;
409;06:49:00;'06:49:00;1;;;0;1;1;1;
410;06:50:00;'06:50:00;1;;;0;1;1;1;
411;06:51:00;'06:51:00;1;;;0;1;1;1;
412;06:52:00;'06:52:00;1;;;0;1;1;1;
413;06:53:00;'06:53:00;1;;;0;1;1;1;
414;06:54:00;'06:54:00;1;;;0;1;1;1;
415;06:55:00;'06:55:00;1;;;0;1;1;1;
416;06:56:00;'06:56:00;1;;;0;1;1;1;
417;06:57:00;'06:57:00;1;;;0;1;1;1;
418;06:58:00;'06:58:00;1;;;0;1;1;1;
419;06:59:00;'06:59:00;1;;;0;1;1;1;
420;07:00:00;'07:00:00;1;;;0;1;1;1;
421;07:01:00;'07:01:00;1;;;0;1;1;1;
422;07:02:00;'07:02:00;1;;;0;1;1;1;
423;07:03:00;'07:03:00;1;;;0;1;1;1;
424;07:04:00;'07:04:00;1;;;0;1;1;1;
425;07:05:00;'07:05:00;1;;;0;1;1;1;
426;07:06:00;'07:06:00;1;;;0;1;1;1;
427;07:07:00;'07:07:00;1;;;0;1;1;1;
428;07:08:00;'07:08:00;1;;;0;1;1;1;
429;07:09:00;'07:09:00;1;;;0;1;1;1;
430;07:10:00;'07:10:00;1;;;0;1;1;1;
431;07:11:00;'07:11:00;1;;;0;1;1;1;
432;07:12:00;'07:12:00;1;;;0;1;1;1;
433;07:13:00;'07:13:00;1;;;0;1;1;1;
434;07:14:00;'07:14:00;1;;;0;1;1;1;
435;07:15:00;'07:15:00;1;;;0,5;1;1;1;
436;07:16:00;'07:16:00;1;;;0,5;1;1;1;
437;07:17:00;'07:17:00;1;;;0,5;1;1;1;
438;07:18:00;'07:18:00;1;;;0,5;1;1;1;
439;07:19:00;'07:19:00;1;;;0,5;1;1;1;
440;07:20:00;'07:20:00;1;;;0,5;1;1;1;
441;07:21:00;'07:21:00;1;;;0,5;1;1;1;
442;07:22:00;'07:22:00;1;;;0,5;1;1;1;
443;07:23:00;'07:23:00;1;;;0,5;1;1;1;
444;07:24:00;'07:24:00;1;;;0,5;1;1;1;
445;07:25:00;'07:25:00;1;;;0,5;1;1;1;
446;07:26:00;'07:26:00;1;;;0,5;1;1;1;
447;07:27:00;'07:27:00;1;;;0,5;1;1;1;
448;07:28:00;'07:28:00;1;;;0,5;1;1;1;
449;07:29:00;'07:29:00;1;;;0,5;1;1;1;
450;07:30:00;'07:30:00;1;;;0,5;1;1;1;
451;07:31:00;'07:31:00;1;;;0,5;1;1;1;
452;07:32:00;'07:32:00;1;;;0,5;1;1;1;
453;07:33:00;'07:33:00;1;;;0,5;1;1;1;
454;07:34:00;'07:34:00;1;;;0,5;1;1;1;
455;07:35:00;'07:35:00;1;;;0,5;1;1;1;
456;07:36:00;'07:36:00;1;;;0,5;1;1;1;
457;07:37:00;'07:37:00;1;;;0,5;1;1;1;
458;07:38:00;'07:38:00;1;;;0,5;1;1;1;
459;07:39:00;'07:39:00;1;;;0,5;1;1;1;
460;07:40:00;'07:40:00;1;;;0,5;1;1;1;
461;07:41:00;'07:41:00;1;;;0,5;1;1;1;
462;07:42:00;'07:42:00;1;;;0,5;1;1;1;
463;07:43:00;'07:43:00;1;;;0,5;1;1;1;
464;07:44:00;'07:44:00;1;;;0,5;1;1;1;
465;07:45:00;'07:45:00;1;;;0,5;1;1;1;
466;07:46:00;'07:46:00;1;;;0,5;1;1;1;
467;07:47:00;'07:47:00;1;;;0,5;1;1;1;
468;07:48:00;'07:48:00;1;;;0,5;1;1;1;
469;07:49:00;'07:49:00;1;;;0,5;0;1;1;
470;07:50:00;'07:50:00;1;;;0,5;0;1;1;
471;07:51:00;'07:51:00;1;;;0,5;0;1;1;
472;07:52:00;'07:52:00;1;;;0,5;0;1;1;
473;07:53:00;'07:53:00;1;;;0,5;0;1;1;
474;07:54:00;'07:54:00;1;;;0,5;0;1;1;
475;07:55:00;'07:55:00;1;;;0,5;0;1;1;
476;07:56:00;'07:56:00;1;;;0,5;0;1;1;
477;07:57:00;'07:57:00;1;;;0,5;0;1;1;
478;07:58:00;'07:58:00;1;;;0,5;0;1;1;
479;07:59:00;'07:59:00;1;;;0,5;0;1;1;
