Apparent.Time;Time span;Bathroom Light (20W) [VA];Bathroom Mirror Light 10 W (LED) [VA];Kitchen Light (20W) [VA];Living Room Light (Energy Saving Lamp, 20W) [VA];Bedroom Light (20W) [VA];Egg Cooker / Russell Hobbs 14048-56 Stylo [VA];Juicer / Moulinex Vitafruit [VA];Kitchen radio / AEG KRC 4323 CD [VA];Single Stove Plate [VA];Nespresso Coffee Machine, Single Cup [VA];Food Slicer / DOMO Schneidemaschine DO521S [VA];Toaster Salco MT 400 [VA];Electric Kettle / Petra WK288 1.5L [VA];PC / Acer 8400 [VA];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [VA];Epson Stylus Color 860 [VA];TASKalfa 180 [VA];Canon CanoScan LIDE 110 [VA];External Harddrive Iomega 3.5" [VA];Miele DA 61 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [VA];Christopeit Treadmill TM 2 Pro [VA];Hedge Trimmer / Bosch AHS 550-24 ST [VA];Atika LH 2500 G [VA];Lawn Mower / Sabo 32-EL [VA];Hair Dryer Braun Silencio 1250 [VA];Laptop Sony Vaio SVE151G11M [VA];Energy Saving Lamp / EL-REF 11 E27 [VA];CD/DVD Player / Philips DVDR 725 H [VA];TV Medion MD20123_DE_A [VA];SAT Receiver / Kathrein UFS913 [VA];Blender Vitamix Moulinex [VA];AFK BM-2N [VA];Miele DG 1450 [VA];Handmixer / Phillips Robust HR 1581 [VA];Clatronic MS 3249 Milk Foamer [VA];Dishwasher NEFF SD6P1F (2011) [VA];Dryer / Miele T 8626 WP [VA];Steam Iron / Phillips GC 4410 [VA];Washing Machine / Bosch WAE 28143 [VA];Sony PlayStation 3 [VA];Canister vacuum cleaner / Siemens VS 06 G 1831 [VA];Siemens Kl 20 LA 65 (A+) [VA];Router O2 Box 6431 [VA];Phone Siemens Gigaset C320 [VA];Electric Toothbrush Dondodent Professional Clean [VA];Electric Razor Braun Cruzer 5 [VA];
10;00:10:00;0;0;0;0;0;0;0;1,012956268723904;0;0;0;0;0;1,2100433472280525;0,9295602619340375;0,18032351105642608;1,9079978612761634;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7916303626164312;0,5700000000000001;0,999864697656365;0;0;0;0;0;0;0;0;0;3,4197240343959034;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
11;00:11:00;0;0;0;0;0;0;0;1,0132012616700614;0;0;0;0;0;1,2120684016665788;0,9305653957745471;0,18057879900468743;1,9128287709627287;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,793036048079836;0,5700000000000001;1,001905181532816;0;0;0;0;0;0;0;0;0;3,436468862508931;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
12;00:12:00;0;0;0;0;0;0;0;1,0154804272641422;0;0;0;0;0;1,2164364449849958;0,9329698174786303;0,18103672046329647;1,9129192396813266;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,794247344830489;0,5700000000000001;1,0044288297138844;0;0;0;0;0;0;0;0;0;3,4507525829062042;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
13;00:13:00;0;0;0;0;0;0;0;1,0155555341601752;0;0;0;0;0;1,2200754331792456;0,944491079311319;0,1812997028561616;1,9241896545309884;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7947840553750064;0,5700000000000001;1,0060981558867808;0;0;0;0;0;0;0;0;0;3,4536938962247845;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
14;00:14:00;0;0;0;0;0;0;0;1,0163183302659071;0;0;0;0;0;1,221225183071717;0,9461177061733225;0,18231655290588114;1,9314505164753593;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7959548529587452;0,5700000000000001;1,0068954354836064;0;0;0;0;0;0;0;0;0;3,4605901165995503;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
15;00:15:00;0;0;0;0;0;0;0;1,016329701369525;0;0;0;0;0;1,2279133624486582;0,9491529465271652;0,18233826192404043;1,9338900978037472;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7986594962414301;0,5700000000000001;1,0095298547157299;0;0;0;0;0;0;0;0;0;3,4659402082907933;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
16;00:16:00;0;0;0;0;0;0;0;1,0181002853089889;0;0;0;0;0;1,2306999353072623;0,9509963621798448;0,18257407343020116;1,946536749345239;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7993791840654871;0,5700000000000001;1,0136974306728401;0;0;0;0;0;0;0;0;0;3,4970794568536117;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
17;00:17:00;0;0;0;0;0;0;0;1,0184114738817023;0;0;0;0;0;1,2390545012535779;0,9572339780362458;0,182889478357149;1,9515680599832192;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8000090752166357;0,5700000000000001;1,0146102718234307;0;0;0;0;0;0;0;0;0;3,499524616189594;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
18;00:18:00;0;0;0;0;0;0;0;1,0216741325975591;0;0;0;0;0;1,2409374048759256;0,9599079779546524;0,1831118564228441;1,953325782705238;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8002245398215514;0,5700000000000001;1,0152886227834672;0;0;0;0;0;0;0;0;0;3,501376232253741;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
19;00:19:00;0;0;0;0;0;0;0;1,0220846439503477;0;0;0;0;0;1,2463393727269065;0,9629219378620176;0,18369167553241214;1,95347412293644;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8010537419567427;0,5700000000000001;1,0159266044564532;0;0;0;0;0;0;0;0;0;3,5069346108062263;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
20;00:20:00;0;0;0;0;0;0;0;1,0256642266499256;0;0;0;0;0;1,2478632098876308;0,9660833036506348;0,18386024084286343;1,9565603346762932;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,80159571993038;0,5700000000000001;1,0177605600980069;0;0;0;0;0;0;0;0;0;3,512573182343496;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
21;00:21:00;0;0;0;0;0;0;0;1,0274611211250757;0;0;0;0;0;1,2495872989993941;0,9661938156316056;0,18401649870030015;1,9570837955786173;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8027678398203502;0,5700000000000001;1,025043435509722;0;0;0;0;0;0;0;0;0;3,5166161251730137;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
22;00:22:00;0;0;0;0;0;0;0;1,0310442878184367;0;0;0;0;0;1,2496227496468806;0,9676824788878676;0,18416473236232528;1,961240336313031;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8050577995420215;0,5700000000000001;1,026056308986095;0;0;0;0;0;0;0;0;0;3,5228576319053166;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
23;00:23:00;0;0;0;0;0;0;0;1,0354098167757337;0;0;0;0;0;1,2512951017236587;0,9687677162785931;0,18430374252856865;1,9725564778837925;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8052132258968252;0,5700000000000001;1,0264609577503065;0;0;0;0;0;0;0;0;0;3,549902525537553;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
24;00:24:00;0;0;0;0;0;0;0;1,035553052903113;0;0;0;0;0;1,251403140585325;0,9692721368533336;0,18433833115548576;1,9748412524758014;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8069228018537913;0,5700000000000001;1,0273376956335516;0;0;0;0;0;0;0;0;0;3,5573768265281553;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
25;00:25:00;0;0;0;0;0;0;0;1,0364211510032395;0;0;0;0;0;1,2571043619996398;0,9697479526757152;0,1843923268289186;1,975149816906033;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,810472454147382;0,5700000000000001;1,027969379624048;0;0;0;0;0;0;0;0;0;3,5617984497651345;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
26;00:26:00;0;0;0;0;0;0;0;1,0400005301464832;0;0;0;0;0;1,2573058393380863;0,9712255373933808;0,18514621611134371;1,9763924607890986;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,815258697483943;0,5700000000000001;1,029671031349668;0;0;0;0;0;0;0;0;0;3,5641206541295114;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
27;00:27:00;0;0;0;0;0;0;0;1,0405821601875436;0;0;0;0;0;1,2583850958078446;0,971715310929848;0,18549990610501;1,97792082898651;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8172945086089874;0,5700000000000001;1,0309149860934703;0;0;0;0;0;0;0;0;0;3,5688234034199136;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
28;00:28:00;0;0;0;0;0;0;0;1,0422935163959792;0;0;0;0;0;1,2585271392135742;0,9724061588818707;0,18561618775671487;1,9782567261165613;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8174740480052619;0,5700000000000001;1,0312672773481726;0;0;0;0;0;0;0;0;0;3,5715398646854353;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
29;00:29:00;0;0;0;0;0;0;0;1,043058212541048;0;0;0;0;0;1,2597291960852541;0,9729339197322016;0,18606241492452494;1,983536025037849;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8181806487929654;0,5700000000000001;1,0320239093517525;0;0;0;0;0;0;0;0;0;3,572369189058651;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
30;00:30:00;0;0;0;0;0;0;0;1,043338039696654;0;0;0;0;0;1,2604246030926123;0,9735973948396055;0,18643850439391343;1,9836362619025365;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8190657340249651;0,5700000000000001;1,0337619214173475;0;0;0;0;0;0;0;0;0;3,5774331803609383;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
31;00:31:00;0;0;0;0;0;0;0;1,0457845376022752;0;0;0;0;0;1,2612597856941767;0,975751237841167;0,18655454663508964;1,985099257994401;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8265012144709728;0,5700000000000001;1,0354056376507992;0;0;0;0;0;0;0;0;0;3,587537364740692;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
32;00:32:00;0;0;0;0;0;0;0;1,047173201608309;0;0;0;0;0;1,2635804122564696;0,9760009689652279;0,18666490272342562;1,9968716539190376;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8281088970253618;0,5700000000000001;1,0381940251645392;0;0;0;0;0;0;0;0;0;3,588502017750128;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
33;00:33:00;0;0;0;0;0;0;0;1,0505941578832247;0;0;0;0;0;1,2649318081105223;0,9769745859321868;0,18700635311563288;1,9976301813935058;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8281909334653749;0,5700000000000001;1,040056158356608;0;0;0;0;0;0;0;0;0;3,5886154861500166;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
34;00:34:00;0;0;0;0;0;0;0;1,0525864273583656;0;0;0;0;0;1,2686941575189232;0,9771653435596523;0,18750137028135797;1,9987304622566116;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,830923380890866;0,5700000000000001;1,0412239823786436;0;0;0;0;0;0;0;0;0;3,588700012494437;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
35;00:35:00;0;0;0;0;0;0;0;1,053026091465442;0;0;0;0;0;1,2704447707265927;0,9772093196141745;0,18786840210121605;1,9997112134935005;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8350509489821636;0,5700000000000001;1,0449484930772646;0;0;0;0;0;0;0;0;0;3,599520992483126;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
36;00:36:00;0;0;0;0;0;0;0;1,054372732476713;0;0;0;0;0;1,270824380128631;0,9783393051449075;0,18801361040515657;1,9999362724272434;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8383883282381555;0,5700000000000001;1,0463778814322153;0;0;0;0;0;0;0;0;0;3,6065394379442717;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
37;00:37:00;0;0;0;0;0;0;0;1,0563880739492395;0;0;0;0;0;1,2713657877493667;0,9790352957497552;0,1881805075625933;2,0058370118757254;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,839400152700846;0,5700000000000001;1,0465930583400365;0;0;0;0;0;0;0;0;0;3,606994071147581;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
38;00:38:00;0;0;0;0;0;0;0;1,0564726980930075;0;0;0;0;0;1,27140138790864;0,9799813485495997;0,18859900947479374;2,006431096856743;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8403535977243733;0,5700000000000001;1,0468677220574902;0;0;0;0;0;0;0;0;0;3,6083408164893065;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
39;00:39:00;0;0;0;0;0;0;0;1,056926138313398;0;0;0;0;0;1,2718387124453572;0,9818605531462309;0,18880817005769351;2,0110051352934804;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8407698775172197;0,5700000000000001;1,0501361055243708;0;0;0;0;0;0;0;0;0;3,612721104088898;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
40;00:40:00;0;0;0;0;0;0;0;1,0573640334350882;0;0;0;0;0;1,2737927783737029;0,9838347277639982;0,1890151995051867;2,011824530704825;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,841146796895186;0,5700000000000001;1,0510080555451164;0;0;0;0;0;0;0;0;0;3,613013383363331;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
41;00:41:00;0;0;0;0;0;0;0;1,0576745184978191;0;0;0;0;0;1,2744458081647596;0,9848516088408392;0,1891663346839622;2,0194361275978334;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8432507490720761;0,5700000000000001;1,0513090592150363;0;0;0;0;0;0;0;0;0;3,6185678368147003;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
42;00:42:00;0;0;0;0;0;0;0;1,058924447503045;0;0;0;0;0;1,2745236117391943;0,9856537418396999;0,18935720813714446;2,0236632180678797;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8457324949847944;0,5700000000000001;1,052129323240836;0;0;0;0;0;0;0;0;0;3,622050564606345;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
43;00:43:00;0;0;0;0;0;0;0;1,060729426711492;0;0;0;0;0;1,279415301463109;0,9863385392397463;0,1895529362612044;2,026891948118515;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8469852572573635;0,5700000000000001;1,0521793110655686;0;0;0;0;0;0;0;0;0;3,62710123831012;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
44;00:44:00;0;0;0;0;0;0;0;1,0633370371372963;0;0;0;0;0;1,2810473503064645;0,9868206523786102;0,19002456803619114;2,0291226824413022;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8479958884852243;0,5700000000000001;1,0565819297279762;0;0;0;0;0;0;0;0;0;3,64725374759474;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
45;00:45:00;0;0;0;0;0;0;0;1,063699456725182;0;0;0;0;0;1,28293155209735;0,987572921468444;0,19006722917632055;2,0326024050175246;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8488862461502538;0,5700000000000001;1,057219453185368;0;0;0;0;0;0;0;0;0;3,6557083358451608;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
46;00:46:00;0;0;0;0;0;0;0;1,066141041982297;0;0;0;0;0;1,2839246660046095;0,9892476174520066;0,1900871632998174;2,036198988553226;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8493897144898759;0,5700000000000001;1,057775663965178;0;0;0;0;0;0;0;0;0;3,656822513451539;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
47;00:47:00;0;0;0;0;0;0;0;1,0667621749441756;0;0;0;0;0;1,2839866580158856;0,9898372253169426;0,1904084352989119;2,0374691482236535;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8499144437986322;0,5700000000000001;1,0605762305873079;0;0;0;0;0;0;0;0;0;3,669082208515749;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
48;00:48:00;0;0;0;0;0;0;0;1,0674218858475055;0;0;0;0;0;1,2864925727880214;0,9930895938944664;0,19043551987844987;2,038172943847461;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,85193692521749;0,5700000000000001;1,0610781564386085;0;0;0;0;0;0;0;0;0;3,669159891686214;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
49;00:49:00;0;0;0;0;0;0;0;1,067924836095132;0;0;0;0;0;1,2879951649524204;0,9932475934920936;0,19069037983044398;2,0395422707005233;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,852513943990567;0,5700000000000001;1,0624720007744606;0;0;0;0;0;0;0;0;0;3,679974310492061;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
50;00:50:00;0;0;0;0;0;0;0;1,0687501931568775;0;0;0;0;0;1,28855919171621;0,9946547673369058;0,19077572479704982;2,042375520825727;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8531380225017955;0,5700000000000001;1,0632924075910677;0;0;0;0;0;0;0;0;0;3,685414010385773;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
51;00:51:00;0;0;0;0;0;0;0;1,0703247877245414;0;0;0;0;0;1,2894781421844748;0,995949416436971;0,19097778078455818;2,043666796871551;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8538003510712738;0,5700000000000001;1,0647953785157989;0;0;0;0;0;0;0;0;0;3,6891670504729133;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
52;00:52:00;0;0;0;0;0;0;0;1,0704852064464974;0;0;0;0;0;1,289830655482543;0,9978493557735943;0,19101504418114104;2,0446439283538886;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8539486351171544;0,5700000000000001;1,0680860641373542;0;0;0;0;0;0;0;0;0;3,690217928658625;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
53;00:53:00;0;0;0;0;0;0;0;1,0704905286931878;0;0;0;0;0;1,2914997591296764;0,9979179827279034;0,1912665139404388;2,0497283641292214;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8545226257225084;0,5700000000000001;1,068561172485745;0;0;0;0;0;0;0;0;0;3,6924236447049075;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
54;00:54:00;0;0;0;0;0;0;0;1,0711298233333155;0;0;0;0;0;1,2917119757998006;1,0018538022191779;0,1912840676293154;2,050910061304383;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8585862955808502;0,5700000000000001;1,0694244924662912;0;0;0;0;0;0;0;0;0;3,6962299537441594;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
55;00:55:00;0;0;0;0;0;0;0;1,0711554230171245;0;0;0;0;0;1,2921640422439233;1,0022799190341924;0,19143478719477072;2,050943659296945;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8586056394905274;0,5700000000000001;1,0703656146359906;0;0;0;0;0;0;0;0;0;3,696515591524898;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
56;00:56:00;0;0;0;0;0;0;0;1,0719198618303658;0;0;0;0;0;1,2941299821506032;1,0024182627538547;0,19150244517452977;2,054872982349814;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8588336446732917;0,5700000000000001;1,0720399625311332;0;0;0;0;0;0;0;0;0;3,6970527985327406;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
57;00:57:00;0;0;0;0;0;0;0;1,0726287534494165;0;0;0;0;0;1,2943992929278403;1,002427062953529;0,19164783842197966;2,0557931023211418;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,859058623812664;0,5700000000000001;1,0722236178053357;0;0;0;0;0;0;0;0;0;3,698548202130994;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
58;00:58:00;0;0;0;0;0;0;0;1,075415464233207;0;0;0;0;0;1,2958950563570053;1,002700042923294;0,19206938924460146;2,0595013058905023;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8590905910274105;0,5700000000000001;1,0722577269242592;0;0;0;0;0;0;0;0;0;3,698954680700293;0;0;11,5550442622951;4,31627770491803;4,01463278688525;2,92629081967213;
59;00:59:00;0;0;0;0;0;0;0;1,0771145255656478;0;0;0;0;0;1,2961630874031715;1,0045566367905654;0,19218376095868778;2,061252872751327;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8591750447640599;0,5700000000000001;1,0727243942527918;0;0;0;0;0;0;0;0;0;3,699557855891135;0;0;11,5550442622951;4,31627770491803;4,01463278688525;2,92629081967213;
60;01:00:00;0;0;0;0;0;0;0;1,077218587456668;0;0;0;0;0;1,2992348973146557;1,0056938180061348;0,19222297765197208;2,0615791198464932;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,8604472468899298;0,5700000000000001;1,0744065602662796;0;0;0;0;0;0;0;0;0;3,700460614873929;0;0;11,5550442622951;4,31627770491803;4,01463278688525;2,92629081967213;
