Reactive.Time;Time span;Living Room Light (100W) [var];Kitchen Light (100W) [var];Bathroom Light (100W) [var];Bathroom Mirror Light 10 W (LED) [var];Bedroom Light (200W) [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Juicer / Moulinex Vitafruit [var];Kitchen radio / AEG KRC 4323 CD [var];Single Stove Plate [var];Nespresso Coffee Machine, Single Cup [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster Salco MT 400 [var];PC / Acer 8400 [var];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [var];Christopeit Treadmill TM 2 Pro [var];Laptop Sony Vaio SVE151G11M [var];Lawn Mower / Sabo 32-EL [var];Hifi System / Sharp XL-HF300PH [var];Electric Kettle / Petra WK288 1.5L [var];Energy Saving Lamp / EL-REF 11 E27 [var];CD/DVD Player / Philips DVDR 725 H [var];TV Medion MD20123_DE_A [var];SAT Receiver / Kathrein UFS913 [var];Canister vacuum cleaner / Siemens VS 06 G 1831 [var];Microsoft Xbox 360 [var];Miele DG 1450 [var];Handmixer / Phillips Robust HR 1581 [var];Dishwasher NEFF SD6P1F (2011) [var];Dryer / Miele T 8626 WP [var];Hedge Trimmer / Bosch AHS 550-24 ST [var];Atika LH 2500 G [var];Steam Iron / Phillips GC 4410 [var];Washing Machine / Bosch WAE 28143 [var];Hair Dryer Braun Silencio 1250 [var];Siemens Kl 20 LA 65 (A+) [var];Router O2 Box 6431 [var];Electric Razor Braun Cruzer 5 [var];Electric Toothbrush Dondodent Professional Clean [var];
26;00:26:00;0;0;0;0;0;0;0;0,3261308206003555;-24,8219327868852;0;0;0;0,3896056799572928;0,30267413457615633;0;0;-25,5008737704918;0;0,7201680099814672;0;0;0,2618188655555211;-49,8014147540984;0,32778914171091345;0;0,8565542560367041;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
27;00:27:00;0;0;0;0;0;0;0;0,32704019169577914;-24,8219327868852;0;0;0;0,39057931111101873;0,30285567620079035;0;0;-25,5008737704918;0;0,7210784012967446;0;0;0,2618498342288964;-49,8014147540984;0,3281539201952938;0;0,8566799718516986;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
28;00:28:00;0;0;0;0;0;0;0;0,32705216049766406;-24,8219327868852;0;0;0;0,39066107448119347;0,30316911093536186;0;0;-25,4735131147541;0;0,7227470330639747;0;0;0,26197120250376266;-49,8014147540984;0,3287894161261733;0;0,8579146576967188;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
29;00:29:00;0;0;0;0;0;0;0;0,3276939938422463;-24,8219327868852;0;0;0;0,39139457376191233;0,30334378068432205;0;0;-25,4735131147541;0;0,7245649986490896;0;0;0,2619933706444095;-49,8014147540984;0,3291697644034871;0;0,8624722000882087;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
30;00:30:00;0;0;0;0;0;0;0;0,32805512319461455;-24,8040360655738;0;0;0;0,3917976747321757;0,30366015340663816;0;0;-25,4735131147541;0;0,7250445253935398;0;0;0,26257356387796077;-49,8014147540984;0,3292832000097318;0;0,8638544505218518;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
31;00:31:00;0;0;0;0;0;0;0;0,32829312875038297;-24,8040360655738;0;0;0;0,391935665094119;0,3037419220356707;0;0;-25,4735131147541;0;0,7255887045350075;0;0;0,26288338450307197;-49,7987213114754;0,32930752328927687;0;0,863861419251451;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
32;00:32:00;0;0;0;0;0;0;0;0,3291196196417866;-24,8040360655738;0;0;0;0,3919776168060501;0,30404992049375;0;0;-25,4735131147541;0;0,7263882552085668;0;0;0,2632983257925343;-49,7987213114754;0,3309707121409385;0;0,8641469794019393;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
33;00:33:00;0;0;0;0;0;0;0;0,32919968848243203;-24,8040360655738;0;0;0;0,3938402427853228;0,30406988570883736;0;0;-25,4735131147541;0;0,7265569319571968;0;0;0,2640684242936936;-49,7987213114754;0,3310482237236316;0;0,8656146001290322;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
34;00:34:00;0;0;0;0;0;0;0;0,32932205532901815;-24,8040360655738;0;0;0;0,3947139194339513;0,3041479937641236;0;0;-25,4735131147541;0;0,7266499961860745;0;0;0,26408317263568704;-49,7987213114754;0,3318937732999152;0;0,8684328313707553;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
35;00:35:00;0;0;0;0;0;0;0;0,3293317074964564;-24,8040360655738;0;0;0;0,3952545525003943;0,30419091328945846;0;0;-25,4735131147541;0;0,7270438689436217;0;0;0,2644784049041019;-49,7987213114754;0,331935261759294;0;0,8706538248699778;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
36;00:36:00;0;0;0;0;0;0;0;0,3295950498900889;-24,8040360655738;0;0;0;0,3953332240935502;0,30458533149703043;0;0;-25,4735131147541;0;0,7276198964588738;0;0;0,2645416197998064;-49,7987213114754;0,33200864064800134;0;0,8706972617903745;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
37;00:37:00;0;0;0;0;0;0;0;0,3297869777327994;-24,8040360655738;0;0;0;0,3956935298691945;0,3049591009432361;0;0;-25,4651639344262;0;0,7305796196719944;0;0;0,264743045063166;-49,7987213114754;0,33231932850266965;0;0,8709573322970765;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
38;00:38:00;0;0;0;0;0;0;0;0,329929321924653;-24,8040360655738;0;0;0;0,39655585108890573;0,30518040764396287;0;0;-25,4651639344262;0;0,7311019788333329;0;0;0,26483838525943715;-49,7987213114754;0,332879379647005;0;0,8723045412710795;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
39;00:39:00;0;0;0;0;0;0;0;0,3300370249473954;-24,8040360655738;0;0;0;0,3971357196336413;0,3061173912918169;0;0;-25,4651639344262;0;0,7314803891514232;0;0;0,2653598384624338;-49,7987213114754;0,33308702116107236;0;0,875248103893172;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
40;00:40:00;0;0;0;0;0;0;0;0,3302269398761091;-24,6062418032787;0;0;0;0,39746569954985983;0,30619824772053755;0;0;-25,4651639344262;0;0,7325197609463819;0;0;0,2655253287548339;-49,7912672131147;0,3334932007463107;0;0,8762162933870284;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
41;00:41:00;0;0;0;0;0;0;0;0,3303557693400264;-24,6062418032787;0;0;0;0,3977402486121854;0,30654588977658626;0;0;-25,4651639344262;0;0,7330203682516863;0;0;0,2657699221060182;-49,7912672131147;0,33370671646937117;0;0,8770635135638224;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
42;00:42:00;0;0;0;0;0;0;0;0,3307007752109004;-24,6062418032787;0;0;0;0,3980555141768292;0,30684504976645416;0;0;-25,4651639344262;0;0,7330267986151188;0;0;0,265866534060194;-49,7912672131147;0,3339589684107455;0;0,8781236822010008;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
43;00:43:00;0;0;0;0;0;0;0;0,3321968135668489;-24,6062418032787;0;0;0;0,3983648411357676;0,3078779890466267;0;0;-25,4651639344262;0;0,7338093161149934;0;0;0,2659391564509856;-49,7912672131147;0,33421026563422607;0;0,8798857726023425;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
44;00:44:00;0;0;0;0;0;0;0;0,3325102425395153;-24,6062418032787;0;0;0;0,39915990231694987;0,30836068922629334;0;0;-25,4651639344262;0;0,7341291854121839;0;0;0,2667082015213413;-49,7912672131147;0,3343917026018401;0;0,8811839818352529;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
45;00:45:00;0;0;0;0;0;0;0;0,33282222624685537;-24,6062418032787;0;0;0;0,3994655544521977;0,3085063987823646;0;0;-25,4651639344262;0;0,7350700341821562;0;0;0,26674921451891687;-49,7912672131147;0,33464357385246635;0;0,8819941180081701;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
46;00:46:00;0;0;0;0;0;0;0;0,3338448375553463;-24,5805278688525;0;0;0;0,39997376595189066;0,3091397106313128;0;0;-25,4498442622951;0;0,7352695072442015;0;0;0,26713122269536893;-49,7912672131147;0,3346884852347718;0;0,8824974183032656;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
47;00:47:00;0;0;0;0;0;0;0;0,334130464076382;-24,5805278688525;0;0;0;0,40007464469210985;0,3093917852678808;0;0;-25,4498442622951;0;0,736342428846645;0;0;0,26729735722216674;-49,7912672131147;0,33490261270933364;0;0,8826195441268432;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
48;00:48:00;0;0;0;0;0;0;0;0,33462516625844096;-24,5805278688525;0;0;0;0,40010313932599273;0,3098399964321959;0;0;-25,4498442622951;0;0,7368311326519972;0;0;0,2673148697511587;-49,7764;0,3349509968652814;0;0,8826332619853046;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
49;00:49:00;0;0;0;0;0;0;0;0,3349751671090032;-24,5805278688525;0;0;0;0,4005234152981208;0,3100810095142575;0;0;-25,4498442622951;0;0,7401006066027844;0;0;0,26734820359329875;-49,7764;0,33519846644973367;0;0,883438625736027;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
50;00:50:00;0;0;0;0;0;0;0;0,3356257675356738;-24,5805278688525;0;0;0;0,40059719664952764;0,31024619362719985;0;0;-25,4498442622951;0;0,7410680909148736;0;0;0,2675591870399457;-49,7764;0,3352567196570059;0;0,8834466429945851;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
51;00:51:00;0;0;0;0;0;0;0;0,33563542728273377;-24,5805278688525;0;0;0;0,40100820371430895;0,3102579868993775;0;0;-25,4498442622951;0;0,7420314996844523;0;0;0,2676939252506797;-49,7764;0,3354497833492371;0;0,8839776354851975;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
52;00:52:00;0;0;0;0;0;0;0;0,3357885110692628;-24,5805278688525;0;0;0;0,40105590160975135;0,31066018846820603;0;0;-25,4498442622951;0;0,7434117235464226;0;0;0,26776419789814493;-49,7764;0,3355910565525092;0;0,8840321953144678;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
53;00:53:00;0;0;0;0;0;0;0;0,33590972070415787;-24,4286327868852;0;0;0;0,40143004624294987;0,31072228178256694;0;0;-25,4498442622951;0;0,7450937462258058;0;0;0,2678654345501643;-49,7764;0,335923681553556;0;0,8855546699244993;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
54;00:54:00;0;0;0;0;0;0;0;0,3359771190616067;-24,4286327868852;0;0;0;0,40144807185841097;0,3107708609986176;0;0;-25,4498442622951;0;0,745544504328559;0;0;0,268568156570516;-49,7764;0,3359263102079386;0;0,8884802513883628;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
55;00:55:00;0;0;0;0;0;0;0;0,336050248726366;-24,4286327868852;0;0;0;0,40159349965561425;0,311276034565752;0;0;-24,8063557377049;0;0,7455803114703483;0;0;0,2687363873203318;-49,7764;0,3361653179860555;0;0,8904928479065072;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
56;00:56:00;0;0;0;0;0;0;0;0,3365300369321532;-24,4286327868852;0;0;0;0,4016159397192708;0,3112889802008844;0;0;-24,8063557377049;0;0,7467522670799874;0;0;0,26896150902389215;-49,7764;0,33669855312732316;0;0,8907159692697859;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
57;00:57:00;0;0;0;0;0;0;0;0,33680471428153763;-24,4286327868852;0;0;0;0,401787114775676;0,3116317784740618;0;0;-24,8063557377049;0;0,7467693712014449;0;0;0,26914535528426;-49,7539147540984;0,3369898696311106;0;0,8917753642699023;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
58;00:58:00;0;0;0;0;0;0;0;0,337194441549859;-24,4286327868852;0;0;0;0,40182086463759775;0,3117436603803068;0;0;-24,8063557377049;0;0,7471659100924474;0;0;0,26919896520645453;-49,7534344262295;0,3376580686040684;0;0,8930565973469377;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
59;00:59:00;0;0;0;0;0;0;0;0,33753824616047695;-24,4286327868852;0;0;0;0,4018218132345322;0,3120611268071367;0;0;-24,8063557377049;0;0,747177288768907;0;0;0,2695600567549173;-49,7395836065574;0,33766826066051847;0;0,8930962746170263;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
60;01:00:00;0;0;0;0;0;0;0;0,3376612493281442;-24,4286327868852;0;0;0;0,402301657540299;0,31207174617842054;0;0;-24,8063557377049;0;0,7487699870539305;0;0;0,26988768484589626;-49,7395836065574;0,3379092682023856;0;0,8933153649871786;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
61;01:01:00;0;0;0;0;0;0;0;0,33774608924531774;-24,4286327868852;0;0;0;0,4025368995837393;0,3121938702448569;0;0;-24,8063557377049;0;0,749169178113628;0;0;0,27029408713294256;-49,7395836065574;0,3380590139673311;0;0,8933307700586104;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
62;01:02:00;0;0;0;0;0;0;0;0,3378195960525589;-24,4286327868852;0;0;0;0,40253869555743765;0,31223970825745495;0;0;-24,8063557377049;0;0,7497462503839443;0;0;0,2706190445630027;-49,7395836065574;0,3380862515790716;0;0,8941756445718837;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
63;01:03:00;0;0;0;0;0;0;0;0,33807199511577635;-24,1585672131148;0;0;0;0,4028051882886959;0,3123610399349427;0;0;-24,8063557377049;0;0,7500870525456238;0;0;0,2709378215012531;-49,7395836065574;0,33849185593327846;0;0,895323057374618;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
64;01:04:00;0;0;0;0;0;0;0;0,33820551469498367;-24,1585672131148;0;0;0;0,40282622687476616;0,3126074443708157;0;0;-24,7943016393443;0;0,7506078626785521;0;0;0,2709929848765525;-49,7395836065574;0,3386005962713247;0;0,8972086953577252;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
65;01:05:00;0;0;0;0;0;0;0;0,33839828486310947;-24,1585672131148;0;0;0;0,40300727330515296;0,31282839691504266;0;0;-24,7943016393443;0;0,7519102480656226;0;0;0,27112923075263223;-49,7395836065574;0,3388637933375882;0;0,8984711129146982;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
66;01:06:00;0;0;0;0;0;0;0;0,33849168267318835;-24,1585672131148;0;0;0;0,40326233238657444;0,3129191998700558;0;0;-24,7943016393443;0;0,7519577157733728;0;0;0,2712903847383172;-49,7373180327869;0,33919032329144866;0;0,8990323941534647;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
67;01:07:00;0;0;0;0;0;0;0;0,3388147601366336;-24,1585672131148;0;0;0;0,40390172044767475;0,3138002557962555;0;0;-24,7943016393443;0;0,7523518959094423;0;0;0,272189160806072;-49,7213803278689;0,33965396370159323;0;0,8995080379531628;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
