"Latitude (decimal degrees):	41.811"
"Longitude (decimal degrees):	12.632"
"Elevation (m):	149"
"Radiation database:	PVGIS-SARAH3"


Slope: 35 deg. 
Azimuth: 0 deg. 
"Nominal power of the PV system (c-Si) (kWp):	1.0"
"System losses (%):	14.0"
time,P,G(i),H_sun,T2m,WS10m,Int
20230104:0710,61.28,89.0,4.36,7.11,1.38,0.0
20230104:0810,334.51,399.69,12.72,8.31,1.1,0.0
20230104:0910,455.61,551.91,19.38,10.72,0.76,0.0
20230104:1010,541.45,671.34,23.79,12.37,0.48,0.0
20230104:1110,523.35,650.48,25.45,13.44,0.55,0.0
20230104:1210,566.56,708.77,24.17,14.07,0.69,0.0
20230104:1310,535.87,665.43,20.09,14.35,0.9,0.0
20230104:1410,404.37,494.99,13.69,14.15,1.38,0.0
20230104:1510,139.45,184.26,5.52,13.34,1.45,0.0
20230104:1610,0.0,0.0,0.0,12.19,1.31,0.0
20230104:1710,0.0,0.0,0.0,11.18,0.9,0.0
20230104:1810,0.0,0.0,0.0,10.87,0.62,0.0
20230104:1910,0.0,0.0,0.0,9.55,1.31,0.0
20230104:2010,0.0,0.0,0.0,8.49,1.45,0.0
20230104:2110,0.0,0.0,0.0,7.71,1.52,0.0
20230104:2210,0.0,0.0,0.0,6.98,1.59,0.0
20230104:2310,0.0,0.0,0.0,6.33,1.59,0.0
20230105:0010,0.0,0.0,0.0,5.82,1.59,0.0
20230105:0110,0.0,0.0,0.0,5.38,1.59,0.0
20230105:0210,0.0,0.0,0.0,4.93,1.59,0.0
20230105:0310,0.0,0.0,0.0,4.72,1.66,0.0
20230105:0410,0.0,0.0,0.0,4.48,1.66,0.0
20230105:0510,0.0,0.0,0.0,4.29,1.72,0.0
20230105:0610,0.0,0.0,0.0,4.35,1.66,0.0
20230105:0710,122.56,160.21,4.38,5.04,1.72,0.0
20230105:0810,377.69,445.13,12.76,6.07,1.45,0.0
20230105:0910,548.48,661.47,19.44,8.71,1.03,0.0
20230105:1010,480.41,585.53,23.87,11.1,0.69,0.0
20230105:1110,399.21,488.87,25.56,12.42,0.41,0.0
20230105:1210,97.73,132.18,24.29,13.07,1.1,0.0
20230105:1310,36.15,58.41,20.23,13.21,1.59,0.0
20230105:1410,57.15,83.95,13.84,13.0,1.38,0.0
20230105:1510,64.65,94.07,5.67,12.47,0.97,0.0
20230105:1610,0.0,0.0,0.0,11.57,0.76,0.0
20230105:1710,0.0,0.0,0.0,11.08,0.55,0.0
20230105:1810,0.0,0.0,0.0,10.86,0.48,0.0
20230105:1910,0.0,0.0,0.0,9.18,0.97,0.0
20230105:2010,0.0,0.0,0.0,8.39,1.17,0.0
20230105:2110,0.0,0.0,0.0,8.09,1.38,0.0
20230105:2210,0.0,0.0,0.0,7.78,1.45,0.0
20230105:2310,0.0,0.0,0.0,7.0,1.59,0.0
20230106:0010,0.0,0.0,0.0,6.75,1.59,0.0
20230106:0110,0.0,0.0,0.0,6.76,1.66,0.0
20230106:0210,0.0,0.0,0.0,7.06,1.59,0.0
20230106:0310,0.0,0.0,0.0,7.14,1.59,0.0
20230106:0410,0.0,0.0,0.0,7.09,1.59,0.0
20230106:0510,0.0,0.0,0.0,6.93,1.66,0.0
20230106:0610,0.0,0.0,0.0,6.98,1.59,0.0
20230106:0710,27.0,46.34,4.4,6.48,1.79,0.0
20230106:0810,97.06,127.4,12.8,7.11,1.52,0.0
20230106:0910,173.81,215.87,19.51,9.61,1.17,0.0
20230106:1010,125.71,163.9,23.96,11.97,0.83,0.0
20230106:1110,91.44,125.16,25.68,13.27,0.48,0.0
20230106:1210,191.85,241.63,24.42,13.87,0.9,0.0
20230106:1310,126.03,165.11,20.37,14.07,1.38,0.0
20230106:1410,82.94,114.55,13.99,13.73,1.59,0.0
20230106:1510,40.35,64.15,5.82,13.05,1.17,0.0
20230106:1610,0.0,0.0,0.0,12.26,1.03,0.0
20230106:1710,0.0,0.0,0.0,11.48,0.69,0.0
20230106:1810,0.0,0.0,0.0,10.69,0.76,0.0
20230106:1910,0.0,0.0,0.0,9.81,1.1,0.0
20230106:2010,0.0,0.0,0.0,9.48,1.31,0.0
20230106:2110,0.0,0.0,0.0,9.28,1.31,0.0
20230106:2210,0.0,0.0,0.0,8.61,1.38,0.0
20230106:2310,0.0,0.0,0.0,8.17,1.38,0.0
20230107:0010,0.0,0.0,0.0,7.74,1.45,0.0
20230107:0110,0.0,0.0,0.0,7.18,1.52,0.0
20230107:0210,0.0,0.0,0.0,6.91,1.52,0.0
20230107:0310,0.0,0.0,0.0,6.58,1.52,0.0
20230107:0410,0.0,0.0,0.0,6.58,1.45,0.0
20230107:0510,0.0,0.0,0.0,6.54,1.38,0.0
20230107:0610,0.0,0.0,0.0,6.81,1.31,0.0
20230107:0710,37.51,59.75,4.43,6.73,1.31,0.0
20230107:0810,114.26,147.42,12.85,7.86,0.9,0.0
20230107:0910,116.1,151.76,19.58,10.71,0.62,0.0
20230107:1010,94.9,128.46,24.06,12.04,0.55,0.0
20230107:1110,101.72,136.75,25.8,12.73,0.83,0.0
20230107:1210,137.3,177.95,24.56,13.15,1.17,0.0
20230107:1310,92.18,125.38,20.53,13.01,1.38,0.0
20230107:1410,42.93,66.75,14.14,12.87,1.24,0.0
20230107:1510,22.84,41.42,5.98,12.44,0.83,0.0
20230107:1610,0.0,0.0,0.0,11.69,0.41,0.0
20230107:1710,0.0,0.0,0.0,11.4,0.07,0.0
20230107:1810,0.0,0.0,0.0,10.62,0.62,0.0
20230107:1910,0.0,0.0,0.0,9.96,0.83,0.0
20230107:2010,0.0,0.0,0.0,8.49,1.17,0.0
20230107:2110,0.0,0.0,0.0,7.72,1.31,0.0
20230107:2210,0.0,0.0,0.0,7.17,1.45,0.0
20230107:2310,0.0,0.0,0.0,7.19,1.52,0.0
20230108:0010,0.0,0.0,0.0,6.55,1.66,0.0
20230108:0110,0.0,0.0,0.0,6.43,1.45,0.0
20230108:0210,0.0,0.0,0.0,6.26,1.38,0.0
20230108:0310,0.0,0.0,0.0,6.14,1.45,0.0
20230108:0410,0.0,0.0,0.0,6.28,1.45,0.0
20230108:0510,0.0,0.0,0.0,6.7,1.45,0.0
20230108:0610,0.0,0.0,0.0,6.91,1.52,0.0
20230108:0710,132.73,173.36,4.47,6.49,1.52,0.0
20230108:0810,289.8,345.77,12.91,7.67,1.38,0.0
20230108:0910,273.93,328.52,19.66,9.11,1.45,0.0
20230108:1010,226.95,277.62,24.17,11.1,1.86,0.0
20230108:1110,404.1,484.87,25.93,12.08,2.41,0.0
20230108:1210,536.38,644.13,24.71,12.15,2.9,0.0
20230108:1310,75.64,105.4,20.68,12.15,3.31,0.0
20230108:1410,443.66,531.8,14.3,11.97,2.76,0.0
20230108:1510,41.16,64.66,6.14,11.72,2.9,0.0
20230108:1610,0.0,0.0,0.0,11.01,2.9,0.0
20230108:1710,0.0,0.0,0.0,10.75,2.97,0.0
20230108:1810,0.0,0.0,0.0,10.53,3.17,0.0
20230108:1910,0.0,0.0,0.0,10.79,3.38,0.0
20230108:2010,0.0,0.0,0.0,10.54,3.38,0.0
20230108:2110,0.0,0.0,0.0,10.67,3.66,0.0
20230108:2210,0.0,0.0,0.0,10.85,3.86,0.0
20230108:2310,0.0,0.0,0.0,10.43,3.93,0.0
20230109:0010,0.0,0.0,0.0,10.77,4.34,0.0
20230109:0110,0.0,0.0,0.0,10.67,4.9,0.0
20230109:0210,0.0,0.0,0.0,10.65,5.17,0.0
20230109:0310,0.0,0.0,0.0,10.72,4.83,0.0
20230109:0410,0.0,0.0,0.0,10.86,4.21,0.0
20230109:0510,0.0,0.0,0.0,11.2,3.79,0.0
20230109:0610,0.0,0.0,0.0,11.62,3.93,0.0
20230109:0710,1.09,8.34,4.51,12.13,4.69,0.0
20230109:0810,19.77,37.08,12.97,12.29,4.97,0.0
20230109:0910,54.7,80.66,19.75,12.43,5.52,0.0
20230109:1010,143.49,182.85,24.28,12.41,5.31,0.0
20230109:1110,46.04,70.46,26.06,13.06,4.14,0.0
20230109:1210,17.62,34.3,24.87,13.01,3.45,0.0
20230109:1310,24.59,43.57,20.85,13.02,3.31,0.0
20230109:1410,64.43,92.29,14.47,12.74,3.45,0.0
20230109:1510,179.29,227.75,6.3,11.85,4.14,0.0
20230109:1610,0.0,0.0,0.0,10.79,3.59,0.0
20230109:1710,0.0,0.0,0.0,10.11,3.1,0.0
20230109:1810,0.0,0.0,0.0,9.66,2.62,0.0
20230109:1910,0.0,0.0,0.0,9.57,2.83,0.0
20230109:2010,0.0,0.0,0.0,9.41,3.31,0.0
20230109:2110,0.0,0.0,0.0,8.98,3.24,0.0
20230109:2210,0.0,0.0,0.0,8.0,3.24,0.0
20230109:2310,0.0,0.0,0.0,7.65,2.62,0.0
20230110:0010,0.0,0.0,0.0,7.28,1.86,0.0
20230110:0110,0.0,0.0,0.0,6.73,2.14,0.0
20230110:0210,0.0,0.0,0.0,6.65,1.93,0.0
20230110:0310,0.0,0.0,0.0,6.11,2.41,0.0
20230110:0410,0.0,0.0,0.0,5.77,2.97,0.0
20230110:0510,0.0,0.0,0.0,5.34,3.24,0.0
20230110:0610,0.0,0.0,0.0,4.74,3.31,0.0
20230110:0710,156.5,199.3,4.56,4.83,2.9,0.0
20230110:0810,377.7,439.7,13.04,5.77,3.17,0.0
20230110:0910,622.44,732.77,19.84,7.23,3.1,0.0
20230110:1010,727.92,869.86,24.4,8.98,3.59,0.0
20230110:1110,757.17,911.68,26.21,10.27,3.86,0.0
20230110:1210,713.59,857.94,25.03,11.13,3.93,0.0
20230110:1310,619.7,739.63,21.02,11.57,3.93,0.0
20230110:1410,436.47,519.02,14.64,11.56,3.66,0.0
20230110:1510,218.28,272.68,6.47,10.88,3.31,0.0
20230110:1610,0.0,0.0,0.0,9.6,3.03,0.0
20230110:1710,0.0,0.0,0.0,8.55,2.62,0.0
20230110:1810,0.0,0.0,0.0,7.65,2.34,0.0
20230110:1910,0.0,0.0,0.0,6.99,2.28,0.0
20230110:2010,0.0,0.0,0.0,6.0,2.07,0.0
20230110:2110,0.0,0.0,0.0,5.2,2.07,0.0
20230110:2210,0.0,0.0,0.0,4.58,2.14,0.0
20230110:2310,0.0,0.0,0.0,4.03,2.21,0.0
20230111:0010,0.0,0.0,0.0,3.51,2.21,0.0
20230111:0110,0.0,0.0,0.0,3.13,2.28,0.0
20230111:0210,0.0,0.0,0.0,2.78,2.34,0.0
20230111:0310,0.0,0.0,0.0,2.51,2.34,0.0
20230111:0410,0.0,0.0,0.0,2.15,2.28,0.0
20230111:0510,0.0,0.0,0.0,1.68,2.14,0.0
20230111:0610,0.0,0.0,0.0,1.11,2.0,0.0
20230111:0710,166.0,207.56,4.61,1.03,1.79,0.0
20230111:0810,432.6,502.73,13.12,2.55,1.38,0.0
20230111:0910,579.84,689.88,19.94,6.19,1.38,0.0
20230111:1010,652.28,791.55,24.52,8.66,1.59,0.0
20230111:1110,697.34,856.19,26.36,10.16,1.79,0.0
20230111:1210,601.62,731.02,25.19,11.06,1.93,0.0
20230111:1310,385.28,461.39,21.19,11.46,2.14,0.0
20230111:1410,246.33,299.47,14.82,11.35,2.0,0.0
20230111:1510,51.33,76.82,6.65,10.64,1.45,0.0
20230111:1610,0.0,0.0,0.0,9.22,1.31,0.0
20230111:1710,0.0,0.0,0.0,8.32,1.1,0.0
20230111:1810,0.0,0.0,0.0,8.25,0.83,0.0
20230111:1910,0.0,0.0,0.0,6.96,1.03,0.0
20230111:2010,0.0,0.0,0.0,5.09,1.45,0.0
20230111:2110,0.0,0.0,0.0,4.19,1.66,0.0
20230111:2210,0.0,0.0,0.0,3.87,1.93,0.0
20230111:2310,0.0,0.0,0.0,3.23,1.93,0.0
20230112:0010,0.0,0.0,0.0,2.76,1.86,0.0
20230112:0110,0.0,0.0,0.0,2.4,1.93,0.0
20230112:0210,0.0,0.0,0.0,2.17,1.93,0.0
20230112:0310,0.0,0.0,0.0,2.79,1.79,0.0
20230112:0410,0.0,0.0,0.0,3.69,1.93,0.0
20230112:0510,0.0,0.0,0.0,3.9,1.86,0.0
20230112:0610,0.0,0.0,0.0,3.82,1.93,0.0
20230112:0710,157.87,201.15,4.67,4.47,1.86,0.0
20230112:0810,388.69,455.37,13.2,5.07,1.66,0.0
20230112:0910,569.87,680.92,20.05,7.53,1.45,0.0
20230112:1010,672.51,830.52,24.66,9.64,1.03,0.0
20230112:1110,691.87,869.8,26.51,11.05,0.76,0.0
20230112:1210,668.7,843.82,25.37,11.72,0.55,0.0
20230112:1310,578.31,716.8,21.37,12.07,0.69,0.0
20230112:1410,396.86,482.83,15.0,11.91,0.83,0.0
20230112:1510,90.88,124.53,6.83,11.33,0.55,0.0
20230112:1610,0.0,0.0,0.0,9.81,0.97,0.0
20230112:1710,0.0,0.0,0.0,8.33,1.1,0.0
20230112:1810,0.0,0.0,0.0,7.69,1.03,0.0
20230112:1910,0.0,0.0,0.0,6.22,1.52,0.0
20230112:2010,0.0,0.0,0.0,5.25,1.66,0.0
20230112:2110,0.0,0.0,0.0,4.42,1.79,0.0
20230112:2210,0.0,0.0,0.0,3.81,1.79,0.0
20230112:2310,0.0,0.0,0.0,3.19,1.79,0.0
20230113:0010,0.0,0.0,0.0,2.68,1.86,0.0
20230113:0110,0.0,0.0,0.0,2.47,1.86,0.0
20230113:0210,0.0,0.0,0.0,2.3,1.79,0.0
20230113:0310,0.0,0.0,0.0,2.13,1.79,0.0
20230113:0410,0.0,0.0,0.0,2.02,1.79,0.0
20230113:0510,0.0,0.0,0.0,1.95,1.79,0.0
20230113:0610,0.0,0.0,0.0,1.89,1.86,0.0
20230113:0710,144.58,184.19,4.74,2.34,1.59,0.0
20230113:0810,311.0,365.12,13.29,4.11,1.1,0.0
20230113:0910,465.29,556.9,20.16,8.22,0.83,0.0
20230113:1010,487.87,595.19,24.8,10.46,0.48,0.0
20230113:1110,652.66,816.55,26.68,11.2,0.69,0.0
20230113:1210,321.77,390.11,25.55,11.65,1.1,0.0
20230113:1310,204.09,252.69,21.56,11.81,1.24,0.0
20230113:1410,20.47,38.01,15.19,11.83,1.24,0.0
20230113:1510,29.69,50.07,7.01,11.34,0.97,0.0
20230113:1610,0.0,0.0,0.0,10.89,1.03,0.0
20230113:1710,0.0,0.0,0.0,10.3,1.24,0.0
20230113:1810,0.0,0.0,0.0,9.77,1.59,0.0
20230113:1910,0.0,0.0,0.0,9.22,1.1,0.0
20230113:2010,0.0,0.0,0.0,8.33,1.1,0.0
20230113:2110,0.0,0.0,0.0,8.34,1.17,0.0
20230113:2210,0.0,0.0,0.0,8.46,1.79,0.0
20230113:2310,0.0,0.0,0.0,7.89,1.93,0.0
20230114:0010,0.0,0.0,0.0,7.04,1.86,0.0
20230114:0110,0.0,0.0,0.0,6.01,1.79,0.0
20230114:0210,0.0,0.0,0.0,5.2,1.79,0.0
20230114:0310,0.0,0.0,0.0,4.79,1.79,0.0
20230114:0410,0.0,0.0,0.0,4.44,1.79,0.0
20230114:0510,0.0,0.0,0.0,4.07,1.79,0.0
20230114:0610,0.0,0.0,0.0,4.05,1.86,0.0
20230114:0710,145.85,188.2,4.82,5.85,2.0,0.0
20230114:0810,398.76,470.37,13.38,6.81,1.86,0.0
20230114:0910,569.26,680.54,20.29,9.15,2.07,0.0
20230114:1010,680.54,825.87,24.95,10.86,2.62,0.0
20230114:1110,718.48,885.28,26.85,12.12,2.41,0.0
20230114:1210,676.76,840.52,25.73,13.03,1.79,0.0
20230114:1310,593.71,731.59,21.75,13.52,1.66,0.0
20230114:1410,443.6,537.77,15.38,13.51,2.21,0.0
20230114:1510,197.59,250.91,7.2,12.69,1.79,0.0
20230114:1610,0.0,0.0,0.0,11.3,1.45,0.0
20230114:1710,0.0,0.0,0.0,10.03,1.24,0.0
20230114:1810,0.0,0.0,0.0,9.21,1.03,0.0
20230114:1910,0.0,0.0,0.0,8.28,0.97,0.0
20230114:2010,0.0,0.0,0.0,7.54,1.03,0.0
20230114:2110,0.0,0.0,0.0,5.81,1.66,0.0
20230114:2210,0.0,0.0,0.0,4.92,1.86,0.0
20230114:2310,0.0,0.0,0.0,4.0,1.72,0.0
20230115:0010,0.0,0.0,0.0,3.49,1.66,0.0
20230115:0110,0.0,0.0,0.0,3.25,1.79,0.0
20230115:0210,0.0,0.0,0.0,3.38,1.93,0.0
20230115:0310,0.0,0.0,0.0,3.61,2.0,0.0
20230115:0410,0.0,0.0,0.0,3.83,2.0,0.0
20230115:0510,0.0,0.0,0.0,4.74,1.86,0.0
20230115:0610,0.0,0.0,0.0,5.89,1.79,0.0
20230115:0710,17.27,33.41,4.9,6.56,1.59,0.0
20230115:0810,66.11,92.68,13.49,7.97,1.38,0.0
20230115:0910,47.56,71.39,20.41,9.28,1.38,0.0
20230115:1010,51.96,76.95,25.1,10.27,1.52,0.0
20230115:1110,57.25,83.44,27.03,11.01,2.14,0.0
20230115:1210,72.87,101.98,25.92,11.42,2.76,0.0
20230115:1310,87.72,119.22,21.95,11.37,2.69,0.0
20230115:1410,74.76,103.94,15.58,11.39,2.76,0.0
20230115:1510,133.97,174.14,7.39,11.2,2.41,0.0
20230115:1610,0.0,0.0,0.0,10.38,2.21,0.0
20230115:1710,0.0,0.0,0.0,9.86,2.14,0.0
20230115:1810,0.0,0.0,0.0,9.32,2.21,0.0
20230115:1910,0.0,0.0,0.0,9.47,2.28,0.0
20230115:2010,0.0,0.0,0.0,9.12,2.48,0.0
20230115:2110,0.0,0.0,0.0,9.01,2.62,0.0
20230115:2210,0.0,0.0,0.0,8.94,2.62,0.0
20230115:2310,0.0,0.0,0.0,8.96,2.55,0.0
20230116:0010,0.0,0.0,0.0,9.26,2.69,0.0
20230116:0110,0.0,0.0,0.0,8.96,2.34,0.0
20230116:0210,0.0,0.0,0.0,8.67,2.28,0.0
20230116:0310,0.0,0.0,0.0,9.12,2.07,0.0
20230116:0410,0.0,0.0,0.0,9.2,2.21,0.0
20230116:0510,0.0,0.0,0.0,9.36,2.76,0.0
20230116:0610,0.0,0.0,0.0,9.22,2.83,0.0
20230116:0710,66.15,95.58,4.98,9.32,3.03,0.0
20230116:0810,419.14,499.11,13.6,9.74,2.48,0.0
20230116:0910,409.26,485.42,20.55,10.74,2.97,0.0
20230116:1010,164.18,205.63,25.27,11.27,4.14,0.0
20230116:1110,189.55,234.23,27.21,11.46,4.62,0.0
20230116:1210,150.01,189.67,26.12,11.39,4.97,0.0
20230116:1310,39.71,62.12,22.15,10.87,5.38,0.0
20230116:1410,72.1,100.1,15.78,9.84,4.28,0.0
20230116:1510,38.05,59.99,7.59,9.44,3.1,0.0
20230116:1610,0.0,0.0,0.0,9.05,2.83,0.0
20230116:1710,0.0,0.0,0.0,9.16,2.97,0.0
20230116:1810,0.0,0.0,0.0,8.42,3.45,0.0
20230116:1910,0.0,0.0,0.0,8.73,4.14,0.0
20230116:2010,0.0,0.0,0.0,9.28,4.97,0.0
20230116:2110,0.0,0.0,0.0,9.52,4.83,0.0
20230116:2210,0.0,0.0,0.0,9.52,4.28,0.0
20230116:2310,0.0,0.0,0.0,9.46,3.86,0.0
20230117:0010,0.0,0.0,0.0,9.6,3.86,0.0
20230117:0110,0.0,0.0,0.0,9.11,3.45,0.0
20230117:0210,0.0,0.0,0.0,8.71,3.1,0.0
20230117:0310,0.0,0.0,0.0,8.78,2.83,0.0
20230117:0410,0.0,0.0,0.0,9.28,3.03,0.0
20230117:0510,0.0,0.0,0.0,9.28,3.45,0.0
20230117:0610,0.0,0.0,0.0,9.32,3.86,0.0
20230117:0710,6.89,18.54,5.08,9.81,4.55,0.0
20230117:0810,65.56,92.45,13.71,9.8,4.07,0.0
20230117:0910,43.68,66.75,20.69,10.04,4.62,0.0
20230117:1010,144.48,182.8,25.43,10.5,4.76,0.0
20230117:1110,32.98,53.77,27.4,10.65,4.97,0.0
20230117:1210,39.65,62.12,26.33,11.2,5.79,0.0
20230117:1310,27.74,47.28,22.36,11.17,5.31,0.0
20230117:1410,19.87,37.08,15.99,11.32,5.66,0.0
20230117:1510,34.21,55.57,7.79,11.37,5.45,0.0
20230117:1610,0.0,0.0,0.0,11.15,5.59,0.0
20230117:1710,0.0,0.0,0.0,10.98,5.17,0.0
20230117:1810,0.0,0.0,0.0,10.84,4.62,0.0
20230117:1910,0.0,0.0,0.0,10.73,3.72,0.0
20230117:2010,0.0,0.0,0.0,10.16,4.07,0.0
20230117:2110,0.0,0.0,0.0,10.57,4.48,0.0
20230117:2210,0.0,0.0,0.0,10.44,4.9,0.0
20230117:2310,0.0,0.0,0.0,9.74,5.24,0.0
20230118:0010,0.0,0.0,0.0,9.08,5.86,0.0
20230118:0110,0.0,0.0,0.0,8.45,5.45,0.0
20230118:0210,0.0,0.0,0.0,8.5,4.9,0.0
20230118:0310,0.0,0.0,0.0,7.95,4.69,0.0
20230118:0410,0.0,0.0,0.0,7.95,4.0,0.0
20230118:0510,0.0,0.0,0.0,7.72,3.52,0.0
20230118:0610,0.0,0.0,0.0,7.8,2.62,0.0
20230118:0710,130.88,172.35,5.18,8.61,2.76,0.0
20230118:0810,6.31,17.62,13.83,9.33,3.03,0.0
20230118:0910,110.98,144.68,20.84,10.03,3.93,0.0
20230118:1010,293.94,349.58,25.61,10.1,4.28,0.0
20230118:1110,21.48,38.94,27.6,9.47,5.24,0.0
20230118:1210,68.71,96.42,26.54,10.02,4.07,0.0
20230118:1310,27.97,47.28,22.58,9.44,3.52,0.0
20230118:1410,57.66,83.32,16.2,9.42,2.28,0.0
20230118:1510,18.05,34.3,7.99,8.45,2.9,0.0
20230118:1610,0.0,0.0,0.0,7.67,2.07,0.0
20230118:1710,0.0,0.0,0.0,7.53,1.17,0.0
20230118:1810,0.0,0.0,0.0,6.52,0.9,0.0
20230118:1910,0.0,0.0,0.0,6.52,1.52,0.0
20230118:2010,0.0,0.0,0.0,6.32,1.52,0.0
20230118:2110,0.0,0.0,0.0,6.38,1.31,0.0
20230118:2210,0.0,0.0,0.0,5.69,1.86,0.0
20230118:2310,0.0,0.0,0.0,5.63,1.31,0.0
20230119:0010,0.0,0.0,0.0,4.79,1.03,0.0
20230119:0110,0.0,0.0,0.0,5.24,0.69,0.0
20230119:0210,0.0,0.0,0.0,5.4,0.83,0.0
20230119:0310,0.0,0.0,0.0,5.48,0.62,0.0
20230119:0410,0.0,0.0,0.0,5.25,0.14,0.0
20230119:0510,0.0,0.0,0.0,4.82,0.14,0.0
20230119:0610,0.0,0.0,0.0,3.69,0.76,0.0
20230119:0710,169.15,215.03,5.28,4.39,0.9,0.0
20230119:0810,370.94,439.54,13.96,5.75,0.76,0.0
