Apparent.Time;Time span;Kitchen Light (100W) [VA];Living Room Light (Energy Saving Lamp, 20W) [VA];Bathroom Light (100W) [VA];Bathroom Mirror Light 10 W (LED) [VA];Bedroom Light (60W) [VA];Children Room Light (200W) [VA];Children Room Light Device (20W) [VA];Egg Cooker / Russell Hobbs 14048-56 Stylo [VA];Juicer / Moulinex Vitafruit [VA];Kitchen radio / AEG KRC 4323 CD [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [VA];Coffee Machine / Braun Impression KF 600 [VA];Food Slicer / DOMO Schneidemaschine DO521S [VA];Toaster Salco MT 400 [VA];PC / Acer 8400 [VA];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [VA];Epson Stylus Color 860 [VA];TASKalfa 180 [VA];Canon CanoScan LIDE 110 [VA];External Harddrive Iomega 3.5" [VA];Laptop / ACER BT.00603.043 Replacement laptop battery [VA];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [VA];Fancy Ceiling Lights with at least 3 Bulbs [VA];CD/DVD Player / Phillips HDR3810/31 [VA];Panasonic TX-P58V10E [VA];SAT Receiver / Kathrein UFS913 [VA];Miele H 5241 B [VA];Handmixer / Phillips Robust HR 1581 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power [VA];Microwave / Panasonic NN-V 359 W Inverter [VA];Extractor Hood / Miele DA 429-4 [VA];Miele DA 61 [VA];Deep Fryer / DeLonghi F 28311.W Rotofritteuse [VA];Ricecooker / Tristar RK-6112 [VA];Steam Cooker / Phillips HD9140 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [VA];Braun Multiquick 3 MR 300 Soup [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [VA];Fondue / Unold 48746 Asia [VA];Dishwashers / Bosch SGI 4662 Silence Comfort [VA];Dryer / Miele T 8626 WP [VA];Washing Machine Samsung P1405J [VA];Home Cinema System / Samsung HT-D5550 [VA];Hifi System / Sharp XL-HF300PH [VA];AEG NM 2701 Premium [VA];Hair Dryer Babyliss 2000 [VA];Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260 [VA];TV Medion MD20123_DE_A [VA];Microsoft Xbox 360 [VA];TV / Phillips Goya 9770 VT [VA];Liebherr CBP 4056-20A [VA];Router O2 Box 6431 [VA];Electric Razor Braun Cruzer 5 [VA];Electric Tooth Brush / Phillips HX9332 [VA];Phone Siemens Gigaset C320 [VA];Yamaha RX-V667 [VA];Liebherr GP 2756-20A [VA];
10;00:10:00;0;0;0;0;0;0;0;0;0;0,9736309341308061;0;0;0;0;1,1341913403568502;0,931069443880675;0,17867043916156056;1,900199904542971;0;0;5,178103871555158;0;0;0,5835749029598158;8,153839658840939;3,574174311091998;0;0;0;16,185153985698605;0;0;0;0;0;0;0;0;0;0;0;0;1,5422031581971294;2,1797974050763083;0;0;0;0,5700000000000001;2,569145123399812;1,8643011478725087;0;11,3268114754098;2,92629081967213;1,480352688363677;4,31627770491803;9,069289279057363;0;
11;00:11:00;0;0;0;0;0;0;0;0;0;0,9810835745040248;0;0;0;0;1,1487841648821928;0,9332308620097383;0,17878026629559407;1,9081169140692817;0;0;5,187759869184947;0;0;0,5892013937478914;8,233135933245194;3,5796662831395474;0;0;0;16,296965013037;0;0;0;0;0;0;0;0;0;0;0;0;1,5605482450170776;2,1883847208544487;0;0;0;0,5700000000000001;2,6015931275782727;1,8729211006322826;0;11,3268114754098;2,92629081967213;1,4833964784185436;4,31627770491803;9,07886877814927;0;
12;00:12:00;0;0;0;0;0;0;0;0;0;0,9833859569752312;0;0;0;0;1,1568809358247814;0,9353155769163028;0,17952633793861356;1,9120904008526143;0;0;5,197369239534686;0;0;0,5897021676507257;8,23932941429101;3,5946310174113902;0;0;0;16,306482077291793;0;0;0;0;0;0;0;0;0;0;0;0;1,5727007210593922;2,1972718671341913;0;0;0;0,5700000000000001;2,6288364111824585;1,8767880983280805;0;11,3268114754098;2,92629081967213;1,4874650807280951;4,31627770491803;9,142368703806868;0;
13;00:13:00;0;0;0;0;0;0;0;0;0;0,9853348873038836;0;0;0;0;1,1618957080226648;0,9384425866630884;0,17982017095553557;1,9139369013463687;0;0;5,211096060443585;0;0;0,5914337499131485;8,249897197244659;3,596426508206542;0;0;0;16,32432556616445;0;0;0;0;0;0;0;0;0;0;0;0;1,573878986177307;2,222196628632795;0;0;0;0,5700000000000001;2,646975808731051;1,8916929551522408;0;11,3268114754098;2,92629081967213;1,488549739238609;4,31627770491803;9,201175068772882;0;
14;00:14:00;0;0;0;0;0;0;0;0;0;0,9869909347371302;0;0;0;0;1,1739116537188978;0,9402692481625631;0,1798678502366188;1,9140167024331567;0;0;5,226173251424347;0;0;0,5984660100304776;8,34869846461519;3,6062481024658326;0;0;0;16,380311921103754;0;0;0;0;0;0;0;0;0;0;0;0;1,5748261801503214;2,2262185770213248;0;0;0;0,5700000000000001;2,650305642901942;1,9519815233421054;0;11,3268114754098;2,92629081967213;1,495854291907347;4,31627770491803;9,219550863846685;0;
15;00:15:00;0;0;0;0;0;0;0;0;0;0,9890215801124213;0;0;0;0;1,1808487889539065;0,940620677471263;0,18035821627277546;1,9246006043295465;0;0;5,246861934334279;0;0;0,6001514097566105;8,415876971733171;3,614555732865254;0;0;0;16,412767233970634;0;0;0;0;0;0;0;0;0;0;0;0;1,5794828570357913;2,234620473146375;0;0;0;0,5700000000000001;2,666947427891531;1,9537361184565065;0;11,3268114754098;2,92629081967213;1,5186136555769085;4,31627770491803;9,285057007194046;0;
16;00:16:00;0;0;0;0;0;0;0;0;0;0,9961016113154959;0;0;0;0;1,1966425791958446;0,9499449116215963;0,18143167895175383;1,929492207258352;0;0;5,254577201564149;0;0;0,6017718683370167;8,422422158164688;3,622366810202881;0;0;0;16,422519974381025;0;0;0;0;0;0;0;0;0;0;0;0;1,583165807445363;2,2451209333389586;0;0;0;0,5700000000000001;2,6685452166922357;1,9605844046532124;0;11,3268114754098;2,92629081967213;1,5207182235465855;4,31627770491803;9,29976125571445;0;
17;00:17:00;0;0;0;0;0;0;0;0;0;0,9985907360165921;0;0;0;0;1,1969261070762156;0,9508948018665901;0,1814911793646209;1,9327949451193809;0;0;5,260309078500795;0;0;0,6029170292396848;8,455620748594539;3,623108128401157;0;0;0;16,43678490032055;0;0;0;0;0;0;0;0;0;0;0;0;1,5966675582621028;2,2627138072286237;0;0;0;0,5700000000000001;2,678516217852882;1,9633039581304004;0;11,3268114754098;2,92629081967213;1,5230773839207434;4,31627770491803;9,302803002773107;0;
18;00:18:00;0;0;0;0;0;0;0;0;0;0,9991879886412027;0;0;0;0;1,199407871667623;0,9515358469335131;0,18296010365124;1,9423638306673263;0;0;5,261075765444204;0;0;0,6055499204487785;8,463427369877488;3,624283486313181;0;0;0;16,47308723398459;0;0;0;0;0;0;0;0;0;0;0;0;1,5970363892999446;2,266537025150299;0;0;0;0,5700000000000001;2,6823879582176615;1,9679183983154342;0;11,3268114754098;2,92629081967213;1,5234268889688738;4,31627770491803;9,349963587488002;0;
19;00:19:00;0;0;0;0;0;0;0;0;0;1,0073565834108225;0;0;0;0;1,2035960189970132;0,9573439571755108;0,18331002366532048;1,9427503162404491;0;0;5,28435811558146;0;0;0,6069173484381012;8,477302926756678;3,6267545830068744;0;0;0;16,54479439355119;0;0;0;0;0;0;0;0;0;0;0;0;1,6128570786007648;2,273530510157579;0;0;0;0,5700000000000001;2,6830334593591876;1,9699306483718788;0;11,3268114754098;2,92629081967213;1,5254960645737867;4,31627770491803;9,389283008727997;0;
20;00:20:00;0;0;0;0;0;0;0;0;0;1,0074872812967464;0;0;0;0;1,2072445678515928;0,9616349425398681;0,1834574350348499;1,9471880245556406;0;0;5,301087347596933;0;0;0,6084071547260674;8,483497042521252;3,634240670285793;0;0;0;16,588962360989804;0;0;0;0;0;0;0;0;0;0;0;0;1,6131111871883366;2,2758477823750587;0;0;0;0,5700000000000001;2,70506993592504;1,9739188088682702;0;11,3268114754098;2,92629081967213;1,5318294361367146;4,31627770491803;9,403165826800189;0;
21;00:21:00;0;0;0;0;0;0;0;0;0;1,0164464974095653;0;0;0;0;1,2196673614899904;0,9616542199027127;0,1837030963581743;1,9528660280539158;0;0;5,321744398178485;0;0;0,6088196462500224;8,489797348937715;3,64538008645549;0;0;0;16,600009864739356;0;0;0;0;0;0;0;0;0;0;0;0;1,6151491471109871;2,277555129163427;0;0;0;0,5700000000000001;2,7086670354173674;1,9757369780112695;0;11,3268114754098;2,92629081967213;1,532448321608564;4,31627770491803;9,41519173903238;0;
22;00:22:00;0;0;0;0;0;0;0;0;0;1,0182133225960164;0;0;0;0;1,2242152918908442;0,9619682744132415;0,18440535623149684;1,9607366349152056;0;0;5,324481364031709;0;0;0,6094475786199973;8,518522426149003;3,648467389642235;0;0;0;16,616886021457603;0;0;0;0;0;0;0;0;0;0;0;0;1,6215567113997773;2,280960872653173;0;0;0;0,5700000000000001;2,716139516907511;1,9785118974863;0;11,3268114754098;2,92629081967213;1,535872475382042;4,31627770491803;9,424196460342266;0;
23;00:23:00;0;0;0;0;0;0;0;0;0;1,0274836902677082;0;0;0;0;1,2261859417516079;0,9628745200236442;0,18443038472495754;1,963364346693385;0;0;5,33371972033924;0;0;0,6095172633647152;8,552749476550765;3,648547724571568;0;0;0;16,677043490949952;0;0;0;0;0;0;0;0;0;0;0;0;1,6242485881848427;2,283878143893322;0;0;0;0,5700000000000001;2,728329976030499;1,9800854998818729;0;11,3268114754098;2,92629081967213;1,54739493349488;4,31627770491803;9,430016276003327;0;
24;00:24:00;0;0;0;0;0;0;0;0;0;1,0299173319808401;0;0;0;0;1,2320443425932794;0,9650668688487584;0,184681218924775;1,9714199803212498;0;0;5,365201782884649;0;0;0,610170916469463;8,556666834462453;3,648756445694569;0;0;0;16,70690398962191;0;0;0;0;0;0;0;0;0;0;0;0;1,6265212066718913;2,298859361662085;0;0;0;0,5700000000000001;2,743250484882264;1,988915301000872;0;11,3268114754098;2,92629081967213;1,5475444140610464;4,31627770491803;9,43391161472601;0;
25;00:25:00;0;0;0;0;0;0;0;0;0;1,0308437942815551;0;0;0;0;1,2385321342503992;0,970138255504602;0,18564899855705533;1,9762109421597622;0;0;5,392230377751158;0;0;0,6105426004540669;8,592554053750424;3,650407483272553;0;0;0;16,749442476200002;0;0;0;0;0;0;0;0;0;0;0;0;1,6279729942681185;2,302603862965556;0;0;0;0,5700000000000001;2,744664355389322;1,9890185256396786;0;11,3268114754098;2,92629081967213;1,552657115081198;4,31627770491803;9,435094849951081;0;
26;00:26:00;0;0;0;0;0;0;0;0;0;1,0309710844855753;0;0;0;0;1,240232354669062;0,9722448609051947;0,18573813218795684;1,9775662573326018;0;0;5,452631255635683;0;0;0,610873483232678;8,616712096393954;3,6537987243724235;0;0;0;16,76687159223503;0;0;0;0;0;0;0;0;0;0;0;0;1,6288164180019233;2,3086968123674705;0;0;0;0,5700000000000001;2,745883104667362;1,9905318201364894;0;11,3268114754098;2,92629081967213;1,5550138544835175;4,31627770491803;9,44304550115665;0;
27;00:27:00;0;0;0;0;0;0;0;0;0;1,031806483314649;0;0;0;0;1,2410642260532836;0,9730793441727554;0,18577142861408533;1,9786742620825741;0;0;5,456057919954489;0;0;0,6109353795756254;8,63190409831861;3,6571832891246823;0;0;0;16,79680229546329;0;0;0;0;0;0;0;0;0;0;0;0;1,6359188818135622;2,313758623622808;0;0;0;0,5700000000000001;2,748664450799909;1,9908659619534281;0;11,3268114754098;2,92629081967213;1,555872490356836;4,31627770491803;9,45021771007438;0;
28;00:28:00;0;0;0;0;0;0;0;0;0;1,032397093651086;0;0;0;0;1,2416907994932949;0,9767582332598693;0,18661057159832997;1,9791141400266554;0;0;5,456497628545195;0;0;0,611201887075215;8,633229151685303;3,658321637550332;0;0;0;16,811038983891798;0;0;0;0;0;0;0;0;0;0;0;0;1,6362928779885915;2,3146998687928386;0;0;0;0,5700000000000001;2,7506863164093764;1,993404092528504;0;11,3268114754098;2,92629081967213;1,5621173776477246;4,31627770491803;9,452383438480648;0;
29;00:29:00;0;0;0;0;0;0;0;0;0;1,0374863602577586;0;0;0;0;1,2498723438204813;0,9799876267326484;0,1867832721410908;1,981339300559051;0;0;5,46872140475608;0;0;0,6129369942207633;8,654939488718647;3,6584033980390185;0;0;0;16,816520630330015;0;0;0;0;0;0;0;0;0;0;0;0;1,6432632320406992;2,3178539521410952;0;0;0;0,5700000000000001;2,750711335453071;1,9985040086552572;0;11,3268114754098;2,92629081967213;1,5654382870457197;4,31627770491803;9,459868025974533;0;
30;00:30:00;0;0;0;0;0;0;0;0;0;1,0391902726405822;0;0;0;0;1,2546231333903686;0,9828271716926275;0,18687281091306804;1,984689581345842;0;0;5,475885369016831;0;0;0,6137656914603987;8,700258976895958;3,6621770219628047;0;0;0;16,838726010265233;0;0;0;0;0;0;0;0;0;0;0;0;1,643433935729518;2,3254456803958603;0;0;0;0,5700000000000001;2,754546436964268;2,000946040325962;0;11,3268114754098;2,92629081967213;1,5656627546767041;4,31627770491803;9,492546546018968;0;
31;00:31:00;0;0;0;0;0;0;0;0;0;1,0397321966955535;0;0;0;0;1,2566305480367155;0,9848955696202464;0,1871123516382979;1,9847420540980614;0;0;5,49339760641414;0;0;0,618703659999108;8,72039317564829;3,668870837509344;0;0;0;16,869752576875776;0;0;0;0;0;0;0;0;0;0;0;0;1,6474862250484628;2,334458361135517;0;0;0;0,5700000000000001;2,7553339185060435;2,0106981915128737;0;11,3268114754098;2,92629081967213;1,568351501283392;4,31627770491803;9,495494182143826;0;
32;00:32:00;0;0;0;0;0;0;0;0;0;1,0422258228006631;0;0;0;0;1,257582202403564;0,9867191603402563;0,18711801597750524;1,9882340369904028;0;0;5,5043932836256735;0;0;0,6196283717230591;8,732096476844902;3,672354673959499;0;0;0;16,896846750595472;0;0;0;0;0;0;0;0;0;0;0;0;1,6500058314342285;2,337331347107732;0;0;0;0,5700000000000001;2,759718913348548;2,0175859633987536;0;11,3268114754098;2,92629081967213;1,5689615938081103;4,31627770491803;9,497239479547517;0;
33;00:33:00;0;0;0;0;0;0;0;0;0;1,042935792508717;0;0;0;0;1,258363627385614;0,9909945784969237;0,18755500517582094;1,9884275947361383;0;0;5,5077643911523575;0;0;0,6196317081345135;8,733978461598348;3,673394275344192;0;0;0;16,90701173626742;0;0;0;0;0;0;0;0;0;0;0;0;1,6504465479388373;2,3379475762737147;0;0;0;0,5700000000000001;2,7611541966309487;2,0258722334592454;0;11,3268114754098;2,92629081967213;1,570358292112941;4,31627770491803;9,514499965120434;0;
34;00:34:00;0;0;0;0;0;0;0;0;0;1,0446129785714628;0;0;0;0;1,2593211322976916;0,9920303297012625;0,18766057674830403;1,9913491783910162;0;0;5,513358898406524;0;0;0,6200848103649689;8,73647333592326;3,6745055661326833;0;0;0;16,944779343150607;0;0;0;0;0;0;0;0;0;0;0;0;1,652027304163786;2,338686292596182;0;0;0;0,5700000000000001;2,7685530070051545;2,0269825090271625;0;11,3268114754098;2,92629081967213;1,5704473344230165;4,31627770491803;9,521458321178534;0;
35;00:35:00;0;0;0;0;0;0;0;0;0;1,048029747651328;0;0;0;0;1,2633461381047715;0,9920976335989411;0,18777686552289047;1,9924311609253276;0;0;5,5166660087694;0;0;0,6205137588513367;8,740830357358492;3,6760385159589353;0;0;0;16,965582930684736;0;0;0;0;0;0;0;0;0;0;0;0;1,65304883676359;2,3397601850073606;0;0;0;0,5700000000000001;2,7795407260192753;2,02820063709602;0;11,3268114754098;2,92629081967213;1,5709349749655999;4,31627770491803;9,541114083731488;0;
36;00:36:00;0;0;0;0;0;0;0;0;0;1,0494304453519046;0;0;0;0;1,265258037745204;0,9921494223869621;0,18781046582627534;1,99408321394094;0;0;5,544689789756943;0;0;0,620578909294059;8,765256259315912;3,6774956997524146;0;0;0;16,967196937792703;0;0;0;0;0;0;0;0;0;0;0;0;1,6534564538574945;2,343179901829072;0;0;0;0,5700000000000001;2,7798892460058173;2,030927810427104;0;11,3268114754098;2,92629081967213;1,5740409489470497;4,31627770491803;9,544605535291787;0;
37;00:37:00;0;0;0;0;0;0;0;0;0;1,050675531127438;0;0;0;0;1,266835049078228;0,9931839118935154;0,1881257562587545;1,9974175144647415;0;0;5,545690723061511;0;0;0,6212766481695666;8,772251148360267;3,68131909682979;0;0;0;16,999389150016235;0;0;0;0;0;0;0;0;0;0;0;0;1,6583712888389477;2,354961823535038;0;0;0;0,5700000000000001;2,7920690915640596;2,0344043647408596;0;11,3268114754098;2,92629081967213;1,5745186529906945;4,31627770491803;9,560954267815436;0;
38;00:38:00;0;0;0;0;0;0;0;0;0;1,051152328804342;0;0;0;0;1,2708794558419125;0,9978968592408902;0,18833356140455645;1,9982150584571887;0;0;5,551857228452082;0;0;0,6224392925821391;8,78230056335584;3,6848015977629434;0;0;0;17,06137845286049;0;0;0;0;0;0;0;0;0;0;0;0;1,6585949151139594;2,357363913899516;0;0;0;0,5700000000000001;2,7975567340204996;2,0379464988680587;0;11,3268114754098;2,92629081967213;1,575474197563616;4,31627770491803;9,570666505597123;0;
39;00:39:00;0;0;0;0;0;0;0;0;0;1,0583959762632422;0;0;0;0;1,2716177115018388;0,9983788523568389;0,18869786133301739;2,0000095320457296;0;0;5,55335601830629;0;0;0,6226303269131903;8,792566042352165;3,6857381007457395;0;0;0;17,066638150694217;0;0;0;0;0;0;0;0;0;0;0;0;1,6587918752555852;2,3602883309000555;0;0;0;0,5700000000000001;2,801776561188687;2,038292700085975;0;11,3268114754098;2,92629081967213;1,5765315558486213;4,31627770491803;9,572265465107028;0;
40;00:40:00;0;0;0;0;0;0;0;0;0;1,0595698714135595;0;0;0;0;1,2723508672224686;1,0000429740066312;0,1890759931263044;2,001066669271841;0;0;5,561443728027436;0;0;0,6232318850340177;8,802349650918726;3,6866839165285845;0;0;0;17,120479549273526;0;0;0;0;0;0;0;0;0;0;0;0;1,6597098501361605;2,364335510362482;0;0;0;0,5700000000000001;2,8044080050117475;2,0413325728183325;0;11,3268114754098;2,92629081967213;1,576990167146805;4,31627770491803;9,575658041777796;0;
41;00:41:00;0;0;0;0;0;0;0;0;0;1,0599165979741227;0;0;0;0;1,2736035667800272;1,0002762852693887;0,18920629385463367;2,0022685548165957;0;0;5,566766557555319;0;0;0,6235299526062521;8,825068602792618;3,6889379691741944;0;0;0;17,158187890779388;0;0;0;0;0;0;0;0;0;0;0;0;1,6623452453015113;2,3650846073683907;0;0;0;0,5700000000000001;2,807043214703799;2,041517737865645;0;11,3268114754098;2,92629081967213;1,5789607643585601;4,31627770491803;9,577961641996295;0;
42;00:42:00;0;0;0;0;0;0;0;0;0;1,0643791570399035;0;0;0;0;1,2751421062655781;1,0006865531574047;0,18947533885491946;2,0035778717501915;0;0;5,569305033050855;0;0;0,623593226061426;8,845522694711583;3,690153675539733;0;0;0;17,215151396494335;0;0;0;0;0;0;0;0;0;0;0;0;1,6627687450328554;2,365554664779981;0;0;0;0,5700000000000001;2,8082565552270595;2,042334970988289;0;11,3268114754098;2,92629081967213;1,580967593201709;4,31627770491803;9,583453302632114;0;
43;00:43:00;0;0;0;0;0;0;0;0;0;1,0661556508098544;0;0;0;0;1,278074766235971;1,0012999150621653;0,1895534620262203;2,0048114261982795;0;0;5,576220311749653;0;0;0,6240463530358695;8,861814089549764;3,6943501954323867;0;0;0;17,220272051860164;0;0;0;0;0;0;0;0;0;0;0;0;1,663166982632493;2,376005025549515;0;0;0;0,5700000000000001;2,8082575317692613;2,0436390957733597;0;11,3268114754098;2,92629081967213;1,5811134687214377;4,31627770491803;9,585361451654094;0;
44;00:44:00;0;0;0;0;0;0;0;0;0;1,0662154208743437;0;0;0;0;1,2788957756868107;1,0015863046509965;0,18957242613760045;2,006240753635686;0;0;5,585775450708822;0;0;0,6242377613600706;8,87106766008498;3,6978579661299715;0;0;0;17,25324548719959;0;0;0;0;0;0;0;0;0;0;0;0;1,6651548127293034;2,3785536343718294;0;0;0;0,5700000000000001;2,8090115507206184;2,045439309925771;0;11,3268114754098;2,92629081967213;1,5820379751278741;4,31627770491803;9,594376300526097;0;
