Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;Energieagentur.NRW Tags;
Epson Stylus Color 860;0,028340728510630454;5,172182953190058;0;0;Computers and Components / Printer / Ink jet printer;Office;
TASKalfa 180;0,3006520454028733;54,86899828602438;0;0;Computers and Components / Computer component / Photocopier;Office;
Router O2 Box 6431;0,7692322242294964;140,3848809218831;0;0;(no category);Office;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,11780211203801423;21,498885446937596;0;0;Computers and Components / Monitor / TFT display;Office;
Laptop / ACER BT.00603.043 Replacement laptop battery;0,5320021747652828;97,09039689466411;0;0;Computers and Components / Computer / Laptop;Office;
Electric Tooth Brush / Phillips HX9332;0,2398767250035939;43,777502313155885;0;0;(no category);Washing;
SAT Receiver / Kathrein UFS913;0,14749070368289008;26,917053422127438;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
TV / Phillips Goya 9770 VT;0,25127881957481535;45,8583845724038;0;0;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
Phone Siemens Gigaset C320;0,33337588955164743;60,841099843175655;0;0;(no category);Office;
CD/DVD Player / Phillips HDR3810/31;0,08778777080192804;16,021268171351867;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;TV/Audio;
Home Cinema System / Samsung HT-D5550;0,21359090247512974;38,98033970171118;0;0;Education and Entertainment equipment / Hifi devices / Home cinema system;TV/Audio;
Hifi System / Sharp XL-HF300PH;0,36066044213144494;65,8205306889887;0;0;Education and Entertainment equipment / Hifi devices / Compact System;TV/Audio;
Smartphone Samung S4;0,05608722938636702;10,23591936301198;0;0;(no category);Office;
Nintendo Wii;0,23187295857439688;42,31681493982743;0;0;Education and Entertainment equipment / Video game console / Nintendo Wii;TV/Audio;
Microsoft Xbox 360;0,4239009865467128;77,3619300447751;0;0;Education and Entertainment equipment / Video game console / Xbox360;TV/Audio;
Kitchen radio / AEG KRC 4323 CD;0,16198292782526552;29,561884328110956;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;TV/Audio;
Electric Razor / Phillips PT860/16 Razor PowerTouch Plus;0,025945654562861596;4,735081957722241;0;0;(no category);Washing;
Sums;39,77501933405456;7258,941028464959;2072
