Apparent.Time;Time span;Living Room Light (200W) [VA];Kitchen Light (300W) [VA];Bathroom Light (60W) [VA];Bathroom Mirror Light 100W (Conventional) [VA];Bedroom Light (60W) [VA];Bedroom Light (20W) [VA];Egg Cooker / Russell Hobbs 14048-56 Stylo [VA];Juicer / Moulinex Vitafruit [VA];Kitchen radio / AEG KRC 4323 CD [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [VA];Coffee Machine / Braun Impression KF 600 [VA];Food Slicer / DOMO Schneidemaschine DO521S [VA];Toaster / Bosch TAT8SL1 [VA];Miele H 5241 B [VA];Handmixer / Phillips Robust HR 1581 [VA];Extractor Hood / Miele DA 429-4 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [VA];Microwave / Panasonic NN-CD757W [VA];Electronic hometrainer / Kettler Track Perfomance [VA];Laptop Lenovo Thinkpad x220 [VA];Washing Machine Samsung P1405J [VA];CD/DVD Player / Philips DVDR 725 H [VA];Home Cinema System / Samsung HT-D5550 [VA];TV Medion MD20123_DE_A [VA];SAT Receiver / Kathrein UFS913 [VA];Hifi System / Sharp XL-HF300PH [VA];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [VA];Energy Saving Lamp / EL-REF 11 E27 [VA];Vacuum Cleaner FiF [VA];Nintendo Wii [VA];Coffee Machine / Braun KF 580E [VA];Electric Kettle / Petra WK288 1.5L [VA];Hair Dryer / Braun Satin Pro 2200 Ion Care [VA];Heater / Honeywell BH-888E [VA];Liebherr CBNPes 3956 [VA];Electric Razor Braun Cruzer 5 [VA];Electric Tooth Brush / Phillips HX9332 [VA];Phone Siemens Gigaset C320 [VA];Router O2 Box 6431 [VA];Yamaha RX-V667 [VA];
30;00:30:00;0;0;0;-25,01977278218771;0;0;0;0;1,0477922212835507;0;0;0;0;0;0;0;0;18,6205695258869;0;7,9;0;0,834792216693396;1,6304598789104547;0,5700000000000001;1,0588382466913193;2,339294758920968;0;0;0;1,5229994106506828;0;0;0;0;0;2,92629081967213;1,5434185207734703;4,31627770491803;11,3268114754098;9,264497869281401;
31;00:31:00;0;0;0;-24,960615303177487;0;0;0;0;1,049290980784791;0;0;0;0;0;0;0;0;18,727991319322875;0;7,9;0;0,8352730882962037;1,6330763427446693;0,5700000000000001;1,060384868495893;2,3396742857793282;0;0;0;1,5242936425735023;0;0;0;0;0;2,92629081967213;1,5450886785212101;4,31627770491803;11,3268114754098;9,276131057378;
32;00:32:00;0;0;0;-24,893817876775646;0;0;0;0;1,052284467725486;0;0;0;0;0;0;0;0;18,769118264835456;0;7,9;0;0,8369051198271629;1,6334563889082003;0,5700000000000001;1,060910866535071;2,344634740797912;0;0;0;1,52660445525883;0;0;0;0;0;2,92629081967213;1,545926627158347;4,31627770491803;11,3268114754098;9,280322578394676;
33;00:33:00;0;0;0;-18,875707916222787;0;0;0;0;1,0561980623787213;0;0;0;0;0;0;0;0;18,775026453114823;0;7,9;0;0,8373324132970832;1,6344255401848604;0,5700000000000001;1,06105352712799;2,3479127504879735;0;0;0;1,5272926941312985;0;0;0;0;0;2,92629081967213;1,5489636208705606;4,31627770491803;11,3268114754098;9,283716975857145;
34;00:34:00;0;0;0;-16,91476181907535;0;0;0;0;1,0564955038845385;0;0;0;0;0;0;0;0;18,778318690322003;0;7,9;0;0,8379653236010411;1,6352049876351973;0,5700000000000001;1,063493046521572;2,349092935334475;0;0;0;1,527446882637433;0;0;0;0;0;2,92629081967213;1,55105065892772;4,31627770491803;11,3268114754098;9,311917741665825;
35;00:35:00;0;0;0;-14,467379948732193;0;0;0;0;1,0574626856567526;0;0;0;0;0;0;0;0;18,779459070031248;0;7,9;0;0,8401011494529058;1,637113683027817;0,5700000000000001;1,0651926376871883;2,3605920968796417;0;0;0;1,53552160513793;0;0;0;0;0;2,92629081967213;1,5554902041709542;4,31627770491803;11,3268114754098;9,325028933148337;
36;00:36:00;0;0;0;-14,409356769636618;0;0;0;0;1,0584520434972062;0;0;0;0;0;0;0;0;18,788830617521313;0;7,9;0;0,8403294591099083;1,6381092347548;0,5700000000000001;1,0661516656759409;2,362949639442082;0;0;0;1,5374578129013483;0;0;0;0;0;2,92629081967213;1,5578694236618877;4,31627770491803;11,3268114754098;9,326597631739753;
37;00:37:00;0;0;0;-13,157940098764279;0;0;0;0;1,0594196563127996;0;0;0;0;0;0;0;0;18,808351384716058;0;7,9;0;0,8410714306382359;1,6432444861516027;0,5700000000000001;1,0673142483772733;2,3631216737699217;0;0;0;1,5378455693909079;0;0;0;0;0;2,92629081967213;1,5578866277331662;4,31627770491803;11,3268114754098;9,353432314936555;
38;00:38:00;0;0;0;-12,951574669994065;0;0;0;0;1,0598051446357282;0;0;0;0;0;0;0;0;18,817232089261772;0;7,9;0;0,8418639330445525;1,6438579721270135;0,5700000000000001;1,0686653443051435;2,36350998411122;0;0;0;1,5433790353231114;0;0;0;0;0;2,92629081967213;1,558441749942948;4,31627770491803;11,3268114754098;9,355423944949791;
39;00:39:00;0;0;0;-11,84684946406897;0;0;0;0;1,0617495510761679;0;0;0;0;0;0;0;0;18,85242678791175;0;7,9;0;0,8419494861764457;1,6444459305642973;0,5700000000000001;1,0696180272697302;2,3649931331768954;0;0;0;1,5477166405435585;0;0;0;0;0;2,92629081967213;1,5589241310064723;4,31627770491803;11,3268114754098;9,38570363955882;
40;00:40:00;0;0;0;-10,287135619859303;0;0;0;0;1,0632877178610949;0;0;0;0;0;0;0;0;18,86634553437777;0;7,9;0;0,8422816863125621;1,6474423661308633;0,5700000000000001;1,0701453027374213;2,3689363308259828;0;0;0;1,5480170583795547;0;0;0;0;0;2,92629081967213;1,5636509683008581;4,31627770491803;11,3268114754098;9,386713187726544;
41;00:41:00;0;0;0;-10,250372898183256;0;0;0;0;1,0634480827425437;0;0;0;0;0;0;0;0;18,91085852712678;0;7,9;0;0,8423139448839323;1,6476354176785764;0,5700000000000001;1,070535463032612;2,371151539824837;0;0;0;1,5484789556686054;0;0;0;0;0;2,92629081967213;1,5649327354217273;4,31627770491803;11,3268114754098;9,390887943534542;
42;00:42:00;0;0;0;-9,330633109228133;0;0;0;0;1,0642617644704184;0;0;0;0;0;0;0;0;18,916471220479124;0;7,9;0;0,8462667331622344;1,649106753111286;0,5700000000000001;1,072135396838954;2,3790573079907085;0;0;0;1,5530867705625182;0;0;0;0;0;2,92629081967213;1,5666936746699993;4,31627770491803;11,3268114754098;9,416071525270306;
43;00:43:00;0;0;0;-8,42561776846838;0;0;0;0;1,064515743508148;0;0;0;0;0;0;0;0;18,95010759574068;0;7,9;0;0,846460186004026;1,6503748302128796;0,5700000000000001;1,0741805845992287;2,3806636211688756;0;0;0;1,5537848618121008;0;0;0;0;0;2,92629081967213;1,5683521848205586;4,31627770491803;11,3268114754098;9,428524579321495;
44;00:44:00;0;0;0;-6,908225814146302;0;0;0;0;1,065994684209741;0;0;0;0;0;0;0;0;18,98959772047898;0;7,9;0;0,8504657965699418;1,651430714214542;0,5700000000000001;1,074453472483114;2,3812830966713583;0;0;0;1,55542105490097;0;0;0;0;0;2,92629081967213;1,5718072710876645;4,31627770491803;11,3268114754098;9,430733383541886;
45;00:45:00;0;0;0;-6,084544766639964;0;0;0;0;1,066075476010601;0;0;0;0;0;0;0;0;19,043891108503193;0;7,9;0;0,8513454145826775;1,654143917464254;0,5700000000000001;1,0752900830170173;2,382517637858674;0;0;0;1,5575225339889147;0;0;0;0;0;2,92629081967213;1,5739711244300394;4,31627770491803;11,3268114754098;9,43197660681437;
46;00:46:00;0;0;0;-5,94225104019158;0;0;0;0;1,066271756271053;0;0;0;0;0;0;0;0;19,043963654989497;0;7,9;0;0,8541404772218654;1,6546270575890119;0,5700000000000001;1,0784799345298224;2,3838295917326;0;0;0;1,5576814602809208;0;0;0;0;0;2,92629081967213;1,5767823474898328;4,31627770491803;11,3268114754098;9,454744003937918;
47;00:47:00;0;0;0;-5,153588544559882;0;0;0;0;1,0676862836703522;0;0;0;0;0;0;0;0;19,050488691944928;0;7,9;0;0,8542083569132854;1,65497212559551;0,5700000000000001;1,0785482196918197;2,3838818414249205;0;0;0;1,5584250163994091;0;0;0;0;0;2,92629081967213;1,5768201723627833;4,31627770491803;11,3268114754098;9,455955508408696;
48;00:48:00;0;0;0;-4,564190014601412;0;0;0;0;1,0681812847420211;0;0;0;0;0;0;0;0;19,079736107341834;0;7,9;0;0,8557733413610376;1,6599481053507659;0,5700000000000001;1,0793494488096658;2,3849790662392603;0;0;0;1,5586355824445346;0;0;0;0;0;2,92629081967213;1,5769880023941787;4,31627770491803;11,3268114754098;9,459667040746634;
49;00:49:00;0;0;0;-3,525129013965862;0;0;0;0;1,0700046065198001;0;0;0;0;0;0;0;0;19,11797114443774;0;7,9;0;0,856471372430551;1,6623338434007637;0,5700000000000001;1,080038820710047;2,385810093703974;0;0;0;1,559260073162562;0;0;0;0;0;2,92629081967213;1,5790849353175083;4,31627770491803;11,3268114754098;9,463787923452816;
50;00:50:00;0;0;0;-2,326239885828702;0;0;0;0;1,0706394742240173;0;0;0;0;0;0;0;0;19,12413275364237;0;7,9;0;0,8580249229365082;1,6662653543190844;0,5700000000000001;1,0803661447119262;2,386443768870466;0;0;0;1,55972663132093;0;0;0;0;0;2,92629081967213;1,5824332528066118;4,31627770491803;11,3268114754098;9,484788405251688;
51;00:51:00;0;0;0;-2,128864352753513;0;0;0;0;1,073153652240015;0;0;0;0;0;0;0;0;19,154898959256485;0;7,9;0;0,8590940609008577;1,6671234393521601;0,5700000000000001;1,080826287863406;2,386557635806889;0;0;0;1,5618811538284665;0;0;0;0;0;2,92629081967213;1,583301766121746;4,31627770491803;11,3268114754098;9,49960919428181;
52;00:52:00;0;0;0;-2,1286704736054087;0;0;0;0;1,0732083324488033;0;0;0;0;0;0;0;0;19,213616502829158;0;7,9;0;0,8591739588611526;1,669780242937135;0,5700000000000001;1,0811311857525696;2,3866405165405853;0;0;0;1,5631623184530685;0;0;0;0;0;2,92629081967213;1,5838408975022364;4,31627770491803;11,3268114754098;9,501486335116313;
53;00:53:00;0;0;0;-1,037232217940539;0;0;0;0;1,073732399505329;0;0;0;0;0;0;0;0;19,25859334772323;0;7,9;0;0,8594108005405763;1,6707328250012305;0,5700000000000001;1,081631107957408;2,3868738877255287;0;0;0;1,5639184529286927;0;0;0;0;0;2,92629081967213;1,585759501538107;4,31627770491803;11,3268114754098;9,52895317622162;
54;00:54:00;0;0;0;-0,4019084198851886;0;0;0;0;1,075988831822377;0;0;0;0;0;0;0;0;19,268451742223856;0;7,9;0;0,861143454955776;1,6711497538270896;0,5700000000000001;1,0845108206485152;2,387793329497679;0;0;0;1,564828801485535;0;0;0;0;0;2,92629081967213;1,586681832397202;4,31627770491803;11,3268114754098;9,53378706944127;
55;00:55:00;0;0;0;0;0;0;0;0;1,0772012951896062;0;0;0;0;0;0;0;0;19,29732300496356;0;7,9;0;0,8634071901454483;1,672285285085986;0,5700000000000001;1,0851498395075243;2,389987473340192;0;0;0;1,5673562115896977;0;0;0;0;0;2,92629081967213;1,5870764517627298;4,31627770491803;11,3268114754098;9,545364791987003;
56;00:56:00;0;0;0;0;0;0;0;0;1,0780773874419671;0;0;0;0;0;0;0;0;19,321945895084315;0;7,9;0;0,863633383700929;1,6770509918129008;0,5700000000000001;1,0879335856144359;2,390325410370709;0;0;0;1,5676292233559546;0;0;0;0;0;2,92629081967213;1,590840687069263;4,31627770491803;11,3268114754098;9,547627341902391;
57;00:57:00;0;0;0;0;0;0;0;0;1,0784183258392404;0;0;0;0;0;0;0;0;19,327127809797314;0;7,9;0;0,8645506763517304;1,6772695069228187;0,5700000000000001;1,0879399491114854;2,3911225796506317;0;0;0;1,5679101446126062;0;0;0;0;0;2,92629081967213;1,5916236036403002;4,31627770491803;11,3268114754098;9,552413966220865;
58;00:58:00;0;0;0;0;0;0;0;0;1,0790929281337915;0;0;0;0;0;0;0;0;19,385547615942087;0;7,9;0;0,8649168333242688;1,6801856081567432;0,5700000000000001;1,089039314834656;2,394088531841882;0;0;0;1,5695291693871123;0;0;0;0;0;2,92629081967213;1,5920221490365714;4,31627770491803;11,3268114754098;9,55274948264751;
59;00:59:00;0;0;0;0;0;0;0;0;1,0815860629303093;0;0;0;0;0;0;0;0;19,3866210992695;0;7,9;0;0,8649465216711931;1,6813154701390693;0,5700000000000001;1,0891631577960734;2,394925832882879;0;0;0;1,5696820580209656;0;0;0;0;0;2,92629081967213;1,5922424037962206;4,31627770491803;11,3268114754098;9,570577668285507;
60;01:00:00;0;0;0;0;0;0;0;0;1,082033383442558;0;0;0;0;0;0;0;0;19,405088408185666;0;7,9;0;0,8651897975405948;1,6815611707104903;0,5700000000000001;1,0892790897915536;2,3949914711168154;0;0;0;1,5697075696998062;0;0;0;0;0;2,92629081967213;1,5924089150404332;4,31627770491803;11,3268114754098;9,582167313628236;
61;01:01:00;0;0;0;0;0;0;0;0;1,0822651188456849;0;0;0;0;0;0;0;0;19,462690392412743;0;7,9;0;0,86719077371322;1,6834211058277095;0,5700000000000001;1,0898082883163158;2,396828838933729;0;0;0;1,57192407324588;0;0;0;0;0;2,92629081967213;1,5953901257628533;4,31627770491803;11,3268114754098;9,58318882414234;
62;01:02:00;0;0;0;0;0;0;0;0;1,0831660185586969;0;0;0;0;0;0;0;0;19,477699257707716;0;7,9;0;0,8678956989376369;1,6841017027261813;0,5700000000000001;1,0923723208293354;2,397278849769447;0;0;0;1,5728901654139102;0;0;0;0;0;2,92629081967213;1,5957138293956146;4,31627770491803;11,3268114754098;9,585814876526586;
63;01:03:00;0;0;0;0;0;0;0;0;1,0837653259153965;0;0;0;0;0;0;0;0;19,483030534273297;0;7,9;0;0,8683633977350141;1,6868772121904232;0,5700000000000001;1,0929684881989437;2,398345747986952;0;0;0;1,57327396297309;0;0;0;0;0;2,92629081967213;1,5966320471207993;4,31627770491803;11,5550442622951;9,601550318970034;
64;01:04:00;0;0;0;0;0;0;0;0;1,085303967186773;0;0;0;0;0;0;0;0;19,520735153686122;0;7,9;0;0,8688979166953205;1,6874082251040847;0,5700000000000001;1,0938448275686776;2,399692847784272;0;0;0;1,5799172606781966;0;0;0;0;0;2,92629081967213;1,5973614825200542;4,31627770491803;11,5550442622951;9,60529680587186;
65;01:05:00;0;0;0;0;0;0;0;0;1,0855532832872592;0;0;0;0;0;0;0;0;19,52764754088495;0;7,9;0;0,8698564228838774;1,6874327258682926;0,5700000000000001;1,0958262203824713;2,402561713182256;0;0;0;1,580387720523156;0;0;0;0;0;2,92629081967213;1,6009945212251282;4,31627770491803;11,5550442622951;9,614400197869653;
66;01:06:00;0;0;0;0;0;0;0;0;1,0861908554851183;0;0;0;0;0;0;0;0;19,53893175318618;0;7,9;0;0,870013425404032;1,6919583661518713;0,5700000000000001;1,096513454051991;2,4094443792496416;0;0;0;1,5812202615409767;0;0;0;0;0;2,92629081967213;1,6039559065725038;4,31627770491803;11,5550442622951;9,622112241245965;
