Device;Load Type;Profile;Number of Activations
Coffee Machine / Braun Impression KF 600;Apparent;0 h 10 min 100% [Synthetic];12
Coffee Machine / Braun Impression KF 600;Electricity;0 h 10 min 100% [Synthetic];12
Coffee Machine / Braun Impression KF 600;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];12
Coffee Machine / Braun Impression KF 600;Reactive;0 h 10 min 100% [Synthetic];12
Couch;None;01 h 0 min 100% [Synthetic];5
Couch;None;02 h 0 min 100% [Synthetic];12
Desk;None;01 h 0 min 100% [Synthetic];12
Desk 2;None;0 h 30 min 100% [Synthetic];3
Egg Cooker / Russell Hobbs 14048-56 Stylo;Apparent;0 h 05 min 100% [Synthetic];12
Egg Cooker / Russell Hobbs 14048-56 Stylo;Electricity;0 h 05 min 100% [Synthetic];12
Egg Cooker / Russell Hobbs 14048-56 Stylo;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];12
Egg Cooker / Russell Hobbs 14048-56 Stylo;Reactive;0 h 05 min 100% [Synthetic];12
Electric Razor Braun Cruzer 5;Apparent;Profile for Electric Razor Braun Cruzer 5 Apparent [Measurement by ZSW (1min)];91
Electric Razor Braun Cruzer 5;Electricity;Profile for Electric Razor Braun Cruzer 5 Electricity [Measurement by ZSW (1min)];91
Electric Razor Braun Cruzer 5;Inner Device Heat Gains;Profile for Electric Razor Braun Cruzer 5 Electricity [Measurement by ZSW (1min)];91
Electric Razor Braun Cruzer 5;Reactive;Profile for Electric Razor Braun Cruzer 5 Reactive [Measurement by ZSW (1min)];91
Electric Tooth Brush / Phillips HX9332;Apparent;01 h 0 min 100% [Synthetic];121
Electric Tooth Brush / Phillips HX9332;Electricity;01 h 0 min 100% [Synthetic];121
Electric Tooth Brush / Phillips HX9332;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];121
Electric Tooth Brush / Phillips HX9332;Reactive;01 h 0 min 100% [Synthetic];121
Electronic hometrainer / Kettler Track Perfomance;Apparent;0 h 30 min 100% [Synthetic];1
Electronic hometrainer / Kettler Track Perfomance;Electricity;0 h 30 min 100% [Synthetic];1
Electronic hometrainer / Kettler Track Perfomance;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];1
Electronic hometrainer / Kettler Track Perfomance;Reactive;0 h 30 min 100% [Synthetic];1
Extractor Hood / Miele DA 429-4;Apparent;Cooking profile I 15 min [Synthetic];2
Extractor Hood / Miele DA 429-4;Electricity;Cooking profile I 15 min [Synthetic];2
Extractor Hood / Miele DA 429-4;Inner Device Heat Gains;Cooking profile I 15 min [Synthetic];2
Extractor Hood / Miele DA 429-4;Reactive;Cooking profile I 15 min [Synthetic];2
Food Slicer / DOMO Schneidemaschine DO521S;Apparent;0 h 01 min 100% [Synthetic];12
Food Slicer / DOMO Schneidemaschine DO521S;Electricity;0 h 01 min 100% [Synthetic];12
Food Slicer / DOMO Schneidemaschine DO521S;Inner Device Heat Gains;0 h 01 min 100% [Synthetic];12
Food Slicer / DOMO Schneidemaschine DO521S;Reactive;0 h 01 min 100% [Synthetic];12
Hair Dryer / Braun Satin Pro 2200 Ion Care;Apparent;0 h 20 min 100% [Synthetic];4
Hair Dryer / Braun Satin Pro 2200 Ion Care;Electricity;0 h 20 min 100% [Synthetic];4
Hair Dryer / Braun Satin Pro 2200 Ion Care;Inner Device Heat Gains;0 h 20 min 100% [Synthetic];4
Hair Dryer / Braun Satin Pro 2200 Ion Care;Reactive;0 h 20 min 100% [Synthetic];4
Handmixer / Phillips Robust HR 1581;Apparent;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Electricity;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Reactive;0 h 05 min 100% [Synthetic];1
Heater / Honeywell BH-888E;Apparent;01 h 0 min 100% [Synthetic];2
Heater / Honeywell BH-888E;Electricity;01 h 0 min 100% [Synthetic];2
Heater / Honeywell BH-888E;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];2
Heater / Honeywell BH-888E;Reactive;01 h 0 min 100% [Synthetic];2
Hifi System / Sharp XL-HF300PH;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
Hifi System / Sharp XL-HF300PH;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
Hifi System / Sharp XL-HF300PH;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
Hifi System / Sharp XL-HF300PH;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
Home Cinema System / Samsung HT-D5550;Apparent;01 h 30 min 100% [Synthetic];2
Home Cinema System / Samsung HT-D5550;Apparent;02 h 0 min 20% [Synthetic];5
Home Cinema System / Samsung HT-D5550;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Home Cinema System / Samsung HT-D5550;Electricity;01 h 30 min 100% [Synthetic];2
Home Cinema System / Samsung HT-D5550;Electricity;02 h 0 min 20% [Synthetic];5
Home Cinema System / Samsung HT-D5550;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Home Cinema System / Samsung HT-D5550;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];2
Home Cinema System / Samsung HT-D5550;Inner Device Heat Gains;02 h 0 min 20% [Synthetic];5
Home Cinema System / Samsung HT-D5550;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Home Cinema System / Samsung HT-D5550;Reactive;01 h 30 min 100% [Synthetic];2
Home Cinema System / Samsung HT-D5550;Reactive;02 h 0 min 20% [Synthetic];5
Home Cinema System / Samsung HT-D5550;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Juicer / Moulinex Vitafruit;Apparent;0 h 10 min 100% [Synthetic];12
Juicer / Moulinex Vitafruit;Electricity;0 h 10 min 100% [Synthetic];12
Juicer / Moulinex Vitafruit;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];12
Juicer / Moulinex Vitafruit;Reactive;0 h 10 min 100% [Synthetic];12
Kitchen Light (300W);Apparent;Kitchen - light [Synthetic for Light Device];18
Kitchen Light (300W);Electricity;Kitchen - light [Synthetic for Light Device];18
Kitchen Light (300W);Inner Device Heat Gains;Kitchen - light [Synthetic for Light Device];18
Kitchen Light (300W);Reactive;Kitchen - light [Synthetic for Light Device];18
Kitchen Sink (7.5L/min);Cold Water;0 h 01 min 100% [Synthetic];2
Kitchen Sink (7.5L/min);Warm Water;0 h 01 min 100% [Synthetic];2
Kitchen Sink (7.5L/min);Warm Water;0 h 01 min 25% [unknown];41
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Apparent;0 h 10 min 100% [Synthetic];6
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Apparent;Cooking profile I 15 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Apparent;Cooking profile II 40 min [Synthetic];12
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Electricity;0 h 10 min 100% [Synthetic];6
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Electricity;Cooking profile I 15 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Electricity;Cooking profile II 40 min [Synthetic];12
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];6
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Inner Device Heat Gains;Cooking profile I 15 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Inner Device Heat Gains;Cooking profile II 40 min [Synthetic];12
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Reactive;0 h 10 min 100% [Synthetic];6
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Reactive;Cooking profile I 15 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Reactive;Cooking profile II 40 min [Synthetic];12
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv;Apparent;0 h 10 min 100% [Synthetic];5
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv;Electricity;0 h 10 min 100% [Synthetic];5
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];5
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv;Reactive;0 h 10 min 100% [Synthetic];5
Kitchen radio / AEG KRC 4323 CD;Apparent;0 h 30 min 100% [Synthetic];2
Kitchen radio / AEG KRC 4323 CD;Apparent;01 h 0 min 100% [Synthetic];12
Kitchen radio / AEG KRC 4323 CD;Apparent;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Kitchen radio / AEG KRC 4323 CD;Electricity;0 h 30 min 100% [Synthetic];2
Kitchen radio / AEG KRC 4323 CD;Electricity;01 h 0 min 100% [Synthetic];12
Kitchen radio / AEG KRC 4323 CD;Electricity;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];2
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];12
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Kitchen radio / AEG KRC 4323 CD;Reactive;0 h 30 min 100% [Synthetic];2
Kitchen radio / AEG KRC 4323 CD;Reactive;01 h 0 min 100% [Synthetic];12
Kitchen radio / AEG KRC 4323 CD;Reactive;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Laptop Lenovo Thinkpad x220;Apparent;01 h 0 min 100% [Synthetic];13
Laptop Lenovo Thinkpad x220;Apparent;01 h 30 min 100% [Synthetic];11
Laptop Lenovo Thinkpad x220;Apparent;Profile for ThinkPad x220 Apparent [Measured 1 min Resolution (TUC)];16
Laptop Lenovo Thinkpad x220;Apparent;Standby Generic 1h 0 min 10% [Synthetic];122
Laptop Lenovo Thinkpad x220;Electricity;01 h 0 min 100% [Synthetic];13
Laptop Lenovo Thinkpad x220;Electricity;01 h 30 min 100% [Synthetic];11
Laptop Lenovo Thinkpad x220;Electricity;Profile for ThinkPad x220 Electricity [Measured 1 min Resolution (TUC)];16
Laptop Lenovo Thinkpad x220;Electricity;Standby Generic 1h 0 min 10% [Synthetic];122
Laptop Lenovo Thinkpad x220;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];13
Laptop Lenovo Thinkpad x220;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];11
Laptop Lenovo Thinkpad x220;Inner Device Heat Gains;Profile for ThinkPad x220 Electricity [Measured 1 min Resolution (TUC)];16
Laptop Lenovo Thinkpad x220;Inner Device Heat Gains;Standby Generic 1h 0 min 10% [Synthetic];122
Laptop Lenovo Thinkpad x220;Reactive;01 h 0 min 100% [Synthetic];13
Laptop Lenovo Thinkpad x220;Reactive;01 h 30 min 100% [Synthetic];11
Laptop Lenovo Thinkpad x220;Reactive;Profile for ThinkPad x220 Electricity [Measured 1 min Resolution (TUC)];16
Laptop Lenovo Thinkpad x220;Reactive;Standby Generic 1h 0 min 10% [Synthetic];122
Liebherr CBNPes 3956;Apparent;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Liebherr CBNPes 3956;Electricity;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Liebherr CBNPes 3956;Inner Device Heat Gains;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Liebherr CBNPes 3956;Reactive;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Living Room Light (200W);Apparent;Living room - light [Synthetic for Light Device];24
Living Room Light (200W);Electricity;Living room - light [Synthetic for Light Device];24
Living Room Light (200W);Inner Device Heat Gains;Living room - light [Synthetic for Light Device];24
Living Room Light (200W);Reactive;Living room - light [Synthetic for Light Device];24
Microwave / Panasonic NN-CD757W;Apparent;0 h 10 min 100% [Synthetic];5
Microwave / Panasonic NN-CD757W;Apparent;Standby Generic 01 h 0 min 1% [Synthetic];121
Microwave / Panasonic NN-CD757W;Electricity;0 h 10 min 100% [Synthetic];5
Microwave / Panasonic NN-CD757W;Electricity;Standby Generic 01 h 0 min 1% [Synthetic];121
Microwave / Panasonic NN-CD757W;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];5
Microwave / Panasonic NN-CD757W;Inner Device Heat Gains;Standby Generic 01 h 0 min 1% [Synthetic];121
Microwave / Panasonic NN-CD757W;Reactive;0 h 10 min 100% [Synthetic];5
Microwave / Panasonic NN-CD757W;Reactive;Standby Generic 01 h 0 min 1% [Synthetic];121
Miele H 5241 B;Apparent;Backing profile I 20 min [Synthetic];5
Miele H 5241 B;Apparent;Backing profile II 30 min [Synthetic];1
Miele H 5241 B;Electricity;Backing profile I 20 min [Synthetic];5
Miele H 5241 B;Electricity;Backing profile II 30 min [Synthetic];1
Miele H 5241 B;Inner Device Heat Gains;Backing profile I 20 min [Synthetic];5
Miele H 5241 B;Inner Device Heat Gains;Backing profile II 30 min [Synthetic];1
Miele H 5241 B;Reactive;Backing profile I 20 min [Synthetic];5
Miele H 5241 B;Reactive;Backing profile II 30 min [Synthetic];1
Nintendo Wii;Apparent;01 h 0 min 100% [Synthetic];2
Nintendo Wii;Apparent;Standby Wii 01 h 0 min 12% [Synthetic];119
Nintendo Wii;Electricity;01 h 0 min 100% [Synthetic];2
Nintendo Wii;Electricity;Standby Wii 01 h 0 min 12% [Synthetic];119
Nintendo Wii;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];2
Nintendo Wii;Inner Device Heat Gains;Standby Wii 01 h 0 min 12% [Synthetic];119
Nintendo Wii;Reactive;01 h 0 min 100% [Synthetic];2
Nintendo Wii;Reactive;Standby Wii 01 h 0 min 12% [Synthetic];119
Part time jobber;None;03 h 0 min 100 % [Synthetic];1
Phone Siemens Gigaset C320;Apparent;Profile for Phone Siemens Gigaset C320 Apparent [Measurement by ZSW (1min)];122
Phone Siemens Gigaset C320;Electricity;Profile for Phone Siemens Gigaset C320 Electricity [Measurement by ZSW (1min)];122
Phone Siemens Gigaset C320;Inner Device Heat Gains;Profile for Phone Siemens Gigaset C320 Electricity [Measurement by ZSW (1min)];122
Phone Siemens Gigaset C320;Reactive;Profile for Phone Siemens Gigaset C320 Reactive [Measurement by ZSW (1min)];122
Router O2 Box 6431;Apparent;Profile for Router O2 Box 6431 Apparent [Measurement by ZSW (1min)];124
Router O2 Box 6431;Electricity;Profile for Router O2 Box 6431 Electricity [Measurement by ZSW (1min)];124
Router O2 Box 6431;Inner Device Heat Gains;Profile for Router O2 Box 6431 Electricity [Measurement by ZSW (1min)];124
Router O2 Box 6431;Reactive;Profile for Router O2 Box 6431 Reactive [Measurement by ZSW (1min)];124
SAT Receiver / Kathrein UFS913;Apparent;0 h 15 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Apparent;01 h 0 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Apparent;02 h 0 min 100% [Synthetic];5
SAT Receiver / Kathrein UFS913;Apparent;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];118
SAT Receiver / Kathrein UFS913;Electricity;0 h 15 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Electricity;01 h 0 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Electricity;02 h 0 min 100% [Synthetic];5
SAT Receiver / Kathrein UFS913;Electricity;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];118
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;0 h 15 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];5
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];118
SAT Receiver / Kathrein UFS913;Reactive;0 h 15 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Reactive;01 h 0 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Reactive;02 h 0 min 100% [Synthetic];5
SAT Receiver / Kathrein UFS913;Reactive;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];118
Shower 10 L/min;Warm Water;Shower Profile for Men 9 min [Synthetic];5
Shower 10 L/min;Warm Water;Shower Profile for Women 14 min [Synthetic];10
Singing School;None;02 h 0 min 100% [Synthetic];2
Student (engineering);None;0 h 01 min 100% [Synthetic];3
Student philosophy;None;0 h 01 min 100% [Synthetic];4
Supermarket;None;01 h 30 min 100% [Synthetic];3
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A 1,5h Apparent [Measurement by ZSW (1min)];2
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A 15 min Apparent [Measurement by ZSW (1min)];1
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A 2h Apparent [Measurement by ZSW (1min)];5
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A Apparent [Measurement by ZSW (1min)];3
TV Medion MD20123_DE_A;Apparent;Standby Generic 01 h 0 min 1% [Synthetic];121
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A 1,5h Electricity [Measurement by ZSW (1min)];2
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A 15 min Electricity [Measurement by ZSW (1min)];1
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A 2h Electricity [Measurement by ZSW (1min)];5
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A Electricity [Measurement by ZSW (1min)];3
TV Medion MD20123_DE_A;Electricity;Standby Generic 01 h 0 min 1% [Synthetic];121
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A 1,5h Electricity [Measurement by ZSW (1min)];2
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A 15 min Electricity [Measurement by ZSW (1min)];1
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A 2h Electricity [Measurement by ZSW (1min)];5
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A Electricity [Measurement by ZSW (1min)];3
TV Medion MD20123_DE_A;Inner Device Heat Gains;Standby Generic 01 h 0 min 1% [Synthetic];121
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A 1,5h Reactive [Measurement by ZSW (1min)];2
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A 15 min Reactive [Measurement by ZSW (1min)];1
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A 2h Reactive [Measurement by ZSW (1min)];5
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A Reactive [Measurement by ZSW (1min)];3
TV Medion MD20123_DE_A;Reactive;Standby Generic 01 h 0 min 1% [Synthetic];121
Toaster / Bosch TAT8SL1;Apparent;0 h 01 min 100% [Synthetic];12
Toaster / Bosch TAT8SL1;Electricity;0 h 01 min 100% [Synthetic];12
Toaster / Bosch TAT8SL1;Inner Device Heat Gains;0 h 01 min 100% [Synthetic];12
Toaster / Bosch TAT8SL1;Reactive;0 h 01 min 100% [Synthetic];12
Toilet 6 L/min;Cold Water;0 h 01 min 100% [Synthetic];29
Washing Machine Samsung P1405J;Apparent;Profile for Washing Machine Samsung P1405J Apparent [Measured 1 min Resolution (TUC)];2
Washing Machine Samsung P1405J;Cold Water;0 h 10 min 100% [Synthetic];2
Washing Machine Samsung P1405J;Electricity;Profile for Washing Machine Samsung P1405J Electricity [Measured 1 min Resolution (TUC)];2
Washing Machine Samsung P1405J;Inner Device Heat Gains;Profile for Washing Machine Samsung P1405J Electricity [Measured 1 min Resolution (TUC)];2
Washing Machine Samsung P1405J;Reactive;Profile for Washing Machine Samsung P1405J Electricity [Measured 1 min Resolution (TUC)];2
Yamaha RX-V667;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Yamaha RX-V667;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Yamaha RX-V667;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Yamaha RX-V667;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
