Apparent.Time;Time span;Bathroom Light (20W) [VA];Bathroom Mirror Light 100W (Conventional) [VA];Kitchen Light (60W) [VA];Living Room Light (Energy Saving Lamp, 20W) [VA];Bedroom Light (200W) [VA];Toaster / Bosch TAT8SL1 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [VA];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [VA];Westinghouse Fanaway [VA];Clatronic MS 3249 Milk Foamer [VA];Nespresso Coffee Machine, Single Cup [VA];PC / Acer Aspire M3640 [VA];PC Monitor / Fujitsu Siemens Scaleoview H19-1 [VA];Epson Stylus Color 860 [VA];TASKalfa 180 [VA];Canon CanoScan LIDE 110 [VA];External Harddrive Iomega 3.5" [VA];Extractor Hood / Miele DA 429-4 [VA];Kitchen radio / AEG KRC 4323 CD [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [VA];Microwave / Panasonic NN 5259 [VA];Oven / AEG B 33512-5-M [VA];Miele DA 61 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [VA];Bauknecht GTM 2511 [VA];Dehumidifier / Trotec TTK 50 S [VA];Dishwasher Whirlpool 45cm from Ikea [VA];Miele T 495 C [VA];Electronic hometrainer / Kettler Track Perfomance [VA];Coffee Machine / Braun Impression KF 600 [VA];Electric Kettle / Petra WK288 1.5L [VA];Washing Machine AEG Lavamat 54610 [VA];Tectro TP 020 [VA];Sony PlayStation 3 [VA];TV Samsung LED UE40 B7090 [VA];Osram Light Bulb Classic A 60W [VA];CD/DVD Player / Phillips CD 380 [VA];SAT Receiver / Kathrein UFS913 [VA];Siemens VS 91143 S Super 911 [VA];Siemens Kl 20 LA 65 (A+) [VA];Router O2 Box 6431 [VA];Electric Razor / Phillips PT860/16 Razor PowerTouch Plus [VA];Electric Toothbrush Dondodent Professional Clean [VA];Smartphone Samung S4 [VA];Yamaha RX-V667 [VA];
10;00:10:00;0;-58,637010959675024;0;0;0;0;0;0;0;0;0;3,985252293378839;1,1163847000126281;0,17655814308994305;1,8766907007942535;0;0;0;1,018706895081055;0;8,585977832347039;0;0;0;0;0;0;0;0;0;0;0;0;3,4140457227377885;2,5;0;0,6655063045940778;1,0144252598320487;0;0;11,3268114754098;0,1589479227091181;4,01463278688525;0;8,812246202489654;
11;00:11:00;0;-57,72635971609292;0;0;0;0;0;0;0;0;0;4,0147118605909435;1,1235396764698196;0,1770605939471578;1,8819463448767615;0;0;0;1,019514556366916;0;8,677915845029;0;0;0;0;0;0;0;0;0;0;0;0;3,4354637477227863;2,5;0;0,6658670376097363;1,0163327854663893;0;0;11,3268114754098;0,15939536546613653;4,01463278688525;0;8,8670238351582;
12;00:12:00;0;-56,04604513708306;0;0;0;0;0;0;0;0;0;4,015719566003359;1,1273313577191446;0,1772538060761885;1,8907556576865634;0;0;0;1,0197806442347699;0;8,684734152773492;0;0;0;0;0;0;0;0;0;0;0;0;3,4488267746181114;2,5;0;0,6666483666582276;1,018752780814162;0;0;11,3268114754098;0,1595108129405409;4,01463278688525;0;8,879696936409076;
13;00:13:00;0;-51,934083260106846;0;0;0;0;0;0;0;0;0;4,016910351404924;1,1274225410794068;0,180503571721307;1,9035984331688276;0;0;0;1,0235796688999834;0;8,688528185750936;0;0;0;0;0;0;0;0;0;0;0;0;3,456864401541676;2,5;0;0,6749450227140393;1,0282909656327146;0;0;11,3268114754098;0,15974261866195535;4,01463278688525;0;8,894367899098375;
14;00:14:00;0;-29,082128320477583;0;0;0;0;0;0;0;0;0;4,036255409126651;1,1281608667762555;0,18108449964780612;1,914311203382313;0;0;0;1,0242955534682356;0;8,76018936592589;0;0;0;0;0;0;0;0;0;0;0;0;3,464217016678774;2,5;0;0,6756469414411589;1,0304501904681223;0;0;11,3268114754098;0,1600606789646133;4,01463278688525;0;8,905218054165145;
15;00:15:00;0;-28,401268958524557;0;0;0;0;0;0;0;0;0;4,038001293483483;1,1325689721964698;0,1817021450604672;1,915494755217788;0;0;0;1,027782669423814;0;8,765506494880835;0;0;0;0;0;0;0;0;0;0;0;0;3,4721373564687137;2,5;0;0,679176546908786;1,032311799029143;0;0;11,3268114754098;0,16034486081550628;4,01463278688525;0;8,963631791119743;
16;00:16:00;0;-27,66759751793017;0;0;0;0;0;0;0;0;0;4,040495828859863;1,1336815658625474;0,18206346152987504;1,9177575427823907;0;0;0;1,0328951337621928;0;8,799040803124724;0;0;0;0;0;0;0;0;0;0;0;0;3,4796350898701545;2,5;0;0,6802520621119343;1,03265526250942;0;0;11,3268114754098;0,16290026673104632;4,01463278688525;0;8,968681771402986;
17;00:17:00;0;-27,54526116258693;0;0;0;0;0;0;0;0;0;4,0406138589863385;1,1417069568610168;0,18292854699485164;1,9246830624806262;0;0;0;1,0362910759502246;0;8,81083863995995;0;0;0;0;0;0;0;0;0;0;0;0;3,4829550854953406;2,5;0;0,682298593232637;1,0332964740887882;0;0;11,3268114754098;0,16291508809324243;4,01463278688525;0;8,970346475720762;
18;00:18:00;0;-27,51729958276453;0;0;0;0;0;0;0;0;0;4,047851512308262;1,1502427197460516;0,1829479617605089;1,926421784362233;0;0;0;1,0389985053324795;0;8,812075756484855;0;0;0;0;0;0;0;0;0;0;0;0;3,4952306521272;2,5;0;0,6825091300100975;1,035498767752342;0;0;11,3268114754098;0,16355537382978955;4,01463278688525;0;9,01777854957343;
19;00:19:00;0;-25,70783010474149;0;0;0;0;0;0;0;0;0;4,056289033462986;1,1519437326674902;0,18377899507639575;1,9283286399442414;0;0;0;1,0394869562994504;0;8,821163080150134;0;0;0;0;0;0;0;0;0;0;0;0;3,496824259772145;2,5;0;0,685537873363398;1,0373304420640452;0;0;11,3268114754098;0,16383451300709348;4,01463278688525;0;9,018842347018767;
20;00:20:00;0;-25,1033847797203;0;0;0;0;0;0;0;0;0;4,059072264048337;1,1585980830060023;0,1838635065556492;1,9312180927816363;0;0;0;1,0400964006651139;0;8,834777189645417;0;0;0;0;0;0;0;0;0;0;0;0;3,5034070968026576;2,5;0;0,6861222787957244;1,03759716896282;0;0;11,3268114754098;0,16389615563414198;4,01463278688525;0;9,050661296760614;
21;00:21:00;0;-19,501286223160324;0;0;0;0;0;0;0;0;0;4,062796497588975;1,1677255850963055;0,18482826642902425;1,9326309680610663;0;0;0;1,040866374736951;0;8,87066735342755;0;0;0;0;0;0;0;0;0;0;0;0;3,5042151291585384;2,5;0;0,6861437684794286;1,040242453563875;0;0;11,3268114754098;0,16410079980152575;4,01463278688525;0;9,07493646552265;
22;00:22:00;0;-17,83540908504162;0;0;0;0;0;0;0;0;0;4,063194772534268;1,1690375959200434;0,18486770434541394;1,9356304246441838;0;0;0;1,0422511565623023;0;8,888275631362431;0;0;0;0;0;0;0;0;0;0;0;0;3,51985843085782;2,5;0;0,6892811145737663;1,0408558102504835;0;0;11,3268114754098;0,1643763918005589;4,01463278688525;0;9,094828077207428;
23;00:23:00;0;-16,894080626281653;0;0;0;0;0;0;0;0;0;4,069938880502074;1,169515825435137;0,18498526299059206;1,9399134514224963;0;0;0;1,0424270435799718;0;8,908536094374004;0;0;0;0;0;0;0;0;0;0;0;0;3,52387159290438;2,5;0;0,6901029491445619;1,04639209832551;0;0;11,3268114754098;0,16469420289516853;4,01463278688525;0;9,105078921990696;
24;00:24:00;0;-15,619157745421477;0;0;0;0;0;0;0;0;0;4,070960139255291;1,1705049878004588;0,18528227007293027;1,9416488935521599;0;0;0;1,0456640266189259;0;8,946371393064755;0;0;0;0;0;0;0;0;0;0;0;0;3,5241707065722485;2,5;0;0,6908370718847344;1,049239596604241;0;0;11,3268114754098;0,16481610700475996;4,01463278688525;0;9,135262090511555;
25;00:25:00;0;-6,529143527033167;0;0;0;0;0;0;0;0;0;4,0750972436490995;1,173711602093578;0,1858834646530473;1,9446062705344938;0;0;0;1,046329867522259;0;8,947632277911943;0;0;0;0;0;0;0;0;0;0;0;0;3,5258284419136814;2,5;0;0,6911838825895777;1,0521683792564125;0;0;11,3268114754098;0,1650160428300473;4,01463278688525;0;9,146670077915157;
26;00:26:00;0;0;0;0;0;0;0;0;0;0;0;4,075270667970917;1,1751862184010824;0,18645829342669554;1,9473378118122102;0;0;0;1,0466047115349808;0;9,02115077906891;0;0;0;0;0;0;0;0;0;0;0;0;3,527498122137516;2,5;0;0,6918211190508226;1,052864013143031;0;0;11,3268114754098;0,16545970295891965;4,01463278688525;0;9,182156028920017;
27;00:27:00;0;0;0;0;0;0;0;0;0;0;0;4,075853386842227;1,1829681285454183;0,18687021338191753;1,9484474018664175;0;0;0;1,0475809454417;0;9,023046902569165;0;0;0;0;0;0;0;0;0;0;0;0;3,533477343312975;2,5;0;0,6950523622309839;1,0542807775102738;0;0;11,3268114754098;0,16567914927562918;4,01463278688525;0;9,206649094487535;
28;00:28:00;0;0;0;0;0;0;0;0;0;0;0;4,07777656596487;1,1864637625824017;0,18692208775837788;1,9489958234340443;0;0;0;1,0502221932038198;0;9,055391963125748;0;0;0;0;0;0;0;0;0;0;0;0;3,535321022873273;2,5;0;0,696308497878572;1,0590100796173565;0;0;11,3268114754098;0,16674813913344047;4,01463278688525;0;9,215208815762196;
29;00:29:00;0;0;0;0;0;0;0;0;0;0;0;4,0803583670545365;1,1875019850540152;0,186952347297464;1,953031774931825;0;0;0;1,0505682902711362;0;9,060784462823554;0;0;0;0;0;0;0;0;0;0;0;0;3,548183066518952;2,5;0;0,6966994757244721;1,0615317296504805;0;0;11,3268114754098;0,16712602198087884;4,01463278688525;0;9,21968248843589;
30;00:30:00;0;0;0;0;0;0;0;0;0;0;0;4,084818838834946;1,1878838823595572;0,18697353587539794;1,961391829728546;0;0;0;1,0510483745929926;0;9,076584043085507;0;0;0;0;0;0;0;0;0;0;0;0;3,549622434347937;2,5;0;0,698023122421059;1,0650101051490475;0;0;11,3268114754098;0,16745813815691935;4,01463278688525;0;9,24205914207053;
31;00:31:00;0;0;0;0;0;0;0;0;0;0;0;4,093052639236976;1,1895727334939554;0,18703531909001958;1,9625517718240941;0;0;0;1,053829538610066;0;9,08892835397519;0;0;0;0;0;0;0;0;0;0;0;0;3,549840102156034;2,5;0;0,6988413436474443;1,0662717852122985;0;0;11,3268114754098;0,16756958648441875;4,01463278688525;0;9,250467118452692;
32;00:32:00;0;0;0;0;0;0;0;0;0;0;0;4,093384894368124;1,189994266338946;0,18717118276338646;1,9663718123227434;0;0;0;1,0566347744580695;0;9,094723218634117;0;0;0;0;0;0;0;0;0;0;0;0;3,553520602533304;2,5;0;0,7035024014174688;1,068421431340703;0;0;11,3268114754098;0,1679327742682661;4,01463278688525;0;9,251035512189592;
33;00:33:00;0;0;0;0;0;0;0;0;0;0;0;4,097346749393513;1,1965580003115182;0,18745643810891588;1,9674599214449207;0;0;0;1,0597323318490697;0;9,104795469001996;0;0;0;0;0;0;0;0;0;0;0;0;3,556787561856317;2,5;0;0,7037862611104432;1,0702436956644026;0;0;11,3268114754098;0,16813126044706486;4,01463278688525;0;9,26990294609435;
34;00:34:00;0;0;0;0;0;0;0;0;0;0;0;4,099581097180501;1,1971455749600242;0,1875314346197537;1,9739655087601293;0;0;0;1,059806439975345;0;9,115849376328555;0;0;0;0;0;0;0;0;0;0;0;0;3,5575972066634893;2,5;0;0,7038431029693034;1,0710211054218437;0;0;11,3268114754098;0,16835275109380315;4,01463278688525;0;9,284284284287288;
35;00:35:00;0;0;0;0;0;0;0;0;0;0;0;4,106324857250036;1,198546884716095;0,1878221582623586;1,9753324807789006;0;0;0;1,059874689360587;0;9,117760176062216;0;0;0;0;0;0;0;0;0;0;0;0;3,5622096780596686;2,5;0;0,704499294628893;1,0744413136635278;0;0;11,3268114754098;0,16848957885282562;4,01463278688525;0;9,289733507093555;
36;00:36:00;0;0;0;0;0;0;0;0;0;0;0;4,108439799570415;1,200163860831846;0,18793912198945897;1,9777620053826699;0;0;0;1,0598997067750016;0;9,12185618318669;0;0;0;0;0;0;0;0;0;0;0;0;3,5661424010189515;2,5;0;0,7045026972651345;1,0756402189676006;0;0;11,3268114754098;0,16850705233654006;4,01463278688525;0;9,314539292189725;
37;00:37:00;0;0;0;0;0;0;0;0;0;0;0;4,113531705687596;1,2002176932117923;0,18807866429894127;1,9802722687739631;0;0;0;1,0600638786185934;0;9,125022416789934;0;0;0;0;0;0;0;0;0;0;0;0;3,572370876095536;2,5;0;0,7052497537126704;1,076651788631309;0;0;11,3268114754098;0,16854454975215713;4,01463278688525;0;9,320271192222787;
38;00:38:00;0;0;0;0;0;0;0;0;0;0;0;4,114604872513353;1,2006631925615707;0,1882160456398406;1,992783814072151;0;0;0;1,0619457136843296;0;9,127968328392372;0;0;0;0;0;0;0;0;0;0;0;0;3,5742632225999027;2,5;0;0,7053356615640709;1,0766546809061959;0;0;11,3268114754098;0,16886022461170194;4,01463278688525;0;9,327855216918389;
39;00:39:00;0;0;0;0;0;0;0;0;0;0;0;4,1149858110325646;1,2021225133599642;0,18851412021267805;1,9944025458898413;0;0;0;1,0634394016022926;0;9,129138045047998;0;0;0;0;0;0;0;0;0;0;0;0;3,57742192244759;2,5;0;0,7076084760575567;1,0769571132606874;0;0;11,3268114754098;0,16899219622888909;4,01463278688525;0;9,343066032247993;
40;00:40:00;0;0;0;0;0;0;0;0;0;0;0;4,119797297134611;1,2039774357959212;0,18880845658829212;1,9947991894314436;0;0;0;1,063483250970099;0;9,151294407584368;0;0;0;0;0;0;0;0;0;0;0;0;3,578593520093728;2,5;0;0,7079598743727897;1,080102912254022;0;0;11,3268114754098;0,1694627377906029;4,01463278688525;0;9,345391087822136;
41;00:41:00;0;0;0;0;0;0;0;0;0;0;0;4,12305323506677;1,2048179588659282;0,18892836194081178;1,9949105465724588;0;0;0;1,0649504757789998;0;9,156986562362098;0;0;0;0;0;0;0;0;0;0;0;0;3,581992380574201;2,5;0;0,7089342048174785;1,0801955870675144;0;0;11,3268114754098;0,16946821597882195;4,01463278688525;0;9,35904687498888;
42;00:42:00;0;0;0;0;0;0;0;0;0;0;0;4,125858577948604;1,2057650378284732;0,18893749767410603;1,9961677386378882;0;0;0;1,0673487966561015;0;9,168312693502935;0;0;0;0;0;0;0;0;0;0;0;0;3,5901220919340546;2,5;0;0,709250166161537;1,0814195571351946;0;0;11,3268114754098;0,16949194097030593;4,01463278688525;0;9,395545846766941;
43;00:43:00;0;0;0;0;0;0;0;0;0;0;0;4,151652539081406;1,2081897741073668;0,18907230088834182;1,9963036834349295;0;0;0;1,0675787193846666;0;9,17459152654752;0;0;0;0;0;0;0;0;0;0;0;0;3,5932985292111534;2,5;0;0,7115671416907698;1,0815418150324134;0;0;11,3268114754098;0,16960651411760702;4,01463278688525;0;9,401978094312312;
44;00:44:00;0;0;0;0;0;0;0;0;0;0;0;4,1562590590098925;1,2101696445569;0,1893997402891368;1,9970572293683744;0;0;0;1,069656657418516;0;9,183511415720103;0;0;0;0;0;0;0;0;0;0;0;0;3,5964747838054443;2,5;0;0,7119577143373979;1,082173686755846;0;0;11,3268114754098;0,16972813735524805;4,01463278688525;0;9,407283501330127;
45;00:45:00;0;0;0;0;0;0;0;0;0;0;0;4,156718333105956;1,210488980419221;0,1895639674285229;2,002506583863169;0;0;0;1,0696581921022208;0;9,204809019522603;0;0;0;0;0;0;0;0;0;0;0;0;3,596522642151735;2,5;0;0,7124127278151915;1,0827893465147418;0;0;11,3268114754098;0,17003242272348446;4,01463278688525;0;9,415552513059904;
46;00:46:00;0;0;0;0;0;0;0;0;0;0;0;4,159512858833323;1,210978760252036;0,18959743112116606;2,0028487390123475;0;0;0;1,0700953806006577;0;9,225577552972181;0;0;0;0;0;0;0;0;0;0;0;0;3,6027363139225983;2,5;0;0,7127312322889537;1,0831494511259645;0;0;11,3268114754098;0,17048579596359886;4,01463278688525;0;9,415864937849056;
47;00:47:00;0;0;0;0;0;0;0;0;0;0;0;4,174749086819037;1,2116053834979805;0,1897549637120515;2,0054686357461207;0;0;0;1,0707380997442508;0;9,227060269838391;0;0;0;0;0;0;0;0;0;0;0;0;3,605170812050484;2,5;0;0,7129947517372313;1,0832217023038704;0;0;11,3268114754098;0,17061697124721856;4,01463278688525;0;9,424284616469224;
48;00:48:00;0;0;0;0;0;0;0;0;0;0;0;4,176367519238766;1,214498794159745;0,18978969231380702;2,0076611905415374;0;0;0;1,0709542464801396;0;9,228676009917693;0;0;0;0;0;0;0;0;0;0;0;0;3,608857727320772;2,5;0;0,7132009980959823;1,0833966914426627;0;0;11,3268114754098;0,17065506992201182;4,01463278688525;0;9,425333614904448;
49;00:49:00;0;0;0;0;0;0;0;0;0;0;0;4,176727242895324;1,2148884870700836;0,1898841737370734;2,0134012155953904;0;0;0;1,0710254448512655;0;9,263478341020424;0;0;0;0;0;0;0;0;0;0;0;0;3,613569852582245;2,5;0;0,7138510450735266;1,0849776371826219;0;0;11,3268114754098;0,17066217513435;4,01463278688525;0;9,428687305611652;
50;00:50:00;0;0;0;0;0;0;0;0;0;0;0;4,182224598679064;1,2155425890224159;0,18993165230338124;2,0197961776752034;0;0;0;1,0714091917589554;0;9,318987086237486;0;0;0;0;0;0;0;0;0;0;0;0;3,616144153086571;2,5;0;0,7159175049382897;1,0860557567817952;0;0;11,3268114754098;0,17072000058809766;4,01463278688525;0;9,4573186935301;
51;00:51:00;0;0;0;0;0;0;0;0;0;0;0;4,1825646257370535;1,2192348057059101;0,1900879390117781;2,0248829112400775;0;0;0;1,0730573604271763;0;9,327867130890619;0;0;0;0;0;0;0;0;0;0;0;0;3,62292229580245;2,5;0;0,7167489577535664;1,0866376842808227;0;0;11,3268114754098;0,17085932687050304;4,01463278688525;0;9,46444717543198;
52;00:52:00;0;0;0;0;0;0;0;0;0;0;0;4,195242140202261;1,2198135593614732;0,1902689758970264;2,0256292131686493;0;0;0;1,07591445433794;0;9,3304352437314;0;0;0;0;0;0;0;0;0;0;0;0;3,629398648243546;2,5;0;0,7172400530901535;1,0873018965835106;0;0;11,3268114754098;0,17107640263814639;4,01463278688525;0;9,467453130531664;
53;00:53:00;0;0;0;0;0;0;0;0;0;0;0;4,196341985304597;1,2201289151723045;0,19033826876388346;2,025941296114727;0;0;0;1,0765984677479798;0;9,350634985819818;0;0;0;0;0;0;0;0;0;0;0;0;3,6294451568004926;2,5;0;0,7173290603786007;1,0885247746697697;0;0;11,3268114754098;0,17125961276270957;4,01463278688525;0;9,474534782133139;
54;00:54:00;0;0;0;0;0;0;0;0;0;0;0;4,200220652329203;1,2214399426627913;0,19052502322284892;2,0280649631370227;0;0;0;1,077904975407101;0;9,357619705579015;0;0;0;0;0;0;0;0;0;0;0;0;3,6327270402527656;2,5;0;0,7173346104499261;1,088906784317712;0;0;11,3268114754098;0,1713334620089751;4,01463278688525;0;9,501810779931402;
55;00:55:00;0;0;0;0;0;0;0;0;0;0;0;4,202610411559645;1,2227244334711642;0,19065987220545264;2,0299220730658365;0;0;0;1,0802366018209675;0;9,361667591860389;0;0;0;0;0;0;0;0;0;0;0;0;3,6353109713920455;2,5;0;0,717359323166874;1,0889475846783716;0;0;11,3268114754098;0,1716044133147613;4,01463278688525;0;9,503371988268558;
56;00:56:00;0;0;0;0;0;0;0;0;0;0;0;4,203203882943394;1,2230561515287068;0,19083212787986578;2,03143118308365;0;0;0;1,0810326981445866;0;9,362613252124138;0;0;0;0;0;0;0;0;0;0;0;0;3,646479813748757;2,5;0;0,717965675943974;1,0903122768305493;0;0;11,3268114754098;0,17169647931015142;4,01463278688525;0;9,52747574901865;
57;00:57:00;0;0;0;0;0;0;0;0;0;0;0;4,203220918848688;1,2260354638073954;0,19084195029642093;2,031826043885069;0;0;0;1,0810526936623523;0;9,363543682528602;0;0;0;0;0;0;0;0;0;0;0;0;3,6545378952547165;2,5;0;0,7202140605109587;1,090510833013446;0;0;11,3268114754098;0,17176644781425596;4,01463278688525;0;9,52992602232235;
58;00:58:00;0;0;0;0;0;0;0;0;0;0;0;4,214789231625043;1,226214345097535;0,1909006666705501;2,0384652502547485;0;0;0;1,0813053088784252;0;9,36395188083966;0;0;0;0;0;0;0;0;0;0;0;0;3,6578408254452666;2,5;0;0,7206285185583907;1,090661845089612;0;0;11,3268114754098;0,1718664724956683;4,01463278688525;0;9,565216662861998;
59;00:59:00;0;0;0;0;0;0;0;0;0;0;0;4,215093149552343;1,2270815296935602;0,19103927933588688;2,0388621828520517;0;0;0;1,0821153686581253;0;9,390365105944868;0;0;0;0;0;0;0;0;0;0;0;0;3,6587242714760952;2,5;0;0,7213099394102487;1,0916396589753272;0;0;11,3268114754098;0,17187547148419977;4,01463278688525;0;9,571859174212651;
60;01:00:00;0;0;0;0;0;0;0;0;0;0;0;4,216340009310435;1,2276789699578226;0,19110309772895664;2,0389845733747567;0;0;0;1,0839433795583113;0;9,393246678568028;0;0;0;0;0;0;0;0;0;0;0;0;3,6591067156713155;2,5;0;0,7228120122881594;1,0919553014086307;0;0;11,3268114754098;0,17191536945038138;4,01463278688525;0;9,599940196542626;
61;01:01:00;0;0;0;0;0;0;0;0;0;0;0;4,216465007948045;1,2296017742320084;0,19117790319064795;2,0393266370539593;0;0;0;1,0845954034741063;0;9,39516396777296;0;0;0;0;0;0;0;0;0;0;0;0;3,661737063519166;2,5;0;0,7230148671915478;1,0922531701741276;0;0;11,3268114754098;0,17198884038575527;4,01463278688525;0;9,614427519259698;
62;01:02:00;0;0;0;0;0;0;0;0;0;0;0;4,223702829486702;1,2301182315090515;0,19128081463631816;2,0399557631313217;0;0;0;1,0847297563408547;0;9,397817668509845;0;0;0;0;0;0;0;0;0;0;0;0;3,6626335387082443;2,5;0;0,7234512165229743;1,0931231895799685;0;0;11,3268114754098;0,17225451854384252;4,01463278688525;0;9,64386496935346;
