Device;Load Type;Profile;Number of Activations
Electric Razor Braun Cruzer 5;Inner Device Heat Gains;Profile for Electric Razor Braun Cruzer 5 Electricity [Measurement by ZSW (1min)];91
Electric Razor Braun Cruzer 5;Reactive;Profile for Electric Razor Braun Cruzer 5 Reactive [Measurement by ZSW (1min)];91
Electric Toothbrush Dondodent Professional Clean;Apparent;Profile for Electric Toothbrush Dondodent Professional Clean Apparent [Measurement by ZSW (1min)];86
Electric Toothbrush Dondodent Professional Clean;Electricity;Profile for Electric Toothbrush Dondodent Professional Clean Electricity [Measurement by ZSW (1min)];86
Electric Toothbrush Dondodent Professional Clean;Inner Device Heat Gains;Profile for Electric Toothbrush Dondodent Professional Clean Electricity [Measurement by ZSW (1min)];86
Electric Toothbrush Dondodent Professional Clean;Reactive;Profile for Electric Toothbrush Dondodent Professional Clean Reactive [Measurement by ZSW (1min)];86
Food Slicer / DOMO Schneidemaschine DO521S;Apparent;0 h 01 min 100% [Synthetic];6
Food Slicer / DOMO Schneidemaschine DO521S;Electricity;0 h 01 min 100% [Synthetic];6
Food Slicer / DOMO Schneidemaschine DO521S;Inner Device Heat Gains;0 h 01 min 100% [Synthetic];6
Food Slicer / DOMO Schneidemaschine DO521S;Reactive;0 h 01 min 100% [Synthetic];6
Hair Dryer Braun Silencio 1250;Apparent;Profile for Hair Dryer Braun Silencio 1250 05min Apparent [Measurement by ZSW (1min)];2
Hair Dryer Braun Silencio 1250;Electricity;Profile for Hair Dryer Braun Silencio 1250 05min Electricity [Measurement by ZSW (1min)];2
Hair Dryer Braun Silencio 1250;Inner Device Heat Gains;Profile for Hair Dryer Braun Silencio 1250 05min Electricity [Measurement by ZSW (1min)];2
Hair Dryer Braun Silencio 1250;Reactive;Profile for Hair Dryer Braun Silencio 1250 05min Reactive [Measurement by ZSW (1min)];2
Handmixer / Phillips Robust HR 1581;Apparent;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Electricity;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Reactive;0 h 05 min 100% [Synthetic];1
Hifi System / Sharp XL-HF300PH;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
Hifi System / Sharp XL-HF300PH;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
Hifi System / Sharp XL-HF300PH;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
Hifi System / Sharp XL-HF300PH;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
Juicer / Moulinex Vitafruit;Apparent;0 h 10 min 100% [Synthetic];6
Juicer / Moulinex Vitafruit;Electricity;0 h 10 min 100% [Synthetic];6
Juicer / Moulinex Vitafruit;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];6
Juicer / Moulinex Vitafruit;Reactive;0 h 10 min 100% [Synthetic];6
Kitchen Light (100W);Apparent;Kitchen - light [Synthetic for Light Device];2
Kitchen Light (100W);Electricity;Kitchen - light [Synthetic for Light Device];2
Kitchen Light (100W);Inner Device Heat Gains;Kitchen - light [Synthetic for Light Device];2
Kitchen Light (100W);Reactive;Kitchen - light [Synthetic for Light Device];2
Kitchen Sink (10L/min);Warm Water;0 h 01 min 25% [unknown];18
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Apparent;0 h 30 min 100% [Synthetic];3
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Electricity;0 h 30 min 100% [Synthetic];3
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];3
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Reactive;0 h 30 min 100% [Synthetic];3
Kitchen radio / AEG KRC 4323 CD;Apparent;01 h 0 min 100% [Synthetic];6
Kitchen radio / AEG KRC 4323 CD;Apparent;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Kitchen radio / AEG KRC 4323 CD;Electricity;01 h 0 min 100% [Synthetic];6
Kitchen radio / AEG KRC 4323 CD;Electricity;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];6
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Kitchen radio / AEG KRC 4323 CD;Reactive;01 h 0 min 100% [Synthetic];6
Kitchen radio / AEG KRC 4323 CD;Reactive;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Laptop Sony Vaio SVE151G11M;Apparent;Profile for Laptop Sony Vaio SVE151G11M 2h Apparent [Measurement by ZSW (1min)];9
Laptop Sony Vaio SVE151G11M;Apparent;Standby Generic 1h 0 min 10% [Synthetic];119
Laptop Sony Vaio SVE151G11M;Electricity;Profile for Laptop Sony Vaio SVE151G11M 2h Electricity [Measurement by ZSW (1min)];9
Laptop Sony Vaio SVE151G11M;Electricity;Standby Generic 1h 0 min 10% [Synthetic];119
Laptop Sony Vaio SVE151G11M;Inner Device Heat Gains;Profile for Laptop Sony Vaio SVE151G11M 2h Electricity [Measurement by ZSW (1min)];9
Laptop Sony Vaio SVE151G11M;Inner Device Heat Gains;Standby Generic 1h 0 min 10% [Synthetic];119
Laptop Sony Vaio SVE151G11M;Reactive;Profile for Laptop Sony Vaio SVE151G11M 2h Reactive [Measurement by ZSW (1min)];9
Laptop Sony Vaio SVE151G11M;Reactive;Standby Generic 1h 0 min 10% [Synthetic];119
Living Room Light (100W);Apparent;Living room - light [Synthetic for Light Device];23
Living Room Light (100W);Electricity;Living room - light [Synthetic for Light Device];23
Living Room Light (100W);Inner Device Heat Gains;Living room - light [Synthetic for Light Device];23
Living Room Light (100W);Reactive;Living room - light [Synthetic for Light Device];23
Microsoft Xbox 360;Apparent;01 h 0 min 100% [Synthetic];1
Microsoft Xbox 360;Apparent;Standby Xbox 01 h 0 min 3% [Synthetic];121
Microsoft Xbox 360;Electricity;01 h 0 min 100% [Synthetic];1
Microsoft Xbox 360;Electricity;Standby Xbox 01 h 0 min 3% [Synthetic];121
Microsoft Xbox 360;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];1
Microsoft Xbox 360;Inner Device Heat Gains;Standby Xbox 01 h 0 min 3% [Synthetic];121
Microsoft Xbox 360;Reactive;01 h 0 min 100% [Synthetic];1
Microsoft Xbox 360;Reactive;Standby Xbox 01 h 0 min 3% [Synthetic];121
Miele DG 1450;Apparent;Backing profile II 30 min [Synthetic];1
Miele DG 1450;Electricity;Backing profile II 30 min [Synthetic];1
Miele DG 1450;Inner Device Heat Gains;Backing profile II 30 min [Synthetic];1
Miele DG 1450;Reactive;Backing profile II 30 min [Synthetic];1
Nespresso Coffee Machine, Single Cup;Apparent;Profile for Nespresso_single Apparent [Measurement by ZSW (1min)];6
Nespresso Coffee Machine, Single Cup;Electricity;Profile for Nespresso_single Electricity [Measurement by ZSW (1min)];6
Nespresso Coffee Machine, Single Cup;Inner Device Heat Gains;Profile for Nespresso_single Electricity [Measurement by ZSW (1min)];6
Nespresso Coffee Machine, Single Cup;Reactive;Profile for Nespresso_single Reactive [Measurement by ZSW (1min)];6
Newspaper;None;0 h 30 min 100% [Synthetic];8
PC / Acer 8400;Apparent;01 h 30 min 100% [Synthetic];4
PC / Acer 8400;Apparent;Standby PC 01 h 0 min 4% [Synthetic];120
PC / Acer 8400;Electricity;01 h 30 min 100% [Synthetic];4
PC / Acer 8400;Electricity;Standby PC 01 h 0 min 4% [Synthetic];120
PC / Acer 8400;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];4
PC / Acer 8400;Inner Device Heat Gains;Standby PC 01 h 0 min 4% [Synthetic];120
PC / Acer 8400;Reactive;01 h 30 min 100% [Synthetic];4
PC / Acer 8400;Reactive;Standby PC 01 h 0 min 4% [Synthetic];120
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Apparent;01 h 30 min 100% [Synthetic];4
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Apparent;Standby PC 01 h 0 min 4% [Synthetic];120
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Electricity;01 h 30 min 100% [Synthetic];4
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Electricity;Standby PC 01 h 0 min 4% [Synthetic];120
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];4
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Inner Device Heat Gains;Standby PC 01 h 0 min 4% [Synthetic];120
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Reactive;01 h 30 min 100% [Synthetic];4
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Reactive;Standby PC 01 h 0 min 4% [Synthetic];120
Router O2 Box 6431;Apparent;Profile for Router O2 Box 6431 Apparent [Measurement by ZSW (1min)];123
Router O2 Box 6431;Electricity;Profile for Router O2 Box 6431 Electricity [Measurement by ZSW (1min)];123
Router O2 Box 6431;Inner Device Heat Gains;Profile for Router O2 Box 6431 Electricity [Measurement by ZSW (1min)];123
Router O2 Box 6431;Reactive;Profile for Router O2 Box 6431 Reactive [Measurement by ZSW (1min)];123
SAT Receiver / Kathrein UFS913;Apparent;0 h 15 min 100% [Synthetic];2
SAT Receiver / Kathrein UFS913;Apparent;01 h 0 min 100% [Synthetic];3
SAT Receiver / Kathrein UFS913;Apparent;02 h 0 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Apparent;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];121
SAT Receiver / Kathrein UFS913;Electricity;0 h 15 min 100% [Synthetic];2
SAT Receiver / Kathrein UFS913;Electricity;01 h 0 min 100% [Synthetic];3
SAT Receiver / Kathrein UFS913;Electricity;02 h 0 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Electricity;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];121
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;0 h 15 min 100% [Synthetic];2
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];3
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];121
SAT Receiver / Kathrein UFS913;Reactive;0 h 15 min 100% [Synthetic];2
SAT Receiver / Kathrein UFS913;Reactive;01 h 0 min 100% [Synthetic];3
SAT Receiver / Kathrein UFS913;Reactive;02 h 0 min 100% [Synthetic];1
SAT Receiver / Kathrein UFS913;Reactive;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];121
Shift worker man;None;09 h 0 min 100% [Synthetic];4
Shift worker woman;None;09 h 0 min 100% [Synthetic];4
Shower 10 L/min;Warm Water;Shower Profile for Men 9 min [Synthetic];7
Shower 10 L/min;Warm Water;Shower Profile for Women 14 min [Synthetic];5
Siemens Kl 20 LA 65 (A+);Apparent;Profile for Fridge Siemens Kl 20 LA 65 (A+) Apparent [Measured 1 min Resolution (TUC)];122
Siemens Kl 20 LA 65 (A+);Electricity;Profile for Fridge Siemens Kl 20 LA 65 (A+) Electricity [Measured 1 min Resolution (TUC)];122
Siemens Kl 20 LA 65 (A+);Inner Device Heat Gains;Profile for Fridge Siemens Kl 20 LA 65 (A+) Electricity [Measured 1 min Resolution (TUC)];122
Siemens Kl 20 LA 65 (A+);Reactive;Profile for Fridge Siemens Kl 20 LA 65 (A+) Electricity [Measured 1 min Resolution (TUC)];122
Single Stove Plate;Apparent;Profile for Stove Plate 30 min Cooking Cycle Apparent [Measurement by ZSW (1min)];3
Single Stove Plate;Apparent;Profile for Stove Plate 40 min Cooking Cycle Apparent [Measurement by ZSW (1min)];6
Single Stove Plate;Electricity;Profile for Stove Plate 30 min Cooking Cycle Electricity [Measurement by ZSW (1min)];3
Single Stove Plate;Electricity;Profile for Stove Plate 40 min Cooking Cycle Electricity [Measurement by ZSW (1min)];6
Single Stove Plate;Inner Device Heat Gains;Profile for Stove Plate 30 min Cooking Cycle Electricity [Measurement by ZSW (1min)];3
Single Stove Plate;Inner Device Heat Gains;Profile for Stove Plate 40 min Cooking Cycle Electricity [Measurement by ZSW (1min)];6
Single Stove Plate;Reactive;Profile for Stove Plate 30 min Cooking Cycle Reactive [Measurement by ZSW (1min)];3
Single Stove Plate;Reactive;Profile for Stove Plate 40 min Cooking Cycle Reactive [Measurement by ZSW (1min)];6
Sunbed;None;01 h 30 min 100% [Synthetic];2
Supermarket;None;01 h 30 min 100% [Synthetic];1
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A 1,5h Apparent [Measurement by ZSW (1min)];4
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A 15 min Apparent [Measurement by ZSW (1min)];2
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A 2h Apparent [Measurement by ZSW (1min)];1
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A Apparent [Measurement by ZSW (1min)];4
TV Medion MD20123_DE_A;Apparent;Standby Generic 01 h 0 min 1% [Synthetic];120
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A 1,5h Electricity [Measurement by ZSW (1min)];4
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A 15 min Electricity [Measurement by ZSW (1min)];2
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A 2h Electricity [Measurement by ZSW (1min)];1
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A Electricity [Measurement by ZSW (1min)];4
TV Medion MD20123_DE_A;Electricity;Standby Generic 01 h 0 min 1% [Synthetic];120
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A 1,5h Electricity [Measurement by ZSW (1min)];4
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A 15 min Electricity [Measurement by ZSW (1min)];2
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A 2h Electricity [Measurement by ZSW (1min)];1
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A Electricity [Measurement by ZSW (1min)];4
TV Medion MD20123_DE_A;Inner Device Heat Gains;Standby Generic 01 h 0 min 1% [Synthetic];120
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A 1,5h Reactive [Measurement by ZSW (1min)];4
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A 15 min Reactive [Measurement by ZSW (1min)];2
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A 2h Reactive [Measurement by ZSW (1min)];1
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A Reactive [Measurement by ZSW (1min)];4
TV Medion MD20123_DE_A;Reactive;Standby Generic 01 h 0 min 1% [Synthetic];120
Toaster Salco MT 400;Apparent;Profile for Toaster Salco MT 400 Apparent [Measurement by ZSW (1min)];6
Toaster Salco MT 400;Electricity;Profile for Toaster Salco MT 400 Electricity [Measurement by ZSW (1min)];6
Toaster Salco MT 400;Inner Device Heat Gains;Profile for Toaster Salco MT 400 Electricity [Measurement by ZSW (1min)];6
Toaster Salco MT 400;Reactive;Profile for Toaster Salco MT 400 Reactive [Measurement by ZSW (1min)];6
Toilet 10L/min;Cold Water;0 h 01 min 100% [Synthetic];32
Walking Shoes;None;02 h 0 min 100% [Synthetic];5
Washing Machine / Bosch WAE 28143;Apparent;Washing Machine Profile Measured 30°C 2h 16 min [Measured 1 min Resolution (Noah)];1
Washing Machine / Bosch WAE 28143;Cold Water;0 h 10 min 100% [Synthetic];1
Washing Machine / Bosch WAE 28143;Electricity;Washing Machine Profile Measured 30°C 2h 16 min [Measured 1 min Resolution (Noah)];1
Washing Machine / Bosch WAE 28143;Inner Device Heat Gains;Washing Machine Profile Measured 30°C 2h 16 min [Measured 1 min Resolution (Noah)];1
Washing Machine / Bosch WAE 28143;Reactive;Washing Machine Profile Measured 30°C 2h 16 min [Measured 1 min Resolution (Noah)];1
Watering Can;None;0 h 30 min 100% [Synthetic];1
